[07:31:44 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[07:32:12 PM]  Mua Tóc khỉ con -500 ruby
[07:32:26 PM]  Mua minh vương -5000 ruby
[07:32:35 PM]  Mua Pell -500 ruby
[07:34:34 PM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.993.999
[07:34:40 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.993.999
[07:34:49 PM]  Mua Xp Chiêu thức -1500 ruby
[07:34:50 PM]  Mua Kinh nghiệm X2 -15 ruby
[07:34:52 PM]  Mua Vé tẩy tiềm năng -0 beri
[07:41:01 PM]  Mua Quản lý -500 ruby
[07:45:07 PM]  Mua 1000 vé vòng quay -15000 ruby
[07:46:11 PM]  Mua Trang phục Franky -500 ruby
[07:59:17 PM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.976.484
[08:04:07 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.976.484
[08:04:20 PM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.976.484
[08:04:28 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.976.484
[08:05:12 PM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.976.484
[08:06:05 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.976.484
[08:09:27 PM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.976.484
[08:12:20 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.976.484
[08:17:42 PM]  Mua Đá ác quỷ -40 ruby
[08:17:42 PM]  Mua Đá ác quỷ -40 ruby
[08:17:43 PM]  Mua Đá ác quỷ -40 ruby
[08:17:43 PM]  Mua Đá ác quỷ -40 ruby
[08:17:43 PM]  Mua Đá ác quỷ -40 ruby
[08:17:43 PM]  Mua Đá ác quỷ -40 ruby
[08:17:43 PM]  Mua Đá ác quỷ -40 ruby
[08:17:43 PM]  Mua Đá ác quỷ -40 ruby
[08:17:44 PM]  Mua Đá ác quỷ -40 ruby
[08:17:44 PM]  Mua Đá ác quỷ -40 ruby
[08:17:44 PM]  Mua Đá ác quỷ -40 ruby
[08:17:44 PM]  Mua Đá ác quỷ -40 ruby
[08:17:44 PM]  Mua Đá ác quỷ -40 ruby
[08:17:44 PM]  Mua Đá ác quỷ -40 ruby
[08:17:45 PM]  Mua Đá ác quỷ -40 ruby
[08:17:45 PM]  Mua Đá ác quỷ -40 ruby
[08:17:45 PM]  Mua Đá ác quỷ -40 ruby
[08:17:45 PM]  Mua Đá ác quỷ -40 ruby
[08:17:45 PM]  Mua Đá ác quỷ -40 ruby
[08:17:45 PM]  Mua Đá ác quỷ -40 ruby
[08:17:46 PM]  Mua Đá ác quỷ -40 ruby
[08:17:46 PM]  Mua Đá ác quỷ -40 ruby
[08:17:46 PM]  Mua Đá ác quỷ -40 ruby
[08:17:46 PM]  Mua Đá ác quỷ -40 ruby
[08:17:46 PM]  Mua Đá ác quỷ -40 ruby
[08:17:46 PM]  Mua Đá ác quỷ -40 ruby
[08:17:47 PM]  Mua Đá ác quỷ -40 ruby
