[10:51:08 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[11:00:55 PM]  Mua Râu đen -500 ruby
[11:01:18 PM]  Mua Pell -500 ruby
[11:06:14 PM]  Mua Kinh nghiệm X2 -15 ruby
[11:06:17 PM]  Mua Xp Chiêu thức -1500 ruby
[11:30:17 PM]  Mua Quả Conache -0 beri
[11:30:18 PM]  Mua Quả Conache -0 beri
[11:30:18 PM]  Mua Quả Conache -0 beri
[11:30:18 PM]  Mua Quả Conache -0 beri
[11:30:19 PM]  Mua Quả Conache -0 beri
[11:30:19 PM]  Mua Quả Conache -0 beri
[11:30:19 PM]  Mua Quả Conache -0 beri
[11:30:19 PM]  Mua Quả Conache -0 beri
[11:30:19 PM]  Mua Quả Conache -0 beri
[11:30:20 PM]  Mua Quả Conache -0 beri
[11:30:20 PM]  Mua Quả Conache -0 beri
[11:30:20 PM]  Mua Quả Conache -0 beri
[11:30:20 PM]  Mua Quả Conache -0 beri
[11:30:20 PM]  Mua Quả Conache -0 beri
[11:30:20 PM]  Mua Quả Conache -0 beri
[11:30:21 PM]  Mua Quả Conache -0 beri
[11:30:21 PM]  Mua Quả Conache -0 beri
[11:30:21 PM]  Mua Quả Conache -0 beri
[11:30:24 PM]  Mua Cơm hộp hải tặc -0 beri
[11:30:24 PM]  Mua Cơm hộp hải tặc -0 beri
[11:30:24 PM]  Mua Cơm hộp hải tặc -0 beri
[11:30:25 PM]  Mua Cơm hộp hải tặc -0 beri
[11:30:25 PM]  Mua Cơm hộp hải tặc -0 beri
[11:30:25 PM]  Mua Cơm hộp hải tặc -0 beri
[11:30:25 PM]  Mua Cơm hộp hải tặc -0 beri
[11:30:25 PM]  Mua Cơm hộp hải tặc -0 beri
[11:30:26 PM]  Mua Cơm hộp hải tặc -0 beri
[11:30:26 PM]  Mua Cơm hộp hải tặc -0 beri
