[07:11:09 PM]  Login : [Beri] 2.000.000.000 [Ruby] 5.000.000
[07:11:11 PM]  Nhặt +117 beri
[07:12:42 PM]  Mua Trang phục Doctor Strange -500 ruby
[07:13:03 PM]  Mua Tóc băng -500 ruby
[07:13:26 PM]  Mua minh vương -500 ruby
[07:14:39 PM]  Logout : [Beri] 2.000.000.117 [Ruby] 4.998.500
[07:14:54 PM]  Login : [Beri] 2.000.000.117 [Ruby] 4.998.500
[07:15:37 PM]  Mua 20000 vé vòng quay -300000 ruby
[07:15:56 PM]  Logout : [Beri] 2.000.000.117 [Ruby] 4.698.545
[09:04:58 PM]  Login : [Beri] 2.000.000.117 [Ruby] 4.698.545
[09:05:17 PM]  Logout : [Beri] 2.000.000.117 [Ruby] 4.698.545
[10:17:15 PM]  Login : [Beri] 2.000.000.117 [Ruby] 4.698.545
[10:26:27 PM]  Bán item +45 beri
[10:26:28 PM]  Bán item +45 beri
[10:26:28 PM]  Bán item +45 beri
[10:26:29 PM]  Bán item +45 beri
[10:26:29 PM]  Bán item +45 beri
[10:26:29 PM]  Bán item +45 beri
[10:26:30 PM]  Bán item +45 beri
[10:26:30 PM]  Bán item +45 beri
[10:26:31 PM]  Bán item +45 beri
[10:26:31 PM]  Bán item +45 beri
[10:26:32 PM]  Bán item +45 beri
[10:26:32 PM]  Bán item +45 beri
[10:26:33 PM]  Bán item +45 beri
[10:26:33 PM]  Bán item +45 beri
[10:26:34 PM]  Bán item +45 beri
[10:26:34 PM]  Bán item +45 beri
[10:26:35 PM]  Bán item +45 beri
[10:26:35 PM]  Bán item +45 beri
[10:26:35 PM]  Bán item +45 beri
[10:26:36 PM]  Bán item +45 beri
[10:26:36 PM]  Bán item +45 beri
[10:26:37 PM]  Bán item +45 beri
[10:26:37 PM]  Bán item +45 beri
[10:26:38 PM]  Bán item +45 beri
[10:26:38 PM]  Bán item +45 beri
[10:26:39 PM]  Bán item +45 beri
[10:26:39 PM]  Bán item +45 beri
[10:26:40 PM]  Bán item +45 beri
[10:26:41 PM]  Bán item +45 beri
[10:29:39 PM]  Bán item +45 beri
[10:29:39 PM]  Bán item +45 beri
[10:29:40 PM]  Bán item +45 beri
[10:29:41 PM]  Bán item +45 beri
[10:29:41 PM]  Bán item +45 beri
[10:29:41 PM]  Bán item +45 beri
[10:29:42 PM]  Bán item +45 beri
[10:29:43 PM]  Bán item +45 beri
[10:29:43 PM]  Bán item +45 beri
[10:29:44 PM]  Bán item +45 beri
[10:29:44 PM]  Bán item +45 beri
[10:29:45 PM]  Bán item +45 beri
[10:29:45 PM]  Bán item +45 beri
[10:29:45 PM]  Bán item +45 beri
[10:29:46 PM]  Bán item +45 beri
[10:29:46 PM]  Bán item +45 beri
[10:29:47 PM]  Bán item +45 beri
[10:29:47 PM]  Bán item +45 beri
[10:29:48 PM]  Bán item +45 beri
[10:29:48 PM]  Bán item +45 beri
[10:29:49 PM]  Bán item +45 beri
[10:29:49 PM]  Bán item +45 beri
[10:29:50 PM]  Bán item +45 beri
[10:29:50 PM]  Bán item +45 beri
[10:29:51 PM]  Bán item +45 beri
[10:29:51 PM]  Bán item +45 beri
[10:29:52 PM]  Bán item +45 beri
[10:29:52 PM]  Bán item +45 beri
[10:30:18 PM]  Logout : [Beri] 2.000.000.117 [Ruby] 4.698.545
