[09:58:27 PM]  Login : [Beri] 2.000.000.000 [Ruby] 5.000.000
[09:58:33 PM]  Nhặt +125 beri
[09:58:47 PM]  Logout : [Beri] 2.000.000.125 [Ruby] 5.000.000
[09:58:50 PM]  Login : [Beri] 2.000.000.125 [Ruby] 5.000.000
[09:58:56 PM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Quả Tim x1, 
[09:59:02 PM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Dial 4 x1, 
[09:59:14 PM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Thiên thạch may mắn x10, 
[10:00:10 PM]  Giao dịch bery với thachhao nhận +0 beri
[10:00:10 PM]  Giao dịch bery với thachhao nhận Dial 4
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:22 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
[10:00:23 PM]  Mua Bột cường hóa -20 ruby
