[10:24:25 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[10:25:38 AM]  Mua Trang phục Doctor Strange -500 ruby
[10:25:48 AM]  Mua Tóc Siêu Sao -500 ruby
[10:25:55 AM]  Mua Đầu trọc -500 ruby
[10:38:16 AM]  Mua 10000 vé vòng quay -150000 ruby
[10:46:52 AM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.848.499
[10:48:28 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.848.499
[10:53:15 AM]  Mua Bột cường hóa -20 ruby
[10:53:15 AM]  Mua Bột cường hóa -20 ruby
[10:53:15 AM]  Mua Bột cường hóa -20 ruby
[10:53:16 AM]  Mua Bột cường hóa -20 ruby
[10:53:16 AM]  Mua Bột cường hóa -20 ruby
[10:53:16 AM]  Mua Bột cường hóa -20 ruby
[10:53:16 AM]  Mua Bột cường hóa -20 ruby
[10:53:17 AM]  Mua Bột cường hóa -20 ruby
[10:53:17 AM]  Mua Bột cường hóa -20 ruby
[10:53:17 AM]  Mua Bột cường hóa -20 ruby
[10:53:17 AM]  Mua Bột cường hóa -20 ruby
[10:53:17 AM]  Mua Bột cường hóa -20 ruby
[10:53:18 AM]  Mua Bột cường hóa -20 ruby
[10:53:18 AM]  Mua Bột cường hóa -20 ruby
[10:53:18 AM]  Mua Bột cường hóa -20 ruby
[10:53:18 AM]  Mua Bột cường hóa -20 ruby
[10:53:18 AM]  Mua Bột cường hóa -20 ruby
[10:53:18 AM]  Mua Bột cường hóa -20 ruby
[10:53:18 AM]  Mua Bột cường hóa -20 ruby
[10:53:19 AM]  Mua Bột cường hóa -20 ruby
[10:53:19 AM]  Mua Bột cường hóa -20 ruby
[10:53:19 AM]  Mua Bột cường hóa -20 ruby
[10:53:19 AM]  Mua Bột cường hóa -20 ruby
[10:53:19 AM]  Mua Bột cường hóa -20 ruby
[10:53:19 AM]  Mua Bột cường hóa -20 ruby
[10:53:20 AM]  Mua Bột cường hóa -20 ruby
[10:53:20 AM]  Mua Bột cường hóa -20 ruby
[10:53:20 AM]  Mua Bột cường hóa -20 ruby
[10:53:20 AM]  Mua Bột cường hóa -20 ruby
[10:53:20 AM]  Mua Bột cường hóa -20 ruby
[10:53:22 AM]  Mua Bột vàng -40 ruby
[10:53:22 AM]  Mua Bột vàng -40 ruby
[10:53:22 AM]  Mua Bột vàng -40 ruby
[10:53:22 AM]  Mua Bột vàng -40 ruby
[10:53:23 AM]  Mua Bột vàng -40 ruby
[10:53:23 AM]  Mua Bột vàng -40 ruby
[10:53:23 AM]  Mua Bột vàng -40 ruby
[10:53:23 AM]  Mua Bột vàng -40 ruby
[10:53:23 AM]  Mua Bột vàng -40 ruby
[10:53:23 AM]  Mua Bột vàng -40 ruby
[10:53:24 AM]  Mua Bột vàng -40 ruby
[10:53:24 AM]  Mua Bột vàng -40 ruby
[10:53:24 AM]  Mua Bột vàng -40 ruby
[10:53:24 AM]  Mua Bột vàng -40 ruby
[10:53:24 AM]  Mua Bột vàng -40 ruby
[10:53:24 AM]  Mua Bột vàng -40 ruby
[10:53:25 AM]  Mua Bột vàng -40 ruby
[10:53:25 AM]  Mua Bột vàng -40 ruby
[10:53:25 AM]  Mua Bột vàng -40 ruby
[10:53:26 AM]  Mua Bột cường hóa -20 ruby
[10:53:27 AM]  Mua Bột cường hóa -20 ruby
[10:53:27 AM]  Mua Bột cường hóa -20 ruby
[10:53:27 AM]  Mua Bột cường hóa -20 ruby
[10:53:27 AM]  Mua Bột cường hóa -20 ruby
[10:53:27 AM]  Mua Bột cường hóa -20 ruby
[10:53:27 AM]  Mua Bột cường hóa -20 ruby
[10:53:28 AM]  Mua Bột cường hóa -20 ruby
[10:53:28 AM]  Mua Bột cường hóa -20 ruby
[10:53:28 AM]  Mua Bột cường hóa -20 ruby
[10:53:28 AM]  Mua Bột cường hóa -20 ruby
[10:53:28 AM]  Mua Bột cường hóa -20 ruby
[10:53:28 AM]  Mua Bột cường hóa -20 ruby
