[05:43:10 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[05:43:34 AM]  Mua Xp Chiêu thức -300 ruby
[05:43:34 AM]  Mua Xp Chiêu thức -300 ruby
[05:43:34 AM]  Mua Xp Chiêu thức -300 ruby
[05:43:36 AM]  Mua Kinh nghiệm X2 -3 ruby
[05:43:36 AM]  Mua Kinh nghiệm X2 -3 ruby
[05:43:36 AM]  Mua Kinh nghiệm X2 -3 ruby
[05:43:36 AM]  Mua Kinh nghiệm X2 -3 ruby
[05:43:36 AM]  Mua Kinh nghiệm X2 -3 ruby
[05:45:23 AM]  Mua Tóc Kool -500 ruby
[05:45:59 AM]  Mua Dr. Strange Zoombie -500 ruby
[05:46:14 AM]  Mua Trang phục Doctor Strange -500 ruby
[05:46:25 AM]  Mua 100 vé vòng quay -1500 ruby
[05:47:45 AM]  Mua Đá ác quỷ -40 ruby
[05:47:45 AM]  Mua Đá ác quỷ -40 ruby
[05:47:45 AM]  Mua Đá ác quỷ -40 ruby
[05:47:45 AM]  Mua Đá ác quỷ -40 ruby
[05:47:45 AM]  Mua Đá ác quỷ -40 ruby
[05:47:45 AM]  Mua Đá ác quỷ -40 ruby
[05:47:45 AM]  Mua Đá ác quỷ -40 ruby
[05:47:46 AM]  Mua Đá ác quỷ -40 ruby
[05:47:46 AM]  Mua Đá ác quỷ -40 ruby
[05:47:46 AM]  Mua Đá ác quỷ -40 ruby
[05:47:46 AM]  Mua Đá ác quỷ -40 ruby
[05:47:46 AM]  Mua Đá ác quỷ -40 ruby
[05:47:46 AM]  Mua Đá ác quỷ -40 ruby
[05:47:46 AM]  Mua Đá ác quỷ -40 ruby
[05:47:46 AM]  Mua Đá ác quỷ -40 ruby
[05:47:47 AM]  Mua Đá ác quỷ -40 ruby
[05:47:47 AM]  Mua Đá ác quỷ -40 ruby
[05:47:47 AM]  Mua Đá ác quỷ -40 ruby
[05:47:47 AM]  Mua Đá ác quỷ -40 ruby
[05:47:47 AM]  Mua Đá ác quỷ -40 ruby
[05:47:47 AM]  Mua Đá ác quỷ -40 ruby
[05:47:48 AM]  Mua Đá ác quỷ -40 ruby
[05:47:48 AM]  Mua Đá ác quỷ -40 ruby
[05:47:48 AM]  Mua Đá ác quỷ -40 ruby
[05:47:48 AM]  Mua Đá ác quỷ -40 ruby
[05:47:48 AM]  Mua Đá ác quỷ -40 ruby
[05:47:49 AM]  Mua Đá ác quỷ -40 ruby
[05:47:49 AM]  Mua Đá ác quỷ -40 ruby
[05:47:49 AM]  Mua Đá ác quỷ -40 ruby
[05:47:49 AM]  Mua Đá ác quỷ -40 ruby
[05:47:49 AM]  Mua Đá ác quỷ -40 ruby
[05:47:49 AM]  Mua Đá ác quỷ -40 ruby
[05:47:49 AM]  Mua Đá ác quỷ -40 ruby
[05:47:50 AM]  Mua Đá ác quỷ -40 ruby
[05:47:50 AM]  Mua Đá ác quỷ -40 ruby
[05:50:07 AM]  Nhặt +4636 beri
[05:50:45 AM]  Nhặt +4148 beri
[05:51:02 AM]  Logout : [Beri] 1.998.308.783 [Ruby] 1.999.994.684
[05:54:22 AM]  Login : [Beri] 1.998.308.783 [Ruby] 1.999.994.684
[05:55:05 AM]  Mua Bột vàng -40 ruby
[05:55:05 AM]  Mua Bột vàng -40 ruby
[05:55:05 AM]  Mua Bột vàng -40 ruby
[05:55:06 AM]  Mua Bột vàng -40 ruby
[05:55:06 AM]  Mua Bột vàng -40 ruby
[05:55:06 AM]  Mua Bột vàng -40 ruby
[05:55:06 AM]  Mua Bột vàng -40 ruby
[05:55:06 AM]  Mua Bột vàng -40 ruby
[05:55:06 AM]  Mua Bột vàng -40 ruby
[05:55:06 AM]  Mua Bột vàng -40 ruby
[05:55:07 AM]  Mua Bột vàng -40 ruby
[05:55:07 AM]  Mua Bột vàng -40 ruby
[05:55:07 AM]  Mua Bột vàng -40 ruby
[05:55:07 AM]  Mua Bột vàng -40 ruby
[05:55:07 AM]  Mua Bột vàng -40 ruby
[05:55:07 AM]  Mua Bột vàng -40 ruby
[05:55:08 AM]  Mua Bột vàng -40 ruby
[05:55:08 AM]  Mua Bột vàng -40 ruby
[05:55:08 AM]  Mua Bột vàng -40 ruby
[05:55:08 AM]  Mua Bột vàng -40 ruby
[05:55:08 AM]  Mua Bột vàng -40 ruby
[05:55:08 AM]  Mua Bột vàng -40 ruby
[05:55:08 AM]  Mua Bột vàng -40 ruby
[05:55:09 AM]  Mua Bột vàng -40 ruby
[05:55:09 AM]  Mua Bột vàng -40 ruby
[05:55:09 AM]  Mua Bột vàng -40 ruby
[05:55:09 AM]  Mua Bột vàng -40 ruby
[05:55:09 AM]  Mua Bột vàng -40 ruby
[05:55:11 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:11 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:11 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:12 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:12 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:12 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:12 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:12 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:13 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:13 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:13 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:13 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:13 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:14 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:14 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:14 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:14 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:14 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:14 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:14 AM]  Mua Ngôi sao may mắn -100 ruby
[05:55:16 AM]  Mua Mai rùa -140 ruby
[05:55:16 AM]  Mua Mai rùa -140 ruby
[05:55:16 AM]  Mua Mai rùa -140 ruby
[05:55:16 AM]  Mua Mai rùa -140 ruby
[05:55:16 AM]  Mua Mai rùa -140 ruby
[05:55:17 AM]  Mua Mai rùa -140 ruby
[05:55:17 AM]  Mua Mai rùa -140 ruby
[05:55:17 AM]  Mua Mai rùa -140 ruby
[05:55:17 AM]  Mua Mai rùa -140 ruby
[05:55:17 AM]  Mua Mai rùa -140 ruby
