[12:43:43 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[12:44:04 AM]  Mua Trang phục Franky -500 ruby
[12:45:04 AM]  Mua Kinh nghiệm X2 -60 ruby
[12:45:04 AM]  Mua Kinh nghiệm X2 -60 ruby
[12:45:05 AM]  Mua Kinh nghiệm X2 -60 ruby
[12:45:05 AM]  Mua Kinh nghiệm X2 -60 ruby
[12:45:06 AM]  Mua Xp Chiêu thức -6000 ruby
[12:45:06 AM]  Mua Xp Chiêu thức -6000 ruby
[12:45:06 AM]  Mua Xp Chiêu thức -6000 ruby
[12:45:06 AM]  Mua Xp Chiêu thức -6000 ruby
[12:45:06 AM]  Mua Xp Chiêu thức -6000 ruby
[12:45:06 AM]  Mua Xp Chiêu thức -6000 ruby
[12:53:02 AM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.963.259
[12:53:10 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.963.259
[12:58:44 AM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.963.259
[01:00:50 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.963.259
[01:03:00 AM]  Mua 1000 vé vòng quay -15000 ruby
[01:17:16 AM]  Mua Găng tay sức mạnh 2 -500000 beri
[01:17:18 AM]  Mua Ngực trần sức mạnh 2 -500000 beri
[01:17:20 AM]  Mua Xà rông nâu 2 -500000 beri
[01:17:22 AM]  Mua Mũ chóp 2 -500000 beri
[01:17:41 AM]  Mua Bột cường hóa -20 ruby
[01:17:42 AM]  Mua Bột cường hóa -20 ruby
[01:17:42 AM]  Mua Bột cường hóa -20 ruby
[01:17:42 AM]  Mua Bột cường hóa -20 ruby
[01:17:42 AM]  Mua Bột cường hóa -20 ruby
[01:17:42 AM]  Mua Bột cường hóa -20 ruby
[01:17:42 AM]  Mua Bột cường hóa -20 ruby
[01:17:43 AM]  Mua Bột cường hóa -20 ruby
[01:17:43 AM]  Mua Bột cường hóa -20 ruby
[01:17:43 AM]  Mua Bột cường hóa -20 ruby
[01:17:43 AM]  Mua Bột cường hóa -20 ruby
[01:17:43 AM]  Mua Bột cường hóa -20 ruby
[01:17:43 AM]  Mua Bột cường hóa -20 ruby
[01:17:44 AM]  Mua Bột cường hóa -20 ruby
[01:17:44 AM]  Mua Bột cường hóa -20 ruby
[01:17:44 AM]  Mua Bột cường hóa -20 ruby
[01:17:44 AM]  Mua Bột cường hóa -20 ruby
[01:17:44 AM]  Mua Bột cường hóa -20 ruby
[01:17:44 AM]  Mua Bột cường hóa -20 ruby
[01:17:45 AM]  Mua Bột cường hóa -20 ruby
[01:17:45 AM]  Mua Bột cường hóa -20 ruby
[01:17:45 AM]  Mua Bột cường hóa -20 ruby
[01:17:45 AM]  Mua Bột cường hóa -20 ruby
[01:17:45 AM]  Mua Bột cường hóa -20 ruby
[01:17:45 AM]  Mua Bột cường hóa -20 ruby
[01:17:45 AM]  Mua Bột cường hóa -20 ruby
[01:17:46 AM]  Mua Bột cường hóa -20 ruby
[01:17:46 AM]  Mua Bột cường hóa -20 ruby
[01:17:46 AM]  Mua Bột cường hóa -20 ruby
[01:17:46 AM]  Mua Bột cường hóa -20 ruby
[01:17:47 AM]  Mua Bột cường hóa -20 ruby
[01:17:47 AM]  Mua Bột cường hóa -20 ruby
[01:17:47 AM]  Mua Bột cường hóa -20 ruby
[01:17:47 AM]  Mua Bột cường hóa -20 ruby
[01:17:47 AM]  Mua Bột cường hóa -20 ruby
[01:17:47 AM]  Mua Bột cường hóa -20 ruby
[01:17:48 AM]  Mua Bột cường hóa -20 ruby
[01:17:48 AM]  Mua Bột cường hóa -20 ruby
[01:17:48 AM]  Mua Bột cường hóa -20 ruby
[01:17:48 AM]  Mua Bột cường hóa -20 ruby
[01:17:48 AM]  Mua Bột cường hóa -20 ruby
[01:17:48 AM]  Mua Bột cường hóa -20 ruby
[01:17:48 AM]  Mua Bột cường hóa -20 ruby
[01:17:49 AM]  Mua Bột cường hóa -20 ruby
[01:17:49 AM]  Mua Bột cường hóa -20 ruby
[01:17:49 AM]  Mua Bột cường hóa -20 ruby
[01:17:49 AM]  Mua Bột cường hóa -20 ruby
[01:17:49 AM]  Mua Bột cường hóa -20 ruby
[01:17:49 AM]  Mua Bột cường hóa -20 ruby
[01:17:50 AM]  Mua Bột cường hóa -20 ruby
[01:17:50 AM]  Mua Bột cường hóa -20 ruby
[01:17:50 AM]  Mua Bột cường hóa -20 ruby
[01:17:50 AM]  Mua Bột cường hóa -20 ruby
[01:17:50 AM]  Mua Bột cường hóa -20 ruby
[01:17:51 AM]  Mua Bột cường hóa -20 ruby
[01:18:01 AM]  Mua Bột cường hóa -20 ruby
