[05:24:55 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[05:27:11 PM]  Mua Thời trang UTA -500 ruby
[05:28:29 PM]  Mua Xp Chiêu thức -6000 ruby
[05:28:31 PM]  Mua Kinh nghiệm X2 -60 ruby
[05:28:39 PM]  Mua 500 vé vòng quay -7500 ruby
[05:30:16 PM]  Mua Đá ác quỷ -40 ruby
[05:30:16 PM]  Mua Đá ác quỷ -40 ruby
[05:30:17 PM]  Mua Đá ác quỷ -40 ruby
[05:30:17 PM]  Mua Đá ác quỷ -40 ruby
[05:30:17 PM]  Mua Đá ác quỷ -40 ruby
[05:30:17 PM]  Mua Đá ác quỷ -40 ruby
[05:30:17 PM]  Mua Đá ác quỷ -40 ruby
[05:30:17 PM]  Mua Đá ác quỷ -40 ruby
[05:30:18 PM]  Mua Đá ác quỷ -40 ruby
[05:30:18 PM]  Mua Đá ác quỷ -40 ruby
[05:30:18 PM]  Mua Đá ác quỷ -40 ruby
[05:30:18 PM]  Mua Đá ác quỷ -40 ruby
[05:30:18 PM]  Mua Đá ác quỷ -40 ruby
[05:30:18 PM]  Mua Đá ác quỷ -40 ruby
[05:30:19 PM]  Mua Đá ác quỷ -40 ruby
[05:30:19 PM]  Mua Đá ác quỷ -40 ruby
[05:30:19 PM]  Mua Đá ác quỷ -40 ruby
[05:30:19 PM]  Mua Đá ác quỷ -40 ruby
[05:30:19 PM]  Mua Đá ác quỷ -40 ruby
[05:30:19 PM]  Mua Đá ác quỷ -40 ruby
[05:30:19 PM]  Mua Đá ác quỷ -40 ruby
[05:30:20 PM]  Mua Đá ác quỷ -40 ruby
[05:30:20 PM]  Mua Đá ác quỷ -40 ruby
[05:35:10 PM]  Mua Kinh nghiệm X2 -3 ruby
[05:35:21 PM]  Mua Súp baratie -1600 beri
[05:35:21 PM]  Mua Súp baratie -1600 beri
[05:35:21 PM]  Mua Súp baratie -1600 beri
[05:35:21 PM]  Mua Súp baratie -1600 beri
[05:35:21 PM]  Mua Súp baratie -1600 beri
[05:35:22 PM]  Mua Súp baratie -1600 beri
[05:35:22 PM]  Mua Súp baratie -1600 beri
[05:35:22 PM]  Mua Súp baratie -1600 beri
[05:35:22 PM]  Mua Súp baratie -1600 beri
[05:35:22 PM]  Mua Súp baratie -1600 beri
[05:35:22 PM]  Mua Súp baratie -1600 beri
[05:35:23 PM]  Mua Súp baratie -1600 beri
[05:35:23 PM]  Mua Súp baratie -1600 beri
[05:35:23 PM]  Mua Súp baratie -1600 beri
[05:35:24 PM]  Mua Quả Conache -0 beri
[05:35:24 PM]  Mua Quả Conache -0 beri
[05:35:25 PM]  Mua Quả Conache -0 beri
[05:35:25 PM]  Mua Quả Conache -0 beri
[05:35:25 PM]  Mua Quả Conache -0 beri
[05:35:25 PM]  Mua Quả Conache -0 beri
[05:35:25 PM]  Mua Quả Conache -0 beri
[05:35:25 PM]  Mua Quả Conache -0 beri
[05:35:25 PM]  Mua Quả Conache -0 beri
[05:35:26 PM]  Mua Quả Conache -0 beri
[05:35:26 PM]  Mua Quả Conache -0 beri
[05:35:26 PM]  Mua Quả Conache -0 beri
[05:35:26 PM]  Mua Quả Conache -0 beri
[05:35:26 PM]  Mua Quả Conache -0 beri
[05:35:26 PM]  Mua Quả Conache -0 beri
[05:35:27 PM]  Mua Quả Conache -0 beri
[05:35:27 PM]  Mua Quả Conache -0 beri
[05:39:55 PM]  Mua Bột cường hóa -20 ruby
[05:39:56 PM]  Mua Bột cường hóa -20 ruby
[05:39:56 PM]  Mua Bột cường hóa -20 ruby
[05:39:56 PM]  Mua Bột cường hóa -20 ruby
[05:39:56 PM]  Mua Bột cường hóa -20 ruby
[05:39:56 PM]  Mua Bột cường hóa -20 ruby
[05:39:57 PM]  Mua Bột cường hóa -20 ruby
[05:39:57 PM]  Mua Bột cường hóa -20 ruby
[05:39:57 PM]  Mua Bột cường hóa -20 ruby
[05:39:57 PM]  Mua Bột cường hóa -20 ruby
[05:39:57 PM]  Mua Bột cường hóa -20 ruby
[05:39:57 PM]  Mua Bột cường hóa -20 ruby
[05:39:57 PM]  Mua Bột cường hóa -20 ruby
[05:39:58 PM]  Mua Bột cường hóa -20 ruby
[05:39:58 PM]  Mua Bột cường hóa -20 ruby
[05:39:58 PM]  Mua Bột cường hóa -20 ruby
[05:39:58 PM]  Mua Bột cường hóa -20 ruby
[05:39:58 PM]  Mua Bột cường hóa -20 ruby
[05:39:58 PM]  Mua Bột cường hóa -20 ruby
[05:40:00 PM]  Mua Bột vàng -40 ruby
[05:40:01 PM]  Mua Bột vàng -40 ruby
[05:40:01 PM]  Mua Bột vàng -40 ruby
[05:40:01 PM]  Mua Bột vàng -40 ruby
[05:40:01 PM]  Mua Bột vàng -40 ruby
[05:40:02 PM]  Mua Bột vàng -40 ruby
[05:40:02 PM]  Mua Bột vàng -40 ruby
[05:40:02 PM]  Mua Bột vàng -40 ruby
