[03:00:28 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[03:02:46 PM]  Mua Trang phục Squid tam giác -500 ruby
[03:02:57 PM]  Mua Kinh nghiệm X2 -60 ruby
[03:02:57 PM]  Mua Kinh nghiệm X2 -60 ruby
[03:03:00 PM]  Mua Xp Chiêu thức -6000 ruby
[03:03:58 PM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.993.379
[03:05:06 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.993.379
[03:07:34 PM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.993.379
[03:09:33 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.993.379
[03:46:20 PM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.993.379
[03:46:30 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.993.379
[03:49:03 PM]  Mua 3000 vé vòng quay -45000 ruby
[04:13:16 PM]  Mua Bột cường hóa -20 ruby
[04:13:16 PM]  Mua Bột cường hóa -20 ruby
[04:13:16 PM]  Mua Bột cường hóa -20 ruby
[04:13:16 PM]  Mua Bột cường hóa -20 ruby
[04:13:16 PM]  Mua Bột cường hóa -20 ruby
[04:13:17 PM]  Mua Bột cường hóa -20 ruby
[04:13:17 PM]  Mua Bột cường hóa -20 ruby
[04:13:17 PM]  Mua Bột cường hóa -20 ruby
[04:13:17 PM]  Mua Bột cường hóa -20 ruby
[04:13:18 PM]  Mua Bột cường hóa -20 ruby
[04:13:18 PM]  Mua Bột cường hóa -20 ruby
[04:13:18 PM]  Mua Bột cường hóa -20 ruby
[04:13:18 PM]  Mua Bột cường hóa -20 ruby
[04:13:18 PM]  Mua Bột cường hóa -20 ruby
[04:13:19 PM]  Mua Bột cường hóa -20 ruby
[04:13:19 PM]  Mua Bột cường hóa -20 ruby
[04:13:19 PM]  Mua Bột cường hóa -20 ruby
[04:13:19 PM]  Mua Bột cường hóa -20 ruby
[04:13:19 PM]  Mua Bột cường hóa -20 ruby
[04:13:20 PM]  Mua Bột cường hóa -20 ruby
[04:13:20 PM]  Mua Bột cường hóa -20 ruby
[04:13:20 PM]  Mua Bột cường hóa -20 ruby
[04:13:20 PM]  Mua Bột cường hóa -20 ruby
[04:13:21 PM]  Mua Bột cường hóa -20 ruby
[04:13:21 PM]  Mua Bột cường hóa -20 ruby
[04:13:21 PM]  Mua Bột cường hóa -20 ruby
[04:13:21 PM]  Mua Bột cường hóa -20 ruby
[04:13:21 PM]  Mua Bột cường hóa -20 ruby
