[09:56:51 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[09:57:34 PM]  Mua Kinh nghiệm X2 -60 ruby
[09:57:36 PM]  Mua Xp Chiêu thức -6000 ruby
[09:57:59 PM]  Mua Tóc Kool -500 ruby
[09:59:37 PM]  Mua Râu đen -500 ruby
[10:00:00 PM]  Mua Pell -500 ruby
[10:01:37 PM]  Mua 500 vé vòng quay -7500 ruby
[10:09:17 PM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.984.939
[10:10:50 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.984.939
[10:17:34 PM]  Mua Súp baratie -1600 beri
[10:17:35 PM]  Mua Súp baratie -1600 beri
[10:17:35 PM]  Mua Súp baratie -1600 beri
[10:17:35 PM]  Mua Súp baratie -1600 beri
[10:17:35 PM]  Mua Súp baratie -1600 beri
[10:17:36 PM]  Mua Súp baratie -1600 beri
[10:17:36 PM]  Mua Súp baratie -1600 beri
[10:17:36 PM]  Mua Súp baratie -1600 beri
[10:17:36 PM]  Mua Súp baratie -1600 beri
[10:17:37 PM]  Mua Súp baratie -1600 beri
[10:17:37 PM]  Mua Súp baratie -1600 beri
[10:17:37 PM]  Mua Súp baratie -1600 beri
[10:17:37 PM]  Mua Súp baratie -1600 beri
[10:17:37 PM]  Mua Súp baratie -1600 beri
[10:17:38 PM]  Mua Súp baratie -1600 beri
[10:17:38 PM]  Mua Súp baratie -1600 beri
[10:17:38 PM]  Mua Súp baratie -1600 beri
[10:17:38 PM]  Mua Súp baratie -1600 beri
[10:17:38 PM]  Mua Súp baratie -1600 beri
[10:17:39 PM]  Mua Súp baratie -1600 beri
[10:17:39 PM]  Mua Súp baratie -1600 beri
[10:17:40 PM]  Mua Súp baratie -1600 beri
[10:17:40 PM]  Mua Súp baratie -1600 beri
[10:17:40 PM]  Mua Súp baratie -1600 beri
[10:17:40 PM]  Mua Súp baratie -1600 beri
[10:17:41 PM]  Mua Súp baratie -1600 beri
[10:17:41 PM]  Mua Súp baratie -1600 beri
[10:17:41 PM]  Mua Súp baratie -1600 beri
[10:17:41 PM]  Mua Súp baratie -1600 beri
[10:17:41 PM]  Mua Súp baratie -1600 beri
[10:17:42 PM]  Mua Súp baratie -1600 beri
[10:17:42 PM]  Mua Súp baratie -1600 beri
[10:17:42 PM]  Mua Súp baratie -1600 beri
[10:17:42 PM]  Mua Súp baratie -1600 beri
[10:17:43 PM]  Mua Súp baratie -1600 beri
[10:17:43 PM]  Mua Súp baratie -1600 beri
[10:17:44 PM]  Mua Súp baratie -1600 beri
[10:17:45 PM]  Mua Súp baratie -1600 beri
[10:17:45 PM]  Mua Súp baratie -1600 beri
[10:17:45 PM]  Mua Súp baratie -1600 beri
[10:17:45 PM]  Mua Súp baratie -1600 beri
[10:17:46 PM]  Mua Súp baratie -1600 beri
[10:17:46 PM]  Mua Súp baratie -1600 beri
[10:17:46 PM]  Mua Súp baratie -1600 beri
[10:17:46 PM]  Mua Súp baratie -1600 beri
[10:17:47 PM]  Mua Súp baratie -1600 beri
[10:17:47 PM]  Mua Súp baratie -1600 beri
[10:17:47 PM]  Mua Súp baratie -1600 beri
[10:17:47 PM]  Mua Súp baratie -1600 beri
[10:17:48 PM]  Mua Súp baratie -1600 beri
[10:17:48 PM]  Mua Súp baratie -1600 beri
[10:17:48 PM]  Mua Súp baratie -1600 beri
[10:17:48 PM]  Mua Súp baratie -1600 beri
[10:17:48 PM]  Mua Súp baratie -1600 beri
[10:17:48 PM]  Mua Súp baratie -1600 beri
[10:17:49 PM]  Mua Súp baratie -1600 beri
[10:17:49 PM]  Mua Súp baratie -1600 beri
[10:17:49 PM]  Mua Súp baratie -1600 beri
[10:17:49 PM]  Mua Súp baratie -1600 beri
[10:17:49 PM]  Mua Súp baratie -1600 beri
[10:17:49 PM]  Mua Súp baratie -1600 beri
[10:17:50 PM]  Mua Súp baratie -1600 beri
[10:17:50 PM]  Mua Súp baratie -1600 beri
[10:17:50 PM]  Mua Súp baratie -1600 beri
[10:17:50 PM]  Mua Súp baratie -1600 beri
[10:17:51 PM]  Mua Súp baratie -1600 beri
[10:17:51 PM]  Mua Súp baratie -1600 beri
[10:17:51 PM]  Mua Súp baratie -1600 beri
[10:17:51 PM]  Mua Súp baratie -1600 beri
[10:17:51 PM]  Mua Súp baratie -1600 beri
[10:17:51 PM]  Mua Súp baratie -1600 beri
[10:17:52 PM]  Mua Súp baratie -1600 beri
[10:17:52 PM]  Mua Súp baratie -1600 beri
[10:17:52 PM]  Mua Súp baratie -1600 beri
[10:17:52 PM]  Mua Súp baratie -1600 beri
[10:17:53 PM]  Mua Súp baratie -1600 beri
[10:17:53 PM]  Mua Súp baratie -1600 beri
[10:17:53 PM]  Mua Súp baratie -1600 beri
[10:17:53 PM]  Mua Súp baratie -1600 beri
[10:17:53 PM]  Mua Súp baratie -1600 beri
[10:17:54 PM]  Mua Súp baratie -1600 beri
[10:17:54 PM]  Mua Súp baratie -1600 beri
[10:17:54 PM]  Mua Súp baratie -1600 beri
[10:17:54 PM]  Mua Súp baratie -1600 beri
[10:17:55 PM]  Mua Súp baratie -1600 beri
[10:17:55 PM]  Mua Súp baratie -1600 beri
[10:17:55 PM]  Mua Súp baratie -1600 beri
[10:17:55 PM]  Mua Súp baratie -1600 beri
[10:17:55 PM]  Mua Súp baratie -1600 beri
[10:17:56 PM]  Mua Súp baratie -1600 beri
[10:17:56 PM]  Mua Súp baratie -1600 beri
[10:17:56 PM]  Mua Súp baratie -1600 beri
[10:17:56 PM]  Mua Súp baratie -1600 beri
[10:17:56 PM]  Mua Súp baratie -1600 beri
[10:17:56 PM]  Mua Súp baratie -1600 beri
[10:17:57 PM]  Mua Súp baratie -1600 beri
[10:17:57 PM]  Mua Súp baratie -1600 beri
[10:17:57 PM]  Mua Súp baratie -1600 beri
[10:17:57 PM]  Mua Súp baratie -1600 beri
[10:17:57 PM]  Mua Súp baratie -1600 beri
[10:17:58 PM]  Mua Súp baratie -1600 beri
[10:17:58 PM]  Mua Súp baratie -1600 beri
[10:17:58 PM]  Mua Súp baratie -1600 beri
[10:17:58 PM]  Mua Súp baratie -1600 beri
[10:17:59 PM]  Mua Súp baratie -1600 beri
[10:17:59 PM]  Mua Súp baratie -1600 beri
[10:17:59 PM]  Mua Súp baratie -1600 beri
[10:17:59 PM]  Mua Súp baratie -1600 beri
[10:17:59 PM]  Mua Súp baratie -1600 beri
[10:18:00 PM]  Mua Súp baratie -1600 beri
[10:18:00 PM]  Mua Súp baratie -1600 beri
[10:18:00 PM]  Mua Súp baratie -1600 beri
[10:18:00 PM]  Mua Súp baratie -1600 beri
[10:18:01 PM]  Mua Súp baratie -1600 beri
[10:18:01 PM]  Mua Súp baratie -1600 beri
[10:18:01 PM]  Mua Súp baratie -1600 beri
[10:18:01 PM]  Mua Súp baratie -1600 beri
[10:18:01 PM]  Mua Súp baratie -1600 beri
[10:18:02 PM]  Mua Súp baratie -1600 beri
[10:18:02 PM]  Mua Súp baratie -1600 beri
[10:18:02 PM]  Mua Súp baratie -1600 beri
[10:18:02 PM]  Mua Súp baratie -1600 beri
[10:18:02 PM]  Mua Súp baratie -1600 beri
[10:18:02 PM]  Mua Súp baratie -1600 beri
[10:18:03 PM]  Mua Súp baratie -1600 beri
