[05:59:36 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[06:00:07 AM]  Mua Xp Chiêu thức -6000 ruby
[06:00:07 AM]  Mua Xp Chiêu thức -6000 ruby
[06:00:07 AM]  Mua Xp Chiêu thức -6000 ruby
[06:00:07 AM]  Mua Xp Chiêu thức -6000 ruby
[06:00:08 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:00:09 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:00:09 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:00:09 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:00:11 AM]  Mua Súp baratie -1600 beri
[06:00:11 AM]  Mua Súp baratie -1600 beri
[06:00:11 AM]  Mua Súp baratie -1600 beri
[06:00:11 AM]  Mua Súp baratie -1600 beri
[06:00:11 AM]  Mua Súp baratie -1600 beri
[06:00:11 AM]  Mua Súp baratie -1600 beri
[06:00:12 AM]  Mua Súp baratie -1600 beri
[06:00:12 AM]  Mua Súp baratie -1600 beri
[06:00:12 AM]  Mua Súp baratie -1600 beri
[06:00:12 AM]  Mua Súp baratie -1600 beri
[06:00:12 AM]  Mua Súp baratie -1600 beri
[06:00:12 AM]  Mua Súp baratie -1600 beri
[06:00:13 AM]  Mua Súp baratie -1600 beri
[06:00:13 AM]  Mua Súp baratie -1600 beri
[06:00:13 AM]  Mua Súp baratie -1600 beri
[06:00:13 AM]  Mua Súp baratie -1600 beri
[06:00:13 AM]  Mua Súp baratie -1600 beri
[06:00:13 AM]  Mua Súp baratie -1600 beri
[06:00:14 AM]  Mua Súp baratie -1600 beri
[06:00:14 AM]  Mua Súp baratie -1600 beri
[06:00:16 AM]  Mua Cola -800 beri
[06:00:16 AM]  Mua Cola -800 beri
[06:00:17 AM]  Mua Cola -800 beri
[06:00:17 AM]  Mua Cola -800 beri
[06:00:17 AM]  Mua Cola -800 beri
[06:00:17 AM]  Mua Cola -800 beri
[06:00:17 AM]  Mua Cola -800 beri
[06:00:17 AM]  Mua Cola -800 beri
[06:00:18 AM]  Mua Cola -800 beri
[06:00:18 AM]  Mua Cola -800 beri
[06:00:18 AM]  Mua Cola -800 beri
[06:00:18 AM]  Mua Cola -800 beri
[06:00:18 AM]  Mua Cola -800 beri
[06:00:18 AM]  Mua Cola -800 beri
[06:00:19 AM]  Mua Cola -800 beri
[06:00:19 AM]  Mua Cola -800 beri
[06:00:19 AM]  Mua Cola -800 beri
[06:00:28 AM]  Mua Tóc Siêu Sao -500 ruby
[06:00:36 AM]  Mua Thời trang UTA -500 ruby
[06:00:42 AM]  Mua D-Gap -500 ruby
[06:00:45 AM]  Mua Bão tố -500 ruby
[06:00:48 AM]  Mua Chuột thần tài -500 ruby
[06:00:52 AM]  Mua Trang phục Raid Suit Niji -500 ruby
[06:00:56 AM]  Mua Trang phục Raid Suit Sanji -500 ruby
[06:01:01 AM]  Mua Trang phục Franky -500 ruby
[06:12:14 AM]  Logout : [Beri] 1.999.954.399 [Ruby] 1.999.971.759
[06:12:28 AM]  Login : [Beri] 1.999.954.399 [Ruby] 1.999.971.759
[06:19:52 AM]  Logout : [Beri] 1.999.954.399 [Ruby] 1.999.971.759
[08:44:14 AM]  Login : [Beri] 1.999.954.399 [Ruby] 1.999.971.759
[08:44:38 AM]  Mua Quả Conache -0 beri
[08:44:38 AM]  Mua Quả Conache -0 beri
[08:44:38 AM]  Mua Quả Conache -0 beri
[08:44:38 AM]  Mua Quả Conache -0 beri
[08:44:38 AM]  Mua Quả Conache -0 beri
[08:44:38 AM]  Mua Quả Conache -0 beri
[08:44:39 AM]  Mua Quả Conache -0 beri
[08:44:39 AM]  Mua Quả Conache -0 beri
[08:44:39 AM]  Mua Quả Conache -0 beri
[08:44:39 AM]  Mua Quả Conache -0 beri
[08:44:39 AM]  Mua Quả Conache -0 beri
[08:44:40 AM]  Mua Quả Conache -0 beri
[08:44:40 AM]  Mua Quả Conache -0 beri
[08:44:40 AM]  Mua Quả Conache -0 beri
[08:44:40 AM]  Mua Quả Conache -0 beri
[08:44:40 AM]  Mua Quả Conache -0 beri
[08:44:40 AM]  Mua Quả Conache -0 beri
[08:44:41 AM]  Mua Quả Conache -0 beri
[08:44:41 AM]  Mua Quả Conache -0 beri
[08:44:41 AM]  Mua Quả Conache -0 beri
[08:44:41 AM]  Mua Quả Conache -0 beri
[08:44:41 AM]  Mua Quả Conache -0 beri
[08:44:42 AM]  Mua Quả Conache -0 beri
[08:44:42 AM]  Mua Quả Conache -0 beri
[08:44:42 AM]  Mua Quả Conache -0 beri
[08:44:42 AM]  Mua Quả Conache -0 beri
[08:44:42 AM]  Mua Quả Conache -0 beri
[08:44:42 AM]  Mua Quả Conache -0 beri
[08:44:43 AM]  Mua Quả Conache -0 beri
[08:44:43 AM]  Mua Quả Conache -0 beri
[08:44:43 AM]  Mua Quả Conache -0 beri
[08:44:43 AM]  Mua Quả Conache -0 beri
[08:44:43 AM]  Mua Quả Conache -0 beri
[08:44:43 AM]  Mua Quả Conache -0 beri
[08:44:44 AM]  Mua Quả Conache -0 beri
[08:44:44 AM]  Mua Quả Conache -0 beri
[08:44:44 AM]  Mua Quả Conache -0 beri
[08:44:44 AM]  Mua Quả Conache -0 beri
[08:44:44 AM]  Mua Quả Conache -0 beri
[08:44:44 AM]  Mua Quả Conache -0 beri
[08:44:45 AM]  Mua Quả Conache -0 beri
[08:44:45 AM]  Mua Quả Conache -0 beri
[08:44:45 AM]  Mua Quả Conache -0 beri
[08:44:45 AM]  Mua Quả Conache -0 beri
[08:44:45 AM]  Mua Quả Conache -0 beri
[08:44:47 AM]  Mua Súp baratie -1600 beri
[08:44:47 AM]  Mua Súp baratie -1600 beri
[08:44:47 AM]  Mua Súp baratie -1600 beri
[08:44:47 AM]  Mua Súp baratie -1600 beri
[08:44:47 AM]  Mua Súp baratie -1600 beri
[08:44:47 AM]  Mua Súp baratie -1600 beri
[08:44:48 AM]  Mua Súp baratie -1600 beri
[08:44:48 AM]  Mua Súp baratie -1600 beri
[08:44:48 AM]  Mua Súp baratie -1600 beri
[08:44:48 AM]  Mua Súp baratie -1600 beri
