[06:32:50 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[06:33:41 PM]  Mua Xp Chiêu thức -6000 ruby
[06:34:37 PM]  Mua 100 vé vòng quay -1500 ruby
[06:36:23 PM]  Mua Trang phục Mihawk -500 ruby
[06:37:37 PM]  Mua Súp baratie -1600 beri
[06:37:37 PM]  Mua Súp baratie -1600 beri
[06:37:38 PM]  Mua Súp baratie -1600 beri
[06:37:38 PM]  Mua Súp baratie -1600 beri
[06:37:38 PM]  Mua Súp baratie -1600 beri
[06:37:38 PM]  Mua Súp baratie -1600 beri
[06:37:38 PM]  Mua Súp baratie -1600 beri
[06:37:39 PM]  Mua Súp baratie -1600 beri
[06:37:39 PM]  Mua Súp baratie -1600 beri
[06:37:39 PM]  Mua Súp baratie -1600 beri
[06:37:39 PM]  Mua Súp baratie -1600 beri
[06:37:39 PM]  Mua Súp baratie -1600 beri
[06:37:40 PM]  Mua Súp baratie -1600 beri
[06:37:40 PM]  Mua Súp baratie -1600 beri
[06:37:40 PM]  Mua Súp baratie -1600 beri
[06:37:40 PM]  Mua Súp baratie -1600 beri
[06:37:41 PM]  Mua Cola -800 beri
[06:37:42 PM]  Mua Cola -800 beri
[06:37:42 PM]  Mua Cola -800 beri
[06:37:42 PM]  Mua Cola -800 beri
[06:37:42 PM]  Mua Cola -800 beri
[06:37:42 PM]  Mua Cola -800 beri
[06:37:42 PM]  Mua Cola -800 beri
[06:37:43 PM]  Mua Cola -800 beri
[06:37:43 PM]  Mua Cola -800 beri
[06:37:43 PM]  Mua Cola -800 beri
[06:38:26 PM]  Logout : [Beri] 1.999.966.399 [Ruby] 1.999.991.999
