[11:24:31 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[11:26:44 AM]  Mua 999 vé vòng quay -14985 ruby
[11:29:33 AM]  Mua Thần chết -500 ruby
[11:34:25 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:25 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:25 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:26 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:26 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:26 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:26 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:26 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:27 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:27 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:27 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:27 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:27 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:27 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:27 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:27 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:28 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:28 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:28 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:28 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:28 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:28 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:28 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:29 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:29 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:29 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:29 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:29 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:29 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:30 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:30 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:30 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:30 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:30 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:30 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:31 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:31 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:31 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:31 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:31 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:31 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:32 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:32 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:33 AM]  Mua Quả Conache -0 beri
[11:34:33 AM]  Mua Quả Conache -0 beri
[11:34:33 AM]  Mua Quả Conache -0 beri
[11:34:34 AM]  Mua Quả Conache -0 beri
[11:34:34 AM]  Mua Quả Conache -0 beri
[11:34:34 AM]  Mua Quả Conache -0 beri
[11:34:34 AM]  Mua Quả Conache -0 beri
[11:34:34 AM]  Mua Quả Conache -0 beri
[11:34:34 AM]  Mua Quả Conache -0 beri
[11:34:35 AM]  Mua Quả Conache -0 beri
[11:34:35 AM]  Mua Quả Conache -0 beri
[11:34:35 AM]  Mua Quả Conache -0 beri
[11:34:35 AM]  Mua Quả Conache -0 beri
[11:34:35 AM]  Mua Quả Conache -0 beri
[11:34:35 AM]  Mua Quả Conache -0 beri
[11:34:36 AM]  Mua Quả Conache -0 beri
[11:34:36 AM]  Mua Quả Conache -0 beri
[11:34:36 AM]  Mua Quả Conache -0 beri
[11:34:36 AM]  Mua Quả Conache -0 beri
[11:34:36 AM]  Mua Quả Conache -0 beri
[11:34:36 AM]  Mua Quả Conache -0 beri
[11:34:37 AM]  Mua Quả Conache -0 beri
[11:34:37 AM]  Mua Quả Conache -0 beri
[11:34:37 AM]  Mua Quả Conache -0 beri
[11:34:38 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:38 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:38 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:39 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:39 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:39 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:39 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:39 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:40 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:40 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:40 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:40 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:40 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:40 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:40 AM]  Mua Cơm hộp hải tặc -0 beri
[11:34:42 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:34:42 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:34:42 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:34:42 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:34:42 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:34:43 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:34:43 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:34:43 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:34:44 AM]  Mua Xp Chiêu thức -6000 ruby
[11:34:44 AM]  Mua Xp Chiêu thức -6000 ruby
[11:34:44 AM]  Mua Xp Chiêu thức -6000 ruby
[11:34:45 AM]  Mua Xp Chiêu thức -6000 ruby
[11:34:45 AM]  Mua Xp Chiêu thức -6000 ruby
[11:47:36 AM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.954.034
[11:47:45 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.954.034
[11:48:21 AM]  Mua Kiếm thất truyền 2 -500000 beri
[11:48:26 AM]  Mua Mũ sọc tím 2 -500000 beri
[11:48:28 AM]  Mua Khố tím 2 -500000 beri
[11:48:30 AM]  Mua Áo vắt vai 2 -500000 beri
[11:49:31 AM]  Mua Kiếm tôi luyện 2 -500000 beri
[11:49:33 AM]  Mua Áo khoát phong trần 2 -500000 beri
[11:49:35 AM]  Mua Quần tơ tầm 2 -500000 beri
[12:02:54 PM]  Mua Mũ sọc tím 2 -500000 beri
[12:02:57 PM]  Mua Áo vắt vai 2 -500000 beri
[12:02:59 PM]  Mua Khố tím 2 -500000 beri
[12:03:02 PM]  Mua Kiếm thất truyền 2 -500000 beri
[12:04:02 PM]  Mua Khố tím 2 -500000 beri
[12:04:05 PM]  Mua Mũ sọc tím 2 -500000 beri
[12:04:08 PM]  Mua Mũ sọc tím 2 -500000 beri
[12:04:11 PM]  Mua Kiếm thất truyền 2 -500000 beri
[12:04:13 PM]  Mua Kiếm thất truyền 2 -500000 beri
[12:04:14 PM]  Mua Kiếm thất truyền 2 -500000 beri
[12:04:50 PM]  Mua Kiếm thất truyền 2 -500000 beri
[12:04:51 PM]  Mua Kiếm thất truyền 2 -500000 beri
[12:04:51 PM]  Mua Kiếm thất truyền 2 -500000 beri
[12:04:52 PM]  Mua Kiếm thất truyền 2 -500000 beri
[12:04:53 PM]  Mua Kiếm thất truyền 2 -500000 beri
[12:04:54 PM]  Mua Kiếm thất truyền 2 -500000 beri
[12:06:59 PM]  Mua Mũ sọc tím 2 -500000 beri
[12:07:01 PM]  Mua Mũ sọc tím 2 -500000 beri
[12:07:04 PM]  Mua Mũ sọc tím 2 -500000 beri
[12:07:05 PM]  Mua Mũ sọc tím 2 -500000 beri
[12:07:06 PM]  Mua Mũ sọc tím 2 -500000 beri
[12:11:03 PM]  Mua Áo vắt vai 2 -500000 beri
[12:11:04 PM]  Mua Áo vắt vai 2 -500000 beri
[12:11:06 PM]  Mua Áo vắt vai 2 -500000 beri
[12:11:36 PM]  Mua Khố tím 2 -500000 beri
[12:11:37 PM]  Mua Khố tím 2 -500000 beri
[12:11:38 PM]  Mua Khố tím 2 -500000 beri
[12:11:38 PM]  Mua Khố tím 2 -500000 beri
[12:11:40 PM]  Mua Khố tím 2 -500000 beri
[12:11:41 PM]  Mua Khố tím 2 -500000 beri
[12:11:42 PM]  Mua Khố tím 2 -500000 beri
[12:11:43 PM]  Mua Khố tím 2 -500000 beri
[12:19:40 PM]  Mua Bột cường hóa -20 ruby
[12:19:41 PM]  Mua Bột cường hóa -20 ruby
[12:19:41 PM]  Mua Bột cường hóa -20 ruby
[12:19:41 PM]  Mua Bột cường hóa -20 ruby
[12:19:41 PM]  Mua Bột cường hóa -20 ruby
[12:19:41 PM]  Mua Bột cường hóa -20 ruby
[12:19:41 PM]  Mua Bột cường hóa -20 ruby
[12:19:41 PM]  Mua Bột cường hóa -20 ruby
[12:19:41 PM]  Mua Bột cường hóa -20 ruby
[12:19:41 PM]  Mua Bột cường hóa -20 ruby
[12:19:41 PM]  Mua Bột cường hóa -20 ruby
[12:19:42 PM]  Mua Bột cường hóa -20 ruby
[12:19:42 PM]  Mua Bột cường hóa -20 ruby
[12:19:42 PM]  Mua Bột cường hóa -20 ruby
[12:19:42 PM]  Mua Bột cường hóa -20 ruby
[12:19:42 PM]  Mua Bột cường hóa -20 ruby
[12:19:43 PM]  Mua Bột cường hóa -20 ruby
[12:19:43 PM]  Mua Bột cường hóa -20 ruby
[12:19:43 PM]  Mua Bột cường hóa -20 ruby
[12:19:43 PM]  Mua Bột cường hóa -20 ruby
[12:19:44 PM]  Mua Bột cường hóa -20 ruby
[12:19:44 PM]  Mua Bột cường hóa -20 ruby
[12:19:44 PM]  Mua Bột cường hóa -20 ruby
[12:19:44 PM]  Mua Bột cường hóa -20 ruby
[12:19:44 PM]  Mua Bột cường hóa -20 ruby
[12:19:45 PM]  Mua Bột cường hóa -20 ruby
[12:19:45 PM]  Mua Bột cường hóa -20 ruby
[12:19:45 PM]  Mua Bột cường hóa -20 ruby
[12:19:45 PM]  Mua Bột cường hóa -20 ruby
[12:19:45 PM]  Mua Bột cường hóa -20 ruby
[12:19:45 PM]  Mua Bột cường hóa -20 ruby
[12:19:45 PM]  Mua Bột cường hóa -20 ruby
[12:19:46 PM]  Mua Bột cường hóa -20 ruby
[12:19:46 PM]  Mua Bột cường hóa -20 ruby
[12:19:47 PM]  Mua Bột cường hóa -20 ruby
[12:19:47 PM]  Mua Bột cường hóa -20 ruby
[12:19:47 PM]  Mua Bột cường hóa -20 ruby
[12:19:47 PM]  Mua Bột cường hóa -20 ruby
[12:19:47 PM]  Mua Bột cường hóa -20 ruby
[12:19:47 PM]  Mua Bột cường hóa -20 ruby
[12:19:47 PM]  Mua Bột cường hóa -20 ruby
[12:19:48 PM]  Mua Bột cường hóa -20 ruby
[12:19:48 PM]  Mua Bột cường hóa -20 ruby
[12:19:49 PM]  Mua Bột cường hóa -20 ruby
[12:19:49 PM]  Mua Bột cường hóa -20 ruby
[12:19:49 PM]  Mua Bột cường hóa -20 ruby
[12:19:49 PM]  Mua Bột cường hóa -20 ruby
[12:19:49 PM]  Mua Bột cường hóa -20 ruby
[12:19:49 PM]  Mua Bột cường hóa -20 ruby
[12:19:49 PM]  Mua Bột cường hóa -20 ruby
[12:19:50 PM]  Mua Bột cường hóa -20 ruby
[12:19:50 PM]  Mua Bột cường hóa -20 ruby
[12:19:50 PM]  Mua Bột cường hóa -20 ruby
[12:19:50 PM]  Mua Bột cường hóa -20 ruby
[12:19:50 PM]  Mua Bột cường hóa -20 ruby
[12:19:50 PM]  Mua Bột cường hóa -20 ruby
[12:19:51 PM]  Mua Bột cường hóa -20 ruby
[12:19:55 PM]  Mua Bột cường hóa -20 ruby
[12:19:55 PM]  Mua Bột cường hóa -20 ruby
[12:19:55 PM]  Mua Bột cường hóa -20 ruby
[12:19:55 PM]  Mua Bột cường hóa -20 ruby
[12:19:55 PM]  Mua Bột cường hóa -20 ruby
[12:19:56 PM]  Mua Bột cường hóa -20 ruby
[12:19:56 PM]  Mua Bột cường hóa -20 ruby
[12:19:56 PM]  Mua Bột cường hóa -20 ruby
[12:19:56 PM]  Mua Bột cường hóa -20 ruby
[12:19:56 PM]  Mua Bột cường hóa -20 ruby
[12:19:57 PM]  Mua Bột cường hóa -20 ruby
[12:19:57 PM]  Mua Bột cường hóa -20 ruby
[12:19:57 PM]  Mua Bột cường hóa -20 ruby
[12:19:57 PM]  Mua Bột cường hóa -20 ruby
[12:19:57 PM]  Mua Bột cường hóa -20 ruby
[12:19:57 PM]  Mua Bột cường hóa -20 ruby
[12:19:58 PM]  Mua Bột cường hóa -20 ruby
[12:19:58 PM]  Mua Bột cường hóa -20 ruby
[12:19:58 PM]  Mua Bột cường hóa -20 ruby
[12:19:58 PM]  Mua Bột cường hóa -20 ruby
[12:19:58 PM]  Mua Bột cường hóa -20 ruby
[12:19:59 PM]  Mua Bột cường hóa -20 ruby
[12:19:59 PM]  Mua Bột cường hóa -20 ruby
[12:19:59 PM]  Mua Bột cường hóa -20 ruby
[12:19:59 PM]  Mua Bột cường hóa -20 ruby
[12:19:59 PM]  Mua Bột cường hóa -20 ruby
[12:19:59 PM]  Mua Bột cường hóa -20 ruby
[12:20:00 PM]  Mua Bột cường hóa -20 ruby
[12:20:00 PM]  Mua Bột cường hóa -20 ruby
[12:20:00 PM]  Mua Bột cường hóa -20 ruby
[12:20:00 PM]  Mua Bột cường hóa -20 ruby
[12:20:00 PM]  Mua Bột cường hóa -20 ruby
[12:20:01 PM]  Mua Bột cường hóa -20 ruby
[12:20:01 PM]  Mua Bột cường hóa -20 ruby
[12:20:01 PM]  Mua Bột cường hóa -20 ruby
[12:20:01 PM]  Mua Bột cường hóa -20 ruby
[12:20:01 PM]  Mua Bột cường hóa -20 ruby
[12:20:01 PM]  Mua Bột cường hóa -20 ruby
[12:20:01 PM]  Mua Bột cường hóa -20 ruby
[12:20:02 PM]  Mua Bột cường hóa -20 ruby
[12:20:02 PM]  Mua Bột cường hóa -20 ruby
[12:20:02 PM]  Mua Bột cường hóa -20 ruby
[12:20:02 PM]  Mua Bột cường hóa -20 ruby
[12:20:02 PM]  Mua Bột cường hóa -20 ruby
[12:20:03 PM]  Mua Bột cường hóa -20 ruby
[12:20:03 PM]  Mua Bột cường hóa -20 ruby
[12:20:03 PM]  Mua Bột cường hóa -20 ruby
[12:20:03 PM]  Mua Bột cường hóa -20 ruby
[12:20:03 PM]  Mua Bột cường hóa -20 ruby
[12:20:04 PM]  Mua Bột cường hóa -20 ruby
[12:20:04 PM]  Mua Bột cường hóa -20 ruby
[12:20:04 PM]  Mua Bột cường hóa -20 ruby
[12:20:04 PM]  Mua Bột cường hóa -20 ruby
[12:20:04 PM]  Mua Bột cường hóa -20 ruby
[12:20:04 PM]  Mua Bột cường hóa -20 ruby
[12:20:05 PM]  Mua Bột cường hóa -20 ruby
[12:20:05 PM]  Mua Bột cường hóa -20 ruby
[12:20:05 PM]  Mua Bột cường hóa -20 ruby
