[01:12:31 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[01:14:13 AM]  Mua Tóc khỉ con -500 ruby
[01:15:27 AM]  Mua Trong tài worldcup -500 ruby
[01:15:41 AM]  Mua Xp Chiêu thức -6000 ruby
[01:15:44 AM]  Mua Kinh nghiệm X2 -60 ruby
[01:15:53 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:53 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:54 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:54 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:54 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:54 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:54 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:54 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:55 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:55 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:55 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:55 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:55 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:56 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:56 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:56 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:56 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:57 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:57 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:57 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:57 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:57 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:57 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:58 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:58 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:58 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:58 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:58 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:59 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:59 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:59 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:59 AM]  Mua Cơm hộp hải tặc -0 beri
[01:15:59 AM]  Mua Cơm hộp hải tặc -0 beri
[01:16:00 AM]  Mua Cơm hộp hải tặc -0 beri
[01:16:00 AM]  Mua Cơm hộp hải tặc -0 beri
[01:16:00 AM]  Mua Cơm hộp hải tặc -0 beri
[01:16:00 AM]  Mua Cơm hộp hải tặc -0 beri
[01:16:00 AM]  Mua Cơm hộp hải tặc -0 beri
[01:16:01 AM]  Mua Cơm hộp hải tặc -0 beri
[01:16:01 AM]  Mua Cơm hộp hải tặc -0 beri
[01:16:01 AM]  Mua Cơm hộp hải tặc -0 beri
[01:16:01 AM]  Mua Cơm hộp hải tặc -0 beri
[01:16:01 AM]  Mua Cơm hộp hải tặc -0 beri
[01:16:02 AM]  Mua Cơm hộp hải tặc -0 beri
[01:16:02 AM]  Mua Cơm hộp hải tặc -0 beri
[01:16:02 AM]  Mua Cơm hộp hải tặc -0 beri
[01:16:05 AM]  Mua Quả Conache -0 beri
[01:16:06 AM]  Mua Quả Conache -0 beri
[01:16:06 AM]  Mua Quả Conache -0 beri
[01:16:06 AM]  Mua Quả Conache -0 beri
[01:16:06 AM]  Mua Quả Conache -0 beri
[01:16:06 AM]  Mua Quả Conache -0 beri
[01:16:07 AM]  Mua Quả Conache -0 beri
[01:16:07 AM]  Mua Quả Conache -0 beri
[01:16:07 AM]  Mua Quả Conache -0 beri
[01:16:07 AM]  Mua Quả Conache -0 beri
[01:16:07 AM]  Mua Quả Conache -0 beri
[01:16:08 AM]  Mua Quả Conache -0 beri
[01:16:08 AM]  Mua Quả Conache -0 beri
[01:16:08 AM]  Mua Quả Conache -0 beri
[01:16:08 AM]  Mua Quả Conache -0 beri
[01:16:09 AM]  Mua Quả Conache -0 beri
[01:16:09 AM]  Mua Quả Conache -0 beri
[01:16:09 AM]  Mua Quả Conache -0 beri
[01:16:09 AM]  Mua Quả Conache -0 beri
[01:16:09 AM]  Mua Quả Conache -0 beri
[01:16:10 AM]  Mua Quả Conache -0 beri
[01:16:10 AM]  Mua Quả Conache -0 beri
[01:16:10 AM]  Mua Quả Conache -0 beri
[01:16:10 AM]  Mua Quả Conache -0 beri
[01:16:10 AM]  Mua Quả Conache -0 beri
[01:16:11 AM]  Mua Quả Conache -0 beri
[01:16:11 AM]  Mua Quả Conache -0 beri
[01:16:11 AM]  Mua Quả Conache -0 beri
[01:16:11 AM]  Mua Quả Conache -0 beri
[01:16:11 AM]  Mua Quả Conache -0 beri
[01:16:12 AM]  Mua Quả Conache -0 beri
[01:16:12 AM]  Mua Quả Conache -0 beri
[01:16:12 AM]  Mua Quả Conache -0 beri
[01:16:12 AM]  Mua Quả Conache -0 beri
[01:16:13 AM]  Mua Quả Conache -0 beri
[01:16:13 AM]  Mua Quả Conache -0 beri
[01:16:13 AM]  Mua Quả Conache -0 beri
[01:16:13 AM]  Mua Quả Conache -0 beri
[01:16:13 AM]  Mua Quả Conache -0 beri
[01:16:14 AM]  Mua Quả Conache -0 beri
[01:16:14 AM]  Mua Quả Conache -0 beri
[01:16:14 AM]  Mua Quả Conache -0 beri
[01:16:14 AM]  Mua Quả Conache -0 beri
[01:16:15 AM]  Mua Quả Conache -0 beri
[01:16:15 AM]  Mua Quả Conache -0 beri
[01:16:15 AM]  Mua Quả Conache -0 beri
[01:16:15 AM]  Mua Quả Conache -0 beri
[01:16:15 AM]  Mua Quả Conache -0 beri
[01:16:16 AM]  Mua Quả Conache -0 beri
[01:16:16 AM]  Mua Quả Conache -0 beri
[01:16:16 AM]  Mua Quả Conache -0 beri
[01:16:16 AM]  Mua Quả Conache -0 beri
[01:16:17 AM]  Mua Quả Conache -0 beri
[01:16:17 AM]  Mua Quả Conache -0 beri
[01:16:17 AM]  Mua Quả Conache -0 beri
[01:16:17 AM]  Mua Quả Conache -0 beri
[01:16:17 AM]  Mua Quả Conache -0 beri
[01:22:17 AM]  Mua 5000 vé vòng quay -75000 ruby
[01:29:20 AM]  Mua Đá ác quỷ -40 ruby
