[12:48:10 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[12:49:33 PM]  Mua Đấng -500 ruby
[12:49:44 PM]  Mua Tóc khỉ con -500 ruby
[12:49:57 PM]  Mua Pell -500 ruby
[12:50:37 PM]  Mua 99 vé vòng quay -1485 ruby
[12:52:23 PM]  Mua Súp baratie -1600 beri
[12:52:23 PM]  Mua Súp baratie -1600 beri
[12:53:53 PM]  Mua Xp Chiêu thức -300 ruby
[12:53:56 PM]  Mua Kinh nghiệm X2 -3 ruby
[12:59:56 PM]  Mua 9999 vé vòng quay -149985 ruby
[01:01:00 PM]  Logout : [Beri] 1.999.996.799 [Ruby] 1.999.846.726
[01:02:45 PM]  Login : [Beri] 1.999.996.799 [Ruby] 1.999.846.726
[01:03:13 PM]  Logout : [Beri] 1.999.996.799 [Ruby] 1.999.846.726
[01:03:25 PM]  Login : [Beri] 1.999.996.799 [Ruby] 1.999.846.726
[01:03:27 PM]  Logout : [Beri] 1.999.996.799 [Ruby] 1.999.846.726
[01:03:36 PM]  Login : [Beri] 1.999.996.799 [Ruby] 1.999.846.726
[01:21:18 PM]  Logout : [Beri] 1.999.996.799 [Ruby] 1.999.846.726
[01:21:43 PM]  Login : [Beri] 1.999.996.799 [Ruby] 1.999.846.726
[01:47:37 PM]  Mua 30000 vé vòng quay -450000 ruby
[02:43:20 PM]  Logout : [Beri] 1.999.996.799 [Ruby] 1.999.396.726
[02:55:06 PM]  Login : [Beri] 1.999.996.799 [Ruby] 1.999.396.726
[03:03:50 PM]  Logout : [Beri] 1.999.996.799 [Ruby] 1.999.396.726
[03:36:01 PM]  Login : [Beri] 1.999.996.799 [Ruby] 1.999.396.726
[03:39:42 PM]  Mua Đá ác quỷ -40 ruby
[03:39:42 PM]  Mua Đá ác quỷ -40 ruby
[03:39:42 PM]  Mua Đá ác quỷ -40 ruby
[03:39:42 PM]  Mua Đá ác quỷ -40 ruby
[03:39:42 PM]  Mua Đá ác quỷ -40 ruby
[03:39:42 PM]  Mua Đá ác quỷ -40 ruby
[03:39:43 PM]  Mua Đá ác quỷ -40 ruby
[03:39:43 PM]  Mua Đá ác quỷ -40 ruby
[03:39:43 PM]  Mua Đá ác quỷ -40 ruby
[03:39:43 PM]  Mua Đá ác quỷ -40 ruby
[03:39:43 PM]  Mua Đá ác quỷ -40 ruby
