[04:02:40 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[04:03:10 PM]  Mua Xp Chiêu thức -1500 ruby
[04:03:10 PM]  Mua Xp Chiêu thức -1500 ruby
[04:03:11 PM]  Mua Xp Chiêu thức -1500 ruby
[04:03:12 PM]  Mua Kinh nghiệm X2 -15 ruby
[04:03:13 PM]  Mua Kinh nghiệm X2 -15 ruby
[04:03:13 PM]  Mua Kinh nghiệm X2 -15 ruby
[04:05:27 PM]  Mua Kizaru -500 ruby
[04:05:36 PM]  Mua Zeff -500 ruby
[04:05:46 PM]  Mua Tóc khỉ con -500 ruby
[04:07:24 PM]  Mua Trang phục Franky -500 ruby
[04:08:51 PM]  Mua Quả Conache -0 beri
[04:08:51 PM]  Mua Quả Conache -0 beri
[04:08:51 PM]  Mua Quả Conache -0 beri
[04:08:51 PM]  Mua Quả Conache -0 beri
[04:08:51 PM]  Mua Quả Conache -0 beri
[04:08:52 PM]  Mua Quả Conache -0 beri
[04:08:52 PM]  Mua Quả Conache -0 beri
[04:08:52 PM]  Mua Quả Conache -0 beri
[04:08:52 PM]  Mua Quả Conache -0 beri
[04:08:53 PM]  Mua Quả Conache -0 beri
[04:08:53 PM]  Mua Quả Conache -0 beri
[04:08:53 PM]  Mua Quả Conache -0 beri
[04:08:53 PM]  Mua Quả Conache -0 beri
[04:08:53 PM]  Mua Quả Conache -0 beri
[04:08:54 PM]  Mua Quả Conache -0 beri
[04:08:54 PM]  Mua Quả Conache -0 beri
[04:08:54 PM]  Mua Quả Conache -0 beri
[04:08:54 PM]  Mua Quả Conache -0 beri
[04:08:54 PM]  Mua Quả Conache -0 beri
[04:08:54 PM]  Mua Quả Conache -0 beri
[04:08:54 PM]  Mua Quả Conache -0 beri
[04:08:55 PM]  Mua Quả Conache -0 beri
[04:08:55 PM]  Mua Quả Conache -0 beri
[04:08:55 PM]  Mua Quả Conache -0 beri
[04:08:55 PM]  Mua Quả Conache -0 beri
[04:08:55 PM]  Mua Quả Conache -0 beri
[04:08:55 PM]  Mua Quả Conache -0 beri
[04:08:56 PM]  Mua Quả Conache -0 beri
[04:08:56 PM]  Mua Quả Conache -0 beri
[04:08:56 PM]  Mua Quả Conache -0 beri
[04:08:56 PM]  Mua Quả Conache -0 beri
[04:08:56 PM]  Mua Quả Conache -0 beri
[04:08:57 PM]  Mua Quả Conache -0 beri
[04:08:57 PM]  Mua Quả Conache -0 beri
[04:08:57 PM]  Mua Quả Conache -0 beri
[04:08:57 PM]  Mua Quả Conache -0 beri
[04:08:57 PM]  Mua Quả Conache -0 beri
[04:08:57 PM]  Mua Quả Conache -0 beri
[04:08:58 PM]  Mua Quả Conache -0 beri
[04:08:58 PM]  Mua Quả Conache -0 beri
[04:08:58 PM]  Mua Quả Conache -0 beri
[04:08:58 PM]  Mua Quả Conache -0 beri
[04:08:58 PM]  Mua Quả Conache -0 beri
[04:08:58 PM]  Mua Quả Conache -0 beri
[04:08:59 PM]  Mua Quả Conache -0 beri
[04:08:59 PM]  Mua Quả Conache -0 beri
[04:08:59 PM]  Mua Quả Conache -0 beri
[04:08:59 PM]  Mua Quả Conache -0 beri
