[10:38:00 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[10:41:14 PM]  Mua 100 vé vòng quay -1500 ruby
[10:47:31 PM]  Mua 2 vé vòng quay -30 ruby
[10:53:48 PM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.998.464
[10:54:03 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.998.464
[10:56:59 PM]  Mua 600 vé vòng quay -9000 ruby
[11:02:37 PM]  Mua Bão tố -500 ruby
[11:03:13 PM]  Mua Râu trắng -500 ruby
[11:06:00 PM]  Nhặt +1426 beri
[11:06:15 PM]  Nhặt +6510 beri
[11:06:49 PM]  Logout : [Beri] 2.000.007.935 [Ruby] 1.999.993.464
[11:25:02 PM]  Login : [Beri] 2.000.007.935 [Ruby] 1.999.993.464
[11:26:45 PM]  Logout : [Beri] 2.000.007.935 [Ruby] 1.999.993.464
[11:30:00 PM]  Login : [Beri] 2.000.007.935 [Ruby] 1.999.993.464
[11:37:41 PM]  Logout : [Beri] 2.000.007.935 [Ruby] 1.999.993.464
[11:37:49 PM]  Login : [Beri] 2.000.007.935 [Ruby] 1.999.993.464
[11:46:52 PM]  Mua Búa siêu cấp -40 ruby
[11:46:53 PM]  Mua Búa siêu cấp -40 ruby
[11:46:54 PM]  Mua Búa siêu cấp -40 ruby
[11:46:54 PM]  Mua Búa siêu cấp -40 ruby
[11:46:54 PM]  Mua Búa siêu cấp -40 ruby
[11:46:55 PM]  Mua Búa siêu cấp -40 ruby
[11:46:55 PM]  Mua Búa siêu cấp -40 ruby
[11:47:27 PM]  Mua Đá ác quỷ -40 ruby
[11:47:27 PM]  Mua Đá ác quỷ -40 ruby
[11:47:27 PM]  Mua Đá ác quỷ -40 ruby
[11:47:28 PM]  Mua Đá ác quỷ -40 ruby
[11:47:28 PM]  Mua Đá ác quỷ -40 ruby
[11:47:28 PM]  Mua Đá ác quỷ -40 ruby
[11:47:28 PM]  Mua Đá ác quỷ -40 ruby
[11:47:28 PM]  Mua Đá ác quỷ -40 ruby
[11:47:28 PM]  Mua Đá ác quỷ -40 ruby
[11:47:29 PM]  Mua Đá ác quỷ -40 ruby
[11:47:29 PM]  Mua Đá ác quỷ -40 ruby
[11:47:29 PM]  Mua Đá ác quỷ -40 ruby
[11:47:29 PM]  Mua Đá ác quỷ -40 ruby
[11:47:29 PM]  Mua Đá ác quỷ -40 ruby
[11:47:30 PM]  Mua Đá ác quỷ -40 ruby
[11:47:30 PM]  Mua Đá ác quỷ -40 ruby
[11:47:30 PM]  Mua Đá ác quỷ -40 ruby
[11:47:30 PM]  Mua Đá ác quỷ -40 ruby
[11:47:30 PM]  Mua Đá ác quỷ -40 ruby
