[12:00:02 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[12:01:19 PM]  Mua Thời trang UTA -500 ruby
[12:01:27 PM]  Mua Trang phục Franky -500 ruby
[12:01:45 PM]  Mua Tóc Siêu Sao -500 ruby
[12:08:10 PM]  Mua Kinh nghiệm X2 -60 ruby
[12:08:10 PM]  Mua Kinh nghiệm X2 -60 ruby
[12:08:10 PM]  Mua Kinh nghiệm X2 -60 ruby
[12:08:10 PM]  Mua Kinh nghiệm X2 -60 ruby
[12:08:11 PM]  Mua Kinh nghiệm X2 -60 ruby
[12:08:11 PM]  Mua Kinh nghiệm X2 -60 ruby
[12:08:11 PM]  Mua Kinh nghiệm X2 -60 ruby
[12:08:11 PM]  Mua Kinh nghiệm X2 -60 ruby
[12:08:12 PM]  Mua Xp Chiêu thức -6000 ruby
[12:08:13 PM]  Mua Xp Chiêu thức -6000 ruby
[12:08:13 PM]  Mua Xp Chiêu thức -6000 ruby
[12:08:13 PM]  Mua Xp Chiêu thức -6000 ruby
[12:08:13 PM]  Mua Xp Chiêu thức -6000 ruby
[12:08:13 PM]  Mua Xp Chiêu thức -6000 ruby
[12:08:16 PM]  Mua Súp baratie -1600 beri
[12:08:16 PM]  Mua Súp baratie -1600 beri
[12:08:16 PM]  Mua Súp baratie -1600 beri
[12:08:16 PM]  Mua Súp baratie -1600 beri
[12:08:16 PM]  Mua Súp baratie -1600 beri
[12:08:16 PM]  Mua Súp baratie -1600 beri
[12:08:17 PM]  Mua Súp baratie -1600 beri
[12:08:17 PM]  Mua Súp baratie -1600 beri
[12:08:17 PM]  Mua Súp baratie -1600 beri
[12:08:17 PM]  Mua Súp baratie -1600 beri
[12:08:17 PM]  Mua Súp baratie -1600 beri
[12:08:17 PM]  Mua Súp baratie -1600 beri
[12:08:18 PM]  Mua Súp baratie -1600 beri
[12:08:18 PM]  Mua Súp baratie -1600 beri
[12:08:18 PM]  Mua Súp baratie -1600 beri
[12:08:20 PM]  Mua Cola -800 beri
[12:08:20 PM]  Mua Cola -800 beri
[12:08:20 PM]  Mua Cola -800 beri
[12:08:20 PM]  Mua Cola -800 beri
[12:08:20 PM]  Mua Cola -800 beri
[12:08:21 PM]  Mua Cola -800 beri
[12:08:21 PM]  Mua Cola -800 beri
[12:08:21 PM]  Mua Cola -800 beri
[12:08:21 PM]  Mua Cola -800 beri
[12:08:21 PM]  Mua Cola -800 beri
[12:08:21 PM]  Mua Cola -800 beri
[12:08:22 PM]  Mua Cola -800 beri
[12:08:22 PM]  Mua Cola -800 beri
[12:08:22 PM]  Mua Cola -800 beri
[12:08:22 PM]  Mua Cola -800 beri
[12:08:22 PM]  Mua Cola -800 beri
[12:08:22 PM]  Mua Cola -800 beri
[01:20:33 PM]  Logout : [Beri] 1.999.962.399 [Ruby] 1.999.962.019
