[07:55:20 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[07:57:34 AM]  Mua Trang phục Spiderman Iron -500 ruby
[07:58:03 AM]  Mua Kiếm hải tặc -2000 beri
[08:02:42 AM]  Mua Kiếm thủy quái 2 -3200 beri
[08:03:02 AM]  Mua Xp Chiêu thức -6000 ruby
[08:03:04 AM]  Mua Xp Chiêu thức -6000 ruby
[08:03:33 AM]  Mua Cơm hộp hải tặc -0 beri
[08:03:33 AM]  Mua Cơm hộp hải tặc -0 beri
[08:03:33 AM]  Mua Cơm hộp hải tặc -0 beri
[08:03:33 AM]  Mua Cơm hộp hải tặc -0 beri
[08:03:33 AM]  Mua Cơm hộp hải tặc -0 beri
[08:03:33 AM]  Mua Cơm hộp hải tặc -0 beri
[08:03:41 AM]  Mua Súp baratie -1600 beri
[08:03:41 AM]  Mua Súp baratie -1600 beri
[08:03:42 AM]  Mua Súp baratie -1600 beri
[08:03:42 AM]  Mua Súp baratie -1600 beri
[08:03:42 AM]  Mua Súp baratie -1600 beri
[08:03:42 AM]  Mua Súp baratie -1600 beri
[08:03:46 AM]  Mua Quả Conache -0 beri
[08:03:46 AM]  Mua Quả Conache -0 beri
[08:03:46 AM]  Mua Quả Conache -0 beri
[08:03:46 AM]  Mua Quả Conache -0 beri
[08:03:46 AM]  Mua Quả Conache -0 beri
[08:03:47 AM]  Mua Quả Conache -0 beri
[08:03:47 AM]  Mua Quả Conache -0 beri
[08:03:47 AM]  Mua Quả Conache -0 beri
[08:11:54 AM]  Bán item +10 beri
[08:14:29 AM]  Bán item +1 beri
[08:17:35 AM]  Mua 10 vé vòng quay -150 ruby
[08:18:59 AM]  Mua 30 vé vòng quay -450 ruby
[08:20:49 AM]  Mua 300 vé vòng quay -4500 ruby
[08:26:52 AM]  Mua Đá ác quỷ -40 ruby
[08:26:52 AM]  Mua Đá ác quỷ -40 ruby
[08:26:52 AM]  Mua Đá ác quỷ -40 ruby
[08:26:52 AM]  Mua Đá ác quỷ -40 ruby
[08:26:53 AM]  Mua Đá ác quỷ -40 ruby
[08:26:53 AM]  Mua Đá ác quỷ -40 ruby
[08:26:53 AM]  Mua Đá ác quỷ -40 ruby
[08:26:53 AM]  Mua Đá ác quỷ -40 ruby
[08:26:53 AM]  Mua Đá ác quỷ -40 ruby
[08:26:54 AM]  Mua Đá ác quỷ -40 ruby
[08:26:54 AM]  Mua Đá ác quỷ -40 ruby
[08:26:54 AM]  Mua Đá ác quỷ -40 ruby
[08:26:54 AM]  Mua Đá ác quỷ -40 ruby
[08:26:55 AM]  Mua Đá ác quỷ -40 ruby
[08:26:55 AM]  Mua Đá ác quỷ -40 ruby
[08:26:55 AM]  Mua Đá ác quỷ -40 ruby
[08:26:55 AM]  Mua Đá ác quỷ -40 ruby
[08:26:55 AM]  Mua Đá ác quỷ -40 ruby
[08:26:55 AM]  Mua Đá ác quỷ -40 ruby
[08:26:55 AM]  Mua Đá ác quỷ -40 ruby
[08:26:56 AM]  Mua Đá ác quỷ -40 ruby
[08:26:56 AM]  Mua Đá ác quỷ -40 ruby
[08:26:56 AM]  Mua Đá ác quỷ -40 ruby
[08:26:56 AM]  Mua Đá ác quỷ -40 ruby
[08:26:57 AM]  Mua Đá ác quỷ -40 ruby
[08:26:57 AM]  Mua Đá ác quỷ -40 ruby
[08:26:57 AM]  Mua Đá ác quỷ -40 ruby
[08:26:57 AM]  Mua Đá ác quỷ -40 ruby
[08:26:57 AM]  Mua Đá ác quỷ -40 ruby
[08:26:57 AM]  Mua Đá ác quỷ -40 ruby
[08:26:57 AM]  Mua Đá ác quỷ -40 ruby
[08:26:58 AM]  Mua Đá ác quỷ -40 ruby
[08:26:58 AM]  Mua Đá ác quỷ -40 ruby
[08:26:59 AM]  Mua Đá ác quỷ -40 ruby
[08:26:59 AM]  Mua Đá ác quỷ -40 ruby
[08:26:59 AM]  Mua Đá ác quỷ -40 ruby
[08:27:00 AM]  Mua Đá ác quỷ -40 ruby
[08:27:00 AM]  Mua Đá ác quỷ -40 ruby
[08:27:00 AM]  Mua Đá ác quỷ -40 ruby
[08:27:00 AM]  Mua Đá ác quỷ -40 ruby
[08:27:00 AM]  Mua Đá ác quỷ -40 ruby
[08:27:01 AM]  Mua Đá ác quỷ -40 ruby
[08:27:01 AM]  Mua Đá ác quỷ -40 ruby
[08:27:01 AM]  Mua Đá ác quỷ -40 ruby
[08:27:01 AM]  Mua Đá ác quỷ -40 ruby
[08:27:01 AM]  Mua Đá ác quỷ -40 ruby
[08:27:01 AM]  Mua Đá ác quỷ -40 ruby
[08:27:01 AM]  Mua Đá ác quỷ -40 ruby
[08:27:02 AM]  Mua Đá ác quỷ -40 ruby
[08:27:02 AM]  Mua Đá ác quỷ -40 ruby
[08:27:02 AM]  Mua Đá ác quỷ -40 ruby
[08:27:02 AM]  Mua Đá ác quỷ -40 ruby
[08:27:02 AM]  Mua Đá ác quỷ -40 ruby
[08:27:02 AM]  Mua Đá ác quỷ -40 ruby
[08:27:03 AM]  Mua Đá ác quỷ -40 ruby
[08:27:03 AM]  Mua Đá ác quỷ -40 ruby
[08:27:03 AM]  Mua Đá ác quỷ -40 ruby
[08:27:03 AM]  Mua Đá ác quỷ -40 ruby
[08:27:03 AM]  Mua Đá ác quỷ -40 ruby
[08:27:04 AM]  Mua Đá ác quỷ -40 ruby
[08:27:04 AM]  Mua Đá ác quỷ -40 ruby
[08:27:04 AM]  Mua Đá ác quỷ -40 ruby
[08:27:04 AM]  Mua Đá ác quỷ -40 ruby
[08:27:04 AM]  Mua Đá ác quỷ -40 ruby
[08:27:04 AM]  Mua Đá ác quỷ -40 ruby
[08:27:05 AM]  Mua Đá ác quỷ -40 ruby
[08:27:05 AM]  Mua Đá ác quỷ -40 ruby
[08:27:05 AM]  Mua Đá ác quỷ -40 ruby
[08:27:05 AM]  Mua Đá ác quỷ -40 ruby
[08:27:05 AM]  Mua Đá ác quỷ -40 ruby
[08:27:06 AM]  Mua Đá ác quỷ -40 ruby
[08:27:06 AM]  Mua Đá ác quỷ -40 ruby
[08:27:06 AM]  Mua Đá ác quỷ -40 ruby
[08:27:06 AM]  Mua Đá ác quỷ -40 ruby
[08:27:06 AM]  Mua Đá ác quỷ -40 ruby
[08:27:06 AM]  Mua Đá ác quỷ -40 ruby
[08:27:07 AM]  Mua Đá ác quỷ -40 ruby
[08:27:07 AM]  Mua Đá ác quỷ -40 ruby
[08:27:07 AM]  Mua Đá ác quỷ -40 ruby
[08:27:07 AM]  Mua Đá ác quỷ -40 ruby
[08:27:07 AM]  Mua Đá ác quỷ -40 ruby
[08:27:07 AM]  Mua Đá ác quỷ -40 ruby
[08:27:08 AM]  Mua Đá ác quỷ -40 ruby
[08:27:08 AM]  Mua Đá ác quỷ -40 ruby
[08:27:08 AM]  Mua Đá ác quỷ -40 ruby
[08:27:08 AM]  Mua Đá ác quỷ -40 ruby
[08:27:08 AM]  Mua Đá ác quỷ -40 ruby
[08:27:09 AM]  Mua Đá ác quỷ -40 ruby
[08:27:11 AM]  Mua Đá ác quỷ -40 ruby
[08:27:11 AM]  Mua Đá ác quỷ -40 ruby
[08:27:11 AM]  Mua Đá ác quỷ -40 ruby
[08:27:11 AM]  Mua Đá ác quỷ -40 ruby
[08:27:11 AM]  Mua Đá ác quỷ -40 ruby
[08:27:12 AM]  Mua Đá ác quỷ -40 ruby
[08:27:12 AM]  Mua Đá ác quỷ -40 ruby
[08:27:12 AM]  Mua Đá ác quỷ -40 ruby
[08:27:12 AM]  Mua Đá ác quỷ -40 ruby
[08:27:12 AM]  Mua Đá ác quỷ -40 ruby
[08:27:12 AM]  Mua Đá ác quỷ -40 ruby
[08:27:13 AM]  Mua Đá ác quỷ -40 ruby
[08:27:13 AM]  Mua Đá ác quỷ -40 ruby
[08:27:13 AM]  Mua Đá ác quỷ -40 ruby
[08:27:13 AM]  Mua Đá ác quỷ -40 ruby
[08:27:13 AM]  Mua Đá ác quỷ -40 ruby
[08:27:13 AM]  Mua Đá ác quỷ -40 ruby
[08:27:14 AM]  Mua Đá ác quỷ -40 ruby
[08:27:14 AM]  Mua Đá ác quỷ -40 ruby
[08:27:14 AM]  Mua Đá ác quỷ -40 ruby
[08:27:14 AM]  Mua Đá ác quỷ -40 ruby
[08:27:14 AM]  Mua Đá ác quỷ -40 ruby
[08:27:15 AM]  Mua Đá ác quỷ -40 ruby
[08:27:15 AM]  Mua Đá ác quỷ -40 ruby
[08:27:15 AM]  Mua Đá ác quỷ -40 ruby
[08:27:15 AM]  Mua Đá ác quỷ -40 ruby
[08:27:15 AM]  Mua Đá ác quỷ -40 ruby
[08:27:16 AM]  Mua Đá ác quỷ -40 ruby
[08:27:16 AM]  Mua Đá ác quỷ -40 ruby
[08:27:16 AM]  Mua Đá ác quỷ -40 ruby
[08:27:16 AM]  Mua Đá ác quỷ -40 ruby
[08:27:16 AM]  Mua Đá ác quỷ -40 ruby
[08:27:17 AM]  Mua Đá ác quỷ -40 ruby
[08:27:17 AM]  Mua Đá ác quỷ -40 ruby
[08:27:17 AM]  Mua Đá ác quỷ -40 ruby
[08:27:17 AM]  Mua Đá ác quỷ -40 ruby
[08:27:17 AM]  Mua Đá ác quỷ -40 ruby
[08:27:18 AM]  Mua Đá ác quỷ -40 ruby
[08:27:18 AM]  Mua Đá ác quỷ -40 ruby
[08:27:18 AM]  Mua Đá ác quỷ -40 ruby
[08:27:18 AM]  Mua Đá ác quỷ -40 ruby
[08:27:18 AM]  Mua Đá ác quỷ -40 ruby
[08:27:18 AM]  Mua Đá ác quỷ -40 ruby
[08:27:19 AM]  Mua Đá ác quỷ -40 ruby
[08:27:19 AM]  Mua Đá ác quỷ -40 ruby
[08:27:19 AM]  Mua Đá ác quỷ -40 ruby
[08:27:19 AM]  Mua Đá ác quỷ -40 ruby
[08:27:19 AM]  Mua Đá ác quỷ -40 ruby
[08:27:20 AM]  Mua Đá ác quỷ -40 ruby
[08:27:20 AM]  Mua Đá ác quỷ -40 ruby
[08:27:20 AM]  Mua Đá ác quỷ -40 ruby
[08:27:20 AM]  Mua Đá ác quỷ -40 ruby
[08:27:20 AM]  Mua Đá ác quỷ -40 ruby
[08:27:20 AM]  Mua Đá ác quỷ -40 ruby
[08:27:21 AM]  Mua Đá ác quỷ -40 ruby
[08:27:21 AM]  Mua Đá ác quỷ -40 ruby
[08:27:21 AM]  Mua Đá ác quỷ -40 ruby
[08:27:21 AM]  Mua Đá ác quỷ -40 ruby
[08:27:21 AM]  Mua Đá ác quỷ -40 ruby
[08:27:21 AM]  Mua Đá ác quỷ -40 ruby
[08:27:22 AM]  Mua Đá ác quỷ -40 ruby
[08:27:22 AM]  Mua Đá ác quỷ -40 ruby
[08:27:22 AM]  Mua Đá ác quỷ -40 ruby
[08:27:22 AM]  Mua Đá ác quỷ -40 ruby
[08:27:22 AM]  Mua Đá ác quỷ -40 ruby
[08:27:23 AM]  Mua Đá ác quỷ -40 ruby
[08:27:23 AM]  Mua Đá ác quỷ -40 ruby
[08:27:23 AM]  Mua Đá ác quỷ -40 ruby
[08:27:23 AM]  Mua Đá ác quỷ -40 ruby
[08:27:23 AM]  Mua Đá ác quỷ -40 ruby
[08:27:24 AM]  Mua Đá ác quỷ -40 ruby
[08:27:24 AM]  Mua Đá ác quỷ -40 ruby
[08:27:24 AM]  Mua Đá ác quỷ -40 ruby
[08:27:24 AM]  Mua Đá ác quỷ -40 ruby
[08:27:24 AM]  Mua Đá ác quỷ -40 ruby
[08:36:51 AM]  Mua Đá ác quỷ -40 ruby
[08:36:51 AM]  Mua Đá ác quỷ -40 ruby
[08:36:52 AM]  Mua Đá ác quỷ -40 ruby
[08:36:52 AM]  Mua Đá ác quỷ -40 ruby
[08:36:52 AM]  Mua Đá ác quỷ -40 ruby
[08:36:52 AM]  Mua Đá ác quỷ -40 ruby
[08:36:52 AM]  Mua Đá ác quỷ -40 ruby
[08:36:52 AM]  Mua Đá ác quỷ -40 ruby
[08:36:53 AM]  Mua Đá ác quỷ -40 ruby
[08:36:53 AM]  Mua Đá ác quỷ -40 ruby
[08:36:53 AM]  Mua Đá ác quỷ -40 ruby
[08:36:53 AM]  Mua Đá ác quỷ -40 ruby
[08:36:53 AM]  Mua Đá ác quỷ -40 ruby
[08:36:53 AM]  Mua Đá ác quỷ -40 ruby
[08:36:54 AM]  Mua Đá ác quỷ -40 ruby
[08:36:54 AM]  Mua Đá ác quỷ -40 ruby
[08:36:54 AM]  Mua Đá ác quỷ -40 ruby
[08:36:54 AM]  Mua Đá ác quỷ -40 ruby
[08:36:54 AM]  Mua Đá ác quỷ -40 ruby
[08:36:55 AM]  Mua Đá ác quỷ -40 ruby
[08:36:55 AM]  Mua Đá ác quỷ -40 ruby
[08:36:55 AM]  Mua Đá ác quỷ -40 ruby
[08:36:55 AM]  Mua Đá ác quỷ -40 ruby
[08:36:55 AM]  Mua Đá ác quỷ -40 ruby
[08:36:55 AM]  Mua Đá ác quỷ -40 ruby
[08:36:56 AM]  Mua Đá ác quỷ -40 ruby
[08:36:56 AM]  Mua Đá ác quỷ -40 ruby
[08:36:56 AM]  Mua Đá ác quỷ -40 ruby
[08:36:56 AM]  Mua Đá ác quỷ -40 ruby
[08:36:56 AM]  Mua Đá ác quỷ -40 ruby
[08:36:56 AM]  Mua Đá ác quỷ -40 ruby
[08:36:57 AM]  Mua Đá ác quỷ -40 ruby
[08:36:57 AM]  Mua Đá ác quỷ -40 ruby
[08:36:57 AM]  Mua Đá ác quỷ -40 ruby
[08:36:57 AM]  Mua Đá ác quỷ -40 ruby
[08:36:57 AM]  Mua Đá ác quỷ -40 ruby
[08:36:57 AM]  Mua Đá ác quỷ -40 ruby
[08:36:58 AM]  Mua Đá ác quỷ -40 ruby
[08:36:58 AM]  Mua Đá ác quỷ -40 ruby
