[11:45:24 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[11:45:57 PM]  Mua Bão tố -500 ruby
[11:46:08 PM]  Mua Chấn thiên -500 ruby
[11:46:33 PM]  Mua Trang phục Sogeking -500 ruby
[11:46:40 PM]  Mua Mũi dài -500 ruby
[11:47:01 PM]  Mua Tóc Siêu Sao -500 ruby
[11:49:54 PM]  Mua 50 vé vòng quay -750 ruby
[11:52:10 PM]  Mua 50 vé vòng quay -750 ruby
[11:54:32 PM]  Mua Xp Chiêu thức -6000 ruby
[11:54:32 PM]  Mua Xp Chiêu thức -6000 ruby
[11:54:32 PM]  Mua Xp Chiêu thức -6000 ruby
[11:54:32 PM]  Mua Xp Chiêu thức -6000 ruby
[11:54:32 PM]  Mua Xp Chiêu thức -6000 ruby
[11:54:33 PM]  Mua Xp Chiêu thức -6000 ruby
[11:54:36 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:54:36 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:54:36 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:54:37 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:54:37 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:54:37 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:54:37 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:54:37 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:54:37 PM]  Mua Kinh nghiệm X2 -60 ruby
[11:54:39 PM]  Mua Quả Conache -0 beri
[11:54:39 PM]  Mua Quả Conache -0 beri
[11:54:40 PM]  Mua Quả Conache -0 beri
[11:54:40 PM]  Mua Quả Conache -0 beri
[11:54:40 PM]  Mua Quả Conache -0 beri
[11:54:40 PM]  Mua Quả Conache -0 beri
[11:54:40 PM]  Mua Quả Conache -0 beri
[11:54:41 PM]  Mua Quả Conache -0 beri
[11:54:41 PM]  Mua Quả Conache -0 beri
[11:54:41 PM]  Mua Quả Conache -0 beri
[11:54:41 PM]  Mua Quả Conache -0 beri
[11:54:41 PM]  Mua Quả Conache -0 beri
[11:54:42 PM]  Mua Quả Conache -0 beri
[11:54:42 PM]  Mua Quả Conache -0 beri
[11:54:42 PM]  Mua Quả Conache -0 beri
[11:54:42 PM]  Mua Quả Conache -0 beri
[11:54:42 PM]  Mua Quả Conache -0 beri
[11:54:44 PM]  Mua Cơm hộp hải tặc -0 beri
[11:54:44 PM]  Mua Cơm hộp hải tặc -0 beri
[11:54:44 PM]  Mua Cơm hộp hải tặc -0 beri
[11:54:44 PM]  Mua Cơm hộp hải tặc -0 beri
[11:54:44 PM]  Mua Cơm hộp hải tặc -0 beri
[11:54:45 PM]  Mua Cơm hộp hải tặc -0 beri
[11:54:45 PM]  Mua Cơm hộp hải tặc -0 beri
[11:54:45 PM]  Mua Cơm hộp hải tặc -0 beri
[11:54:45 PM]  Mua Cơm hộp hải tặc -0 beri
[11:54:45 PM]  Mua Cơm hộp hải tặc -0 beri
[11:54:45 PM]  Mua Cơm hộp hải tặc -0 beri
[11:54:46 PM]  Mua Cơm hộp hải tặc -0 beri
[11:54:46 PM]  Mua Cơm hộp hải tặc -0 beri
[11:54:46 PM]  Mua Cơm hộp hải tặc -0 beri
[11:54:46 PM]  Mua Cơm hộp hải tặc -0 beri
