[09:36:11 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[09:38:34 PM]  Mua Trang phục Franky -500 ruby
[09:39:31 PM]  Mua Xp Chiêu thức -1500 ruby
[09:39:33 PM]  Mua Kinh nghiệm X2 -15 ruby
[09:39:35 PM]  Mua Vé tẩy tiềm năng -0 beri
[09:39:38 PM]  Mua Cola -800 beri
[09:39:38 PM]  Mua Cola -800 beri
[09:39:39 PM]  Mua Cola -800 beri
[09:39:39 PM]  Mua Cola -800 beri
[09:39:39 PM]  Mua Cola -800 beri
[09:39:39 PM]  Mua Cola -800 beri
[09:39:39 PM]  Mua Cola -800 beri
[09:39:39 PM]  Mua Cola -800 beri
[09:39:40 PM]  Mua Cola -800 beri
[09:39:40 PM]  Mua Cola -800 beri
[09:39:40 PM]  Mua Cola -800 beri
[09:39:40 PM]  Mua Cola -800 beri
[09:39:40 PM]  Mua Cola -800 beri
[09:39:40 PM]  Mua Cola -800 beri
[09:39:40 PM]  Mua Cola -800 beri
[09:39:41 PM]  Mua Cola -800 beri
[09:39:41 PM]  Mua Cola -800 beri
[09:39:41 PM]  Mua Cola -800 beri
[09:39:41 PM]  Mua Cola -800 beri
[09:39:41 PM]  Mua Cola -800 beri
[09:39:41 PM]  Mua Cola -800 beri
[09:39:42 PM]  Mua Cola -800 beri
[09:39:42 PM]  Mua Cola -800 beri
[09:39:42 PM]  Mua Cola -800 beri
[09:39:42 PM]  Mua Cola -800 beri
[09:39:42 PM]  Mua Cola -800 beri
[09:39:42 PM]  Mua Cola -800 beri
[09:39:42 PM]  Mua Cola -800 beri
[09:39:42 PM]  Mua Cola -800 beri
[09:39:43 PM]  Mua Cola -800 beri
[09:39:43 PM]  Mua Cola -800 beri
[09:39:43 PM]  Mua Cola -800 beri
[09:39:43 PM]  Mua Cola -800 beri
[09:39:43 PM]  Mua Cola -800 beri
[09:39:43 PM]  Mua Cola -800 beri
[09:39:43 PM]  Mua Cola -800 beri
[09:39:44 PM]  Mua Cola -800 beri
[09:39:44 PM]  Mua Cola -800 beri
[09:39:44 PM]  Mua Cola -800 beri
[09:39:44 PM]  Mua Cola -800 beri
[09:39:47 PM]  Mua Súp baratie -1600 beri
[09:39:47 PM]  Mua Súp baratie -1600 beri
[09:39:47 PM]  Mua Súp baratie -1600 beri
[09:39:47 PM]  Mua Súp baratie -1600 beri
[09:39:47 PM]  Mua Súp baratie -1600 beri
[09:39:47 PM]  Mua Súp baratie -1600 beri
[09:39:48 PM]  Mua Súp baratie -1600 beri
[09:39:48 PM]  Mua Súp baratie -1600 beri
[09:39:48 PM]  Mua Súp baratie -1600 beri
[09:39:48 PM]  Mua Súp baratie -1600 beri
[09:39:48 PM]  Mua Súp baratie -1600 beri
[09:39:48 PM]  Mua Súp baratie -1600 beri
[09:39:48 PM]  Mua Súp baratie -1600 beri
[09:39:49 PM]  Mua Súp baratie -1600 beri
[09:39:49 PM]  Mua Súp baratie -1600 beri
[09:39:49 PM]  Mua Súp baratie -1600 beri
[09:39:49 PM]  Mua Súp baratie -1600 beri
[09:39:49 PM]  Mua Súp baratie -1600 beri
[09:39:49 PM]  Mua Súp baratie -1600 beri
[09:39:49 PM]  Mua Súp baratie -1600 beri
[09:39:50 PM]  Mua Súp baratie -1600 beri
[09:39:50 PM]  Mua Súp baratie -1600 beri
[09:39:50 PM]  Mua Súp baratie -1600 beri
[09:39:50 PM]  Mua Súp baratie -1600 beri
[09:39:50 PM]  Mua Súp baratie -1600 beri
[09:39:50 PM]  Mua Súp baratie -1600 beri
[09:39:50 PM]  Mua Súp baratie -1600 beri
[09:39:50 PM]  Mua Súp baratie -1600 beri
[09:39:50 PM]  Mua Súp baratie -1600 beri
