[12:15:53 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[12:19:08 PM]  Mua Dr. Strange Zoombie -500 ruby
[12:50:31 PM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.999.499
[12:51:01 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.499
[01:02:16 PM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.999.499
[01:02:22 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.499
[01:03:20 PM]  Mua Găng tay sức mạnh 2 -500000 beri
[01:03:26 PM]  Mua Găng tay sức mạnh 2 -500000 beri
[01:03:27 PM]  Mua Găng tay sức mạnh 2 -500000 beri
[01:03:28 PM]  Mua Găng tay sức mạnh 2 -500000 beri
[01:03:28 PM]  Mua Găng tay sức mạnh 2 -500000 beri
[01:04:14 PM]  Mua Bột cường hóa -20 ruby
[01:04:15 PM]  Mua Bột cường hóa -20 ruby
[01:04:15 PM]  Mua Bột cường hóa -20 ruby
[01:04:15 PM]  Mua Bột cường hóa -20 ruby
[01:04:15 PM]  Mua Bột cường hóa -20 ruby
[01:04:15 PM]  Mua Bột cường hóa -20 ruby
[01:04:16 PM]  Mua Bột cường hóa -20 ruby
[01:04:16 PM]  Mua Bột cường hóa -20 ruby
[01:04:16 PM]  Mua Bột cường hóa -20 ruby
[01:04:16 PM]  Mua Bột cường hóa -20 ruby
[01:04:16 PM]  Mua Bột cường hóa -20 ruby
[01:04:17 PM]  Mua Bột cường hóa -20 ruby
[01:04:17 PM]  Mua Bột cường hóa -20 ruby
[01:04:17 PM]  Mua Bột cường hóa -20 ruby
[01:04:17 PM]  Mua Bột cường hóa -20 ruby
[01:04:17 PM]  Mua Bột cường hóa -20 ruby
[01:04:18 PM]  Mua Bột cường hóa -20 ruby
[01:04:18 PM]  Mua Bột cường hóa -20 ruby
[01:04:18 PM]  Mua Bột cường hóa -20 ruby
[01:04:18 PM]  Mua Bột cường hóa -20 ruby
[01:04:18 PM]  Mua Bột cường hóa -20 ruby
[01:04:19 PM]  Mua Bột cường hóa -20 ruby
[01:04:19 PM]  Mua Bột cường hóa -20 ruby
[01:04:19 PM]  Mua Bột cường hóa -20 ruby
[01:04:19 PM]  Mua Bột cường hóa -20 ruby
[01:04:19 PM]  Mua Bột cường hóa -20 ruby
[01:04:19 PM]  Mua Bột cường hóa -20 ruby
[01:04:20 PM]  Mua Bột cường hóa -20 ruby
[01:04:20 PM]  Mua Bột cường hóa -20 ruby
