[01:00:44 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[01:01:37 PM]  Mua Trang phục Raid Suit Sanji -500 ruby
[01:01:43 PM]  Mua Tóc Kool -500 ruby
[01:01:53 PM]  Mua Pell -500 ruby
[01:02:23 PM]  Mua 1000 vé vòng quay -15000 ruby
[01:04:57 PM]  Mua Quả Conache -0 beri
[01:04:57 PM]  Mua Quả Conache -0 beri
[01:04:58 PM]  Mua Quả Conache -0 beri
[01:04:58 PM]  Mua Quả Conache -0 beri
[01:04:58 PM]  Mua Quả Conache -0 beri
[01:04:58 PM]  Mua Quả Conache -0 beri
[01:04:58 PM]  Mua Quả Conache -0 beri
[01:04:59 PM]  Mua Quả Conache -0 beri
[01:04:59 PM]  Mua Quả Conache -0 beri
[01:04:59 PM]  Mua Quả Conache -0 beri
[01:04:59 PM]  Mua Quả Conache -0 beri
[01:05:00 PM]  Mua Quả Conache -0 beri
[01:05:00 PM]  Mua Quả Conache -0 beri
[01:05:00 PM]  Mua Quả Conache -0 beri
[01:05:00 PM]  Mua Quả Conache -0 beri
[01:05:00 PM]  Mua Quả Conache -0 beri
[01:05:01 PM]  Mua Quả Conache -0 beri
[01:05:01 PM]  Mua Quả Conache -0 beri
[01:05:01 PM]  Mua Quả Conache -0 beri
[01:05:01 PM]  Mua Quả Conache -0 beri
[01:05:01 PM]  Mua Quả Conache -0 beri
[01:05:02 PM]  Mua Quả Conache -0 beri
[01:05:02 PM]  Mua Quả Conache -0 beri
[01:05:04 PM]  Mua Súp baratie -1600 beri
[01:05:04 PM]  Mua Súp baratie -1600 beri
[01:05:04 PM]  Mua Súp baratie -1600 beri
[01:05:04 PM]  Mua Súp baratie -1600 beri
[01:05:04 PM]  Mua Súp baratie -1600 beri
[01:05:05 PM]  Mua Súp baratie -1600 beri
[01:05:05 PM]  Mua Súp baratie -1600 beri
[01:05:05 PM]  Mua Súp baratie -1600 beri
[01:05:05 PM]  Mua Súp baratie -1600 beri
[01:05:05 PM]  Mua Súp baratie -1600 beri
