[07:41:06 AM]  Login : [Beri] 1.991.696.973 [Ruby] 1.999.971.739
[07:41:29 AM]  Mua Kiếm thất truyền 2 -500000 beri
[07:41:33 AM]  Mua Áo vắt vai 2 -500000 beri
[07:41:36 AM]  Mua Khố tím 2 -500000 beri
[07:41:38 AM]  Mua Mũ sọc tím 2 -500000 beri
[07:42:19 AM]  Mua Bột cường hóa -20 ruby
[07:42:19 AM]  Mua Bột cường hóa -20 ruby
[07:42:19 AM]  Mua Bột cường hóa -20 ruby
[07:42:19 AM]  Mua Bột cường hóa -20 ruby
[07:42:19 AM]  Mua Bột cường hóa -20 ruby
[07:42:19 AM]  Mua Bột cường hóa -20 ruby
[07:42:20 AM]  Mua Bột cường hóa -20 ruby
[07:42:20 AM]  Mua Bột cường hóa -20 ruby
[07:42:22 AM]  Mua Bột cường hóa -20 ruby
[07:42:22 AM]  Mua Bột cường hóa -20 ruby
[07:42:22 AM]  Mua Bột cường hóa -20 ruby
[07:42:22 AM]  Mua Bột cường hóa -20 ruby
[07:42:22 AM]  Mua Bột cường hóa -20 ruby
[07:42:23 AM]  Mua Bột cường hóa -20 ruby
[07:42:23 AM]  Mua Bột cường hóa -20 ruby
[07:42:23 AM]  Mua Bột cường hóa -20 ruby
[07:42:23 AM]  Mua Bột cường hóa -20 ruby
[07:42:23 AM]  Mua Bột cường hóa -20 ruby
[07:42:24 AM]  Mua Bột cường hóa -20 ruby
[07:42:24 AM]  Mua Bột cường hóa -20 ruby
[07:42:24 AM]  Mua Bột cường hóa -20 ruby
[07:42:25 AM]  Mua Bột cường hóa -20 ruby
[07:42:25 AM]  Mua Bột cường hóa -20 ruby
[07:42:25 AM]  Mua Bột cường hóa -20 ruby
[07:42:25 AM]  Mua Bột cường hóa -20 ruby
[07:42:25 AM]  Mua Bột cường hóa -20 ruby
[07:42:25 AM]  Mua Bột cường hóa -20 ruby
[07:42:25 AM]  Mua Bột cường hóa -20 ruby
[07:42:26 AM]  Mua Bột cường hóa -20 ruby
[07:42:26 AM]  Mua Bột cường hóa -20 ruby
[07:42:26 AM]  Mua Bột cường hóa -20 ruby
[07:42:27 AM]  Mua Bột cường hóa -20 ruby
[07:42:27 AM]  Mua Bột cường hóa -20 ruby
[07:42:27 AM]  Mua Bột cường hóa -20 ruby
[07:42:27 AM]  Mua Bột cường hóa -20 ruby
[07:42:27 AM]  Mua Bột cường hóa -20 ruby
[07:42:28 AM]  Mua Bột cường hóa -20 ruby
[07:42:28 AM]  Mua Bột cường hóa -20 ruby
[07:42:28 AM]  Mua Bột cường hóa -20 ruby
[07:42:28 AM]  Mua Bột cường hóa -20 ruby
[07:42:28 AM]  Mua Bột cường hóa -20 ruby
[07:42:28 AM]  Mua Bột cường hóa -20 ruby
[07:42:29 AM]  Mua Bột cường hóa -20 ruby
[07:42:29 AM]  Mua Bột cường hóa -20 ruby
[07:42:29 AM]  Mua Bột cường hóa -20 ruby
[07:42:30 AM]  Mua Bột cường hóa -20 ruby
[07:42:30 AM]  Mua Bột cường hóa -20 ruby
[07:42:30 AM]  Mua Bột cường hóa -20 ruby
[07:42:30 AM]  Mua Bột cường hóa -20 ruby
[07:42:31 AM]  Mua Bột cường hóa -20 ruby
[07:42:31 AM]  Mua Bột cường hóa -20 ruby
[07:42:31 AM]  Mua Bột cường hóa -20 ruby
[07:42:31 AM]  Mua Bột cường hóa -20 ruby
[07:42:31 AM]  Mua Bột cường hóa -20 ruby
[07:42:32 AM]  Mua Bột cường hóa -20 ruby
[07:42:32 AM]  Mua Bột cường hóa -20 ruby
[07:42:32 AM]  Mua Bột cường hóa -20 ruby
[07:42:32 AM]  Mua Bột cường hóa -20 ruby
[07:42:32 AM]  Mua Bột cường hóa -20 ruby
[07:42:32 AM]  Mua Bột cường hóa -20 ruby
[07:42:33 AM]  Mua Bột cường hóa -20 ruby
