[10:56:37 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[10:57:36 PM]  Mua Chấn thiên -500 ruby
[10:57:48 PM]  Mua Tóc RS Ichiji -500 ruby
[10:57:56 PM]  Mua Mặt Lạnh -500 ruby
[10:58:08 PM]  Mua Kinh nghiệm X2 -15 ruby
[10:58:12 PM]  Mua Xp Chiêu thức -1500 ruby
[10:58:14 PM]  Mua Quả Conache -0 beri
[10:58:14 PM]  Mua Quả Conache -0 beri
[10:58:15 PM]  Mua Quả Conache -0 beri
[10:58:15 PM]  Mua Quả Conache -0 beri
[10:58:15 PM]  Mua Quả Conache -0 beri
[10:58:15 PM]  Mua Quả Conache -0 beri
[10:58:15 PM]  Mua Quả Conache -0 beri
[10:58:16 PM]  Mua Quả Conache -0 beri
[10:58:16 PM]  Mua Quả Conache -0 beri
[10:58:16 PM]  Mua Quả Conache -0 beri
[10:58:17 PM]  Mua Súp baratie -1600 beri
[10:58:17 PM]  Mua Súp baratie -1600 beri
[10:58:18 PM]  Mua Súp baratie -1600 beri
[10:58:18 PM]  Mua Súp baratie -1600 beri
[10:58:18 PM]  Mua Súp baratie -1600 beri
[10:58:18 PM]  Mua Súp baratie -1600 beri
[10:58:18 PM]  Mua Súp baratie -1600 beri
[10:58:19 PM]  Mua Súp baratie -1600 beri
[10:58:19 PM]  Mua Súp baratie -1600 beri
[11:00:09 PM]  Mua 999 vé vòng quay -14985 ruby
[11:05:51 PM]  Logout : [Beri] 1.999.985.599 [Ruby] 1.999.981.999
