[05:31:14 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[05:33:45 PM]  Mua Vé tẩy tiềm năng -0 beri
[05:37:26 PM]  Mua Đấng tối cao -500 ruby
[05:37:35 PM]  Mua Trang phục Raid Suit Sanji -500 ruby
[05:38:06 PM]  Mua minh vương -5000 ruby
[05:38:21 PM]  Mua Thiên thần nữ -500 ruby
[05:38:26 PM]  Mua Hỏa quyền -500 ruby
[05:38:29 PM]  Mua akainu -500 ruby
[05:38:31 PM]  Mua Kizaru -500 ruby
[05:38:34 PM]  Mua aokiji -500 ruby
[05:38:37 PM]  Mua Đấng -500 ruby
[05:39:40 PM]  Mua Dr. Strange Zoombie -500 ruby
[05:40:03 PM]  Mua Thời trang UTA -500 ruby
[05:40:50 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:50 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:50 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:51 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:51 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:51 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:51 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:51 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:51 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:52 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:52 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:52 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:52 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:52 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:53 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:53 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:53 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:53 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:53 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:53 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:54 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:54 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:54 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:54 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:54 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:55 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:55 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:55 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:55 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:55 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:56 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:56 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:56 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:56 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:56 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:56 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:57 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:57 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:57 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:57 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:57 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:58 PM]  Mua Cơm hộp hải tặc -0 beri
[05:40:58 PM]  Mua Cơm hộp hải tặc -0 beri
[05:41:00 PM]  Mua Quả Conache -0 beri
[05:41:00 PM]  Mua Quả Conache -0 beri
[05:41:00 PM]  Mua Quả Conache -0 beri
[05:41:01 PM]  Mua Quả Conache -0 beri
[05:41:01 PM]  Mua Quả Conache -0 beri
[05:41:01 PM]  Mua Quả Conache -0 beri
[05:41:01 PM]  Mua Quả Conache -0 beri
[05:41:01 PM]  Mua Quả Conache -0 beri
[05:41:01 PM]  Mua Quả Conache -0 beri
[05:41:01 PM]  Mua Quả Conache -0 beri
[05:41:02 PM]  Mua Quả Conache -0 beri
[05:41:02 PM]  Mua Quả Conache -0 beri
[05:41:02 PM]  Mua Quả Conache -0 beri
[05:41:02 PM]  Mua Quả Conache -0 beri
[05:41:02 PM]  Mua Quả Conache -0 beri
[05:41:03 PM]  Mua Quả Conache -0 beri
[05:41:03 PM]  Mua Quả Conache -0 beri
[05:41:03 PM]  Mua Quả Conache -0 beri
[05:41:03 PM]  Mua Quả Conache -0 beri
[05:41:05 PM]  Mua Xp Chiêu thức -6000 ruby
[05:42:05 PM]  Mua 1000 vé vòng quay -15000 ruby
[05:51:02 PM]  Mua Đá ác quỷ -40 ruby
[05:51:02 PM]  Mua Đá ác quỷ -40 ruby
[05:51:02 PM]  Mua Đá ác quỷ -40 ruby
[05:51:02 PM]  Mua Đá ác quỷ -40 ruby
[05:51:02 PM]  Mua Đá ác quỷ -40 ruby
[05:51:03 PM]  Mua Đá ác quỷ -40 ruby
[05:51:03 PM]  Mua Đá ác quỷ -40 ruby
[05:51:03 PM]  Mua Đá ác quỷ -40 ruby
[05:51:03 PM]  Mua Đá ác quỷ -40 ruby
[05:51:03 PM]  Mua Đá ác quỷ -40 ruby
[05:51:04 PM]  Mua Đá ác quỷ -40 ruby
[05:51:04 PM]  Mua Đá ác quỷ -40 ruby
[05:51:04 PM]  Mua Đá ác quỷ -40 ruby
[05:51:04 PM]  Mua Đá ác quỷ -40 ruby
[05:51:04 PM]  Mua Đá ác quỷ -40 ruby
[05:51:04 PM]  Mua Đá ác quỷ -40 ruby
[05:51:05 PM]  Mua Đá ác quỷ -40 ruby
[05:51:05 PM]  Mua Đá ác quỷ -40 ruby
[05:51:05 PM]  Mua Đá ác quỷ -40 ruby
[05:51:05 PM]  Mua Đá ác quỷ -40 ruby
[05:51:05 PM]  Mua Đá ác quỷ -40 ruby
[05:51:06 PM]  Mua Đá ác quỷ -40 ruby
[05:51:06 PM]  Mua Đá ác quỷ -40 ruby
[05:51:06 PM]  Mua Đá ác quỷ -40 ruby
