[09:44:09 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[09:46:02 AM]  Mua Trang phục Spiderman Iron -500 ruby
[09:46:14 AM]  Mua Tóc Siêu Sao -500 ruby
[09:46:31 AM]  Mua Xp Chiêu thức -300 ruby
[09:46:33 AM]  Mua Kinh nghiệm X2 -3 ruby
[09:46:34 AM]  Mua Kinh nghiệm X2 -15 ruby
[09:47:20 AM]  Mua 999 vé vòng quay -14985 ruby
[09:49:57 AM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.983.696
[09:50:08 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.983.696
[10:07:37 AM]  Nhặt +11340 beri
[10:07:45 AM]  Nhặt +1400 beri
[10:08:56 AM]  Nhặt +9310 beri
[10:09:02 AM]  Nhặt +5950 beri
[10:09:09 AM]  Nhặt +5390 beri
[10:09:27 AM]  Nhặt +10500 beri
[10:10:12 AM]  Nhặt +11480 beri
[10:10:42 AM]  Nhặt +70 beri
[10:10:47 AM]  Nhặt +7770 beri
[10:14:24 AM]  Mua Kiếm thất truyền 2 -500000 beri
[10:16:00 AM]  Logout : [Beri] 1.999.563.209 [Ruby] 1.999.983.696
[10:16:07 AM]  Login : [Beri] 1.999.563.209 [Ruby] 1.999.983.696
[10:16:43 AM]  Logout : [Beri] 1.999.563.209 [Ruby] 1.999.983.696
[10:16:49 AM]  Login : [Beri] 1.999.563.209 [Ruby] 1.999.983.696
[10:21:33 AM]  Mua Bột cường hóa -20 ruby
[10:21:33 AM]  Mua Bột cường hóa -20 ruby
[10:21:33 AM]  Mua Bột cường hóa -20 ruby
[10:21:33 AM]  Mua Bột cường hóa -20 ruby
[10:21:33 AM]  Mua Bột cường hóa -20 ruby
[10:21:34 AM]  Mua Bột cường hóa -20 ruby
[10:21:34 AM]  Mua Bột cường hóa -20 ruby
[10:21:34 AM]  Mua Bột cường hóa -20 ruby
[10:21:34 AM]  Mua Bột cường hóa -20 ruby
[10:21:34 AM]  Mua Bột cường hóa -20 ruby
[10:21:35 AM]  Mua Bột cường hóa -20 ruby
[10:21:35 AM]  Mua Bột cường hóa -20 ruby
[10:21:35 AM]  Mua Bột cường hóa -20 ruby
[10:21:35 AM]  Mua Bột cường hóa -20 ruby
[10:21:35 AM]  Mua Bột cường hóa -20 ruby
[10:21:35 AM]  Mua Bột cường hóa -20 ruby
[10:21:36 AM]  Mua Bột cường hóa -20 ruby
[10:21:36 AM]  Mua Bột cường hóa -20 ruby
[10:21:36 AM]  Mua Bột cường hóa -20 ruby
[10:21:36 AM]  Mua Bột cường hóa -20 ruby
[10:21:36 AM]  Mua Bột cường hóa -20 ruby
[10:21:37 AM]  Mua Bột cường hóa -20 ruby
[10:21:37 AM]  Mua Bột cường hóa -20 ruby
[10:21:37 AM]  Mua Bột cường hóa -20 ruby
[10:21:37 AM]  Mua Bột cường hóa -20 ruby
[10:21:37 AM]  Mua Bột cường hóa -20 ruby
[10:21:38 AM]  Mua Bột cường hóa -20 ruby
[10:21:38 AM]  Mua Bột cường hóa -20 ruby
[10:21:38 AM]  Mua Bột cường hóa -20 ruby
[10:21:38 AM]  Mua Bột cường hóa -20 ruby
[10:21:38 AM]  Mua Bột cường hóa -20 ruby
[10:21:38 AM]  Mua Bột cường hóa -20 ruby
[10:21:39 AM]  Mua Bột cường hóa -20 ruby
[10:21:39 AM]  Mua Bột cường hóa -20 ruby
[10:21:39 AM]  Mua Bột cường hóa -20 ruby
[10:21:39 AM]  Mua Bột cường hóa -20 ruby
[10:21:40 AM]  Mua Bột cường hóa -20 ruby
[10:21:40 AM]  Mua Bột cường hóa -20 ruby
[10:21:40 AM]  Mua Bột cường hóa -20 ruby
[10:21:40 AM]  Mua Bột cường hóa -20 ruby
[10:21:40 AM]  Mua Bột cường hóa -20 ruby
[10:21:41 AM]  Mua Bột cường hóa -20 ruby
[10:21:41 AM]  Mua Bột cường hóa -20 ruby
[10:21:41 AM]  Mua Bột cường hóa -20 ruby
[10:21:41 AM]  Mua Bột cường hóa -20 ruby
[10:21:41 AM]  Mua Bột cường hóa -20 ruby
[10:21:41 AM]  Mua Bột cường hóa -20 ruby
[10:21:42 AM]  Mua Bột cường hóa -20 ruby
[10:21:42 AM]  Mua Bột cường hóa -20 ruby
[10:21:42 AM]  Mua Bột cường hóa -20 ruby
[10:21:42 AM]  Mua Bột cường hóa -20 ruby
[10:21:42 AM]  Mua Bột cường hóa -20 ruby
[10:21:43 AM]  Mua Bột cường hóa -20 ruby
[10:21:43 AM]  Mua Bột cường hóa -20 ruby
[10:21:43 AM]  Mua Bột cường hóa -20 ruby
[10:21:43 AM]  Mua Bột cường hóa -20 ruby
[10:21:43 AM]  Mua Bột cường hóa -20 ruby
[10:21:44 AM]  Mua Bột cường hóa -20 ruby
[10:21:44 AM]  Mua Bột cường hóa -20 ruby
[10:21:44 AM]  Mua Bột cường hóa -20 ruby
[10:21:44 AM]  Mua Bột cường hóa -20 ruby
[10:21:45 AM]  Mua Bột cường hóa -20 ruby
[10:21:45 AM]  Mua Bột cường hóa -20 ruby
[10:21:45 AM]  Mua Bột cường hóa -20 ruby
[10:21:45 AM]  Mua Bột cường hóa -20 ruby
[10:21:45 AM]  Mua Bột cường hóa -20 ruby
[10:21:46 AM]  Mua Bột cường hóa -20 ruby
[10:21:46 AM]  Mua Bột cường hóa -20 ruby
[10:21:46 AM]  Mua Bột cường hóa -20 ruby
[10:21:46 AM]  Mua Bột cường hóa -20 ruby
[10:21:46 AM]  Mua Bột cường hóa -20 ruby
[10:21:47 AM]  Mua Bột cường hóa -20 ruby
[10:21:47 AM]  Mua Bột cường hóa -20 ruby
[10:21:47 AM]  Mua Bột cường hóa -20 ruby
[10:21:47 AM]  Mua Bột cường hóa -20 ruby
[10:21:47 AM]  Mua Bột cường hóa -20 ruby
[10:21:48 AM]  Mua Bột cường hóa -20 ruby
[10:21:48 AM]  Mua Bột cường hóa -20 ruby
[10:21:48 AM]  Mua Bột cường hóa -20 ruby
[10:21:48 AM]  Mua Bột cường hóa -20 ruby
[10:21:48 AM]  Mua Bột cường hóa -20 ruby
[10:21:49 AM]  Mua Bột cường hóa -20 ruby
[10:21:49 AM]  Mua Bột cường hóa -20 ruby
[10:21:49 AM]  Mua Bột cường hóa -20 ruby
[10:21:49 AM]  Mua Bột cường hóa -20 ruby
[10:21:49 AM]  Mua Bột cường hóa -20 ruby
[10:21:50 AM]  Mua Bột cường hóa -20 ruby
[10:21:50 AM]  Mua Bột cường hóa -20 ruby
[10:21:50 AM]  Mua Bột cường hóa -20 ruby
[10:21:50 AM]  Mua Bột cường hóa -20 ruby
[10:21:51 AM]  Mua Bột cường hóa -20 ruby
[10:21:51 AM]  Mua Bột cường hóa -20 ruby
[10:21:51 AM]  Mua Bột cường hóa -20 ruby
[10:21:51 AM]  Mua Bột cường hóa -20 ruby
[10:21:51 AM]  Mua Bột cường hóa -20 ruby
[10:21:51 AM]  Mua Bột cường hóa -20 ruby
[10:21:52 AM]  Mua Bột cường hóa -20 ruby
[10:21:52 AM]  Mua Bột cường hóa -20 ruby
[10:21:52 AM]  Mua Bột cường hóa -20 ruby
[10:21:52 AM]  Mua Bột cường hóa -20 ruby
[10:21:53 AM]  Mua Bột cường hóa -20 ruby
[10:21:53 AM]  Mua Bột cường hóa -20 ruby
[10:21:53 AM]  Mua Bột cường hóa -20 ruby
[10:21:53 AM]  Mua Bột cường hóa -20 ruby
[10:21:53 AM]  Mua Bột cường hóa -20 ruby
[10:21:54 AM]  Mua Bột cường hóa -20 ruby
[10:21:54 AM]  Mua Bột cường hóa -20 ruby
[10:21:54 AM]  Mua Bột cường hóa -20 ruby
[10:21:54 AM]  Mua Bột cường hóa -20 ruby
[10:21:54 AM]  Mua Bột cường hóa -20 ruby
[10:21:55 AM]  Mua Bột cường hóa -20 ruby
[10:21:55 AM]  Mua Bột cường hóa -20 ruby
[10:21:55 AM]  Mua Bột cường hóa -20 ruby
[10:21:55 AM]  Mua Bột cường hóa -20 ruby
[10:21:55 AM]  Mua Bột cường hóa -20 ruby
[10:21:56 AM]  Mua Bột cường hóa -20 ruby
[10:21:56 AM]  Mua Bột cường hóa -20 ruby
[10:21:56 AM]  Mua Bột cường hóa -20 ruby
[10:21:56 AM]  Mua Bột cường hóa -20 ruby
[10:21:56 AM]  Mua Bột cường hóa -20 ruby
[10:21:56 AM]  Mua Bột cường hóa -20 ruby
[10:21:57 AM]  Mua Bột cường hóa -20 ruby
[10:21:57 AM]  Mua Bột cường hóa -20 ruby
[10:21:57 AM]  Mua Bột cường hóa -20 ruby
[10:21:57 AM]  Mua Bột cường hóa -20 ruby
[10:21:57 AM]  Mua Bột cường hóa -20 ruby
[10:21:58 AM]  Mua Bột cường hóa -20 ruby
[10:21:58 AM]  Mua Bột cường hóa -20 ruby
[10:21:58 AM]  Mua Bột cường hóa -20 ruby
[10:21:58 AM]  Mua Bột cường hóa -20 ruby
[10:22:00 AM]  Mua Bột vàng -40 ruby
[10:22:01 AM]  Mua Bột vàng -40 ruby
[10:22:01 AM]  Mua Bột vàng -40 ruby
[10:22:01 AM]  Mua Bột vàng -40 ruby
[10:22:01 AM]  Mua Bột vàng -40 ruby
[10:22:01 AM]  Mua Bột vàng -40 ruby
[10:22:02 AM]  Mua Bột vàng -40 ruby
[10:22:02 AM]  Mua Bột vàng -40 ruby
[10:22:02 AM]  Mua Bột vàng -40 ruby
[10:22:02 AM]  Mua Bột vàng -40 ruby
[10:22:02 AM]  Mua Bột vàng -40 ruby
[10:22:03 AM]  Mua Bột vàng -40 ruby
[10:22:03 AM]  Mua Bột vàng -40 ruby
[10:22:03 AM]  Mua Bột vàng -40 ruby
[10:22:03 AM]  Mua Bột vàng -40 ruby
[10:22:03 AM]  Mua Bột vàng -40 ruby
[10:22:04 AM]  Mua Bột vàng -40 ruby
[10:22:04 AM]  Mua Bột vàng -40 ruby
[10:22:04 AM]  Mua Bột vàng -40 ruby
[10:22:04 AM]  Mua Bột vàng -40 ruby
[10:22:04 AM]  Mua Bột vàng -40 ruby
[10:22:05 AM]  Mua Bột vàng -40 ruby
[10:22:05 AM]  Mua Bột vàng -40 ruby
[10:22:05 AM]  Mua Bột vàng -40 ruby
[10:22:05 AM]  Mua Bột vàng -40 ruby
[10:22:06 AM]  Mua Bột vàng -40 ruby
[10:22:06 AM]  Mua Bột vàng -40 ruby
[10:22:06 AM]  Mua Bột vàng -40 ruby
[10:22:06 AM]  Mua Bột vàng -40 ruby
[10:22:06 AM]  Mua Bột vàng -40 ruby
[10:22:06 AM]  Mua Bột vàng -40 ruby
[10:22:07 AM]  Mua Bột vàng -40 ruby
[10:22:07 AM]  Mua Bột vàng -40 ruby
[10:22:07 AM]  Mua Bột vàng -40 ruby
[10:22:07 AM]  Mua Bột vàng -40 ruby
[10:22:07 AM]  Mua Bột vàng -40 ruby
[10:22:08 AM]  Mua Bột vàng -40 ruby
[10:22:08 AM]  Mua Bột vàng -40 ruby
[10:22:08 AM]  Mua Bột vàng -40 ruby
[10:22:08 AM]  Mua Bột vàng -40 ruby
[10:22:08 AM]  Mua Bột vàng -40 ruby
[10:22:09 AM]  Mua Bột vàng -40 ruby
[10:22:09 AM]  Mua Bột vàng -40 ruby
[10:22:09 AM]  Mua Bột vàng -40 ruby
[10:22:09 AM]  Mua Bột vàng -40 ruby
[10:22:09 AM]  Mua Bột vàng -40 ruby
[10:22:10 AM]  Mua Bột vàng -40 ruby
[10:22:10 AM]  Mua Bột vàng -40 ruby
[10:22:10 AM]  Mua Bột vàng -40 ruby
[10:22:10 AM]  Mua Bột vàng -40 ruby
[10:22:10 AM]  Mua Bột vàng -40 ruby
[10:22:10 AM]  Mua Bột vàng -40 ruby
[10:22:11 AM]  Mua Bột vàng -40 ruby
[10:22:11 AM]  Mua Bột vàng -40 ruby
[10:22:11 AM]  Mua Bột vàng -40 ruby
[10:22:11 AM]  Mua Bột vàng -40 ruby
[10:22:12 AM]  Mua Bột vàng -40 ruby
[10:22:12 AM]  Mua Bột vàng -40 ruby
[10:22:12 AM]  Mua Bột vàng -40 ruby
[10:22:12 AM]  Mua Bột vàng -40 ruby
[10:22:12 AM]  Mua Bột vàng -40 ruby
[10:22:13 AM]  Mua Bột vàng -40 ruby
[10:22:13 AM]  Mua Bột vàng -40 ruby
[10:22:13 AM]  Mua Bột vàng -40 ruby
[10:22:13 AM]  Mua Bột vàng -40 ruby
[10:22:13 AM]  Mua Bột vàng -40 ruby
[10:22:14 AM]  Mua Bột vàng -40 ruby
[10:22:14 AM]  Mua Bột vàng -40 ruby
[10:22:14 AM]  Mua Bột vàng -40 ruby
[10:22:14 AM]  Mua Bột vàng -40 ruby
[10:22:14 AM]  Mua Bột vàng -40 ruby
[10:22:15 AM]  Mua Bột vàng -40 ruby
[10:22:15 AM]  Mua Bột vàng -40 ruby
[10:22:15 AM]  Mua Bột vàng -40 ruby
[10:22:15 AM]  Mua Bột vàng -40 ruby
[10:22:15 AM]  Mua Bột vàng -40 ruby
[10:22:15 AM]  Mua Bột vàng -40 ruby
[10:22:16 AM]  Mua Bột vàng -40 ruby
[10:22:16 AM]  Mua Bột vàng -40 ruby
[10:22:16 AM]  Mua Bột vàng -40 ruby
[10:22:16 AM]  Mua Bột vàng -40 ruby
[10:22:17 AM]  Mua Bột vàng -40 ruby
[10:22:17 AM]  Mua Bột vàng -40 ruby
[10:22:17 AM]  Mua Bột vàng -40 ruby
[10:22:17 AM]  Mua Bột vàng -40 ruby
[10:22:17 AM]  Mua Bột vàng -40 ruby
[10:22:18 AM]  Mua Bột vàng -40 ruby
[10:22:18 AM]  Mua Bột vàng -40 ruby
[10:22:18 AM]  Mua Bột vàng -40 ruby
[10:22:18 AM]  Mua Bột vàng -40 ruby
[10:22:18 AM]  Mua Bột vàng -40 ruby
[10:22:18 AM]  Mua Bột vàng -40 ruby
[10:22:19 AM]  Mua Bột vàng -40 ruby
[10:22:19 AM]  Mua Bột vàng -40 ruby
[10:22:19 AM]  Mua Bột vàng -40 ruby
[10:22:19 AM]  Mua Bột vàng -40 ruby
[10:22:20 AM]  Mua Bột vàng -40 ruby
[10:22:21 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:21 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:26 AM]  Bán item +45 beri
[10:22:31 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:31 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:31 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:31 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:32 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:32 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:32 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:32 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:32 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:33 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:33 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:33 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:33 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:33 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:33 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:34 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:34 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:34 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:34 AM]  Mua Ngôi sao may mắn -100 ruby
[10:22:34 AM]  Mua Ngôi sao may mắn -100 ruby
