[07:03:38 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[07:04:23 PM]  Mua Kinh nghiệm X2 -60 ruby
[07:04:23 PM]  Mua Kinh nghiệm X2 -60 ruby
[07:04:23 PM]  Mua Kinh nghiệm X2 -60 ruby
[07:04:23 PM]  Mua Kinh nghiệm X2 -60 ruby
[07:04:23 PM]  Mua Kinh nghiệm X2 -60 ruby
[07:04:26 PM]  Mua Xp Chiêu thức -6000 ruby
[07:04:27 PM]  Mua Xp Chiêu thức -6000 ruby
[07:04:27 PM]  Mua Xp Chiêu thức -6000 ruby
[07:04:34 PM]  Mua Tóc khỉ con -500 ruby
[07:04:45 PM]  Mua Dr. Strange Zoombie -500 ruby
[07:04:52 PM]  Mua Killer -500 ruby
[07:06:54 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:06:55 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:06:55 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:06:55 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:06:55 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:06:55 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:06:56 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:06:56 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:06:56 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:06:56 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:06:56 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:06:56 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:06:57 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:06:57 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:06:57 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:06:59 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:07:00 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:07:00 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:07:00 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:07:00 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:07:00 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:07:00 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:07:01 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:07:01 PM]  Mua Thạch anh - Saphia siêu cấp -40 ruby
[07:08:23 PM]  Mua 30000 vé vòng quay -450000 ruby
[07:12:27 PM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.529.239
[07:25:35 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.529.239
[07:30:28 PM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.529.239
[08:37:42 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.529.239
[08:42:27 PM]  Mua Bột cường hóa -20 ruby
[08:42:27 PM]  Mua Bột cường hóa -20 ruby
[08:42:27 PM]  Mua Bột cường hóa -20 ruby
[08:42:27 PM]  Mua Bột cường hóa -20 ruby
[08:42:27 PM]  Mua Bột cường hóa -20 ruby
[08:42:28 PM]  Mua Bột cường hóa -20 ruby
[08:42:28 PM]  Mua Bột cường hóa -20 ruby
[08:42:28 PM]  Mua Bột cường hóa -20 ruby
[08:42:28 PM]  Mua Bột cường hóa -20 ruby
[08:42:29 PM]  Mua Bột cường hóa -20 ruby
[08:42:29 PM]  Mua Bột cường hóa -20 ruby
[08:42:29 PM]  Mua Bột cường hóa -20 ruby
[08:42:30 PM]  Mua Bột cường hóa -20 ruby
[08:42:30 PM]  Mua Bột cường hóa -20 ruby
[08:42:30 PM]  Mua Bột cường hóa -20 ruby
[08:42:30 PM]  Mua Bột cường hóa -20 ruby
[08:42:31 PM]  Mua Bột cường hóa -20 ruby
[08:42:31 PM]  Mua Bột cường hóa -20 ruby
[08:42:31 PM]  Mua Bột cường hóa -20 ruby
[08:42:32 PM]  Mua Bột cường hóa -20 ruby
[08:42:32 PM]  Mua Bột cường hóa -20 ruby
[08:42:33 PM]  Mua Bột cường hóa -20 ruby
[08:42:33 PM]  Mua Bột cường hóa -20 ruby
[08:42:33 PM]  Mua Bột cường hóa -20 ruby
[08:42:33 PM]  Mua Bột cường hóa -20 ruby
[08:42:34 PM]  Mua Bột cường hóa -20 ruby
[08:42:34 PM]  Mua Bột cường hóa -20 ruby
[08:42:34 PM]  Mua Bột cường hóa -20 ruby
[08:42:34 PM]  Mua Bột cường hóa -20 ruby
[08:42:34 PM]  Mua Bột cường hóa -20 ruby
[08:42:35 PM]  Mua Bột cường hóa -20 ruby
[08:42:35 PM]  Mua Bột cường hóa -20 ruby
[08:42:35 PM]  Mua Bột cường hóa -20 ruby
[08:42:35 PM]  Mua Bột cường hóa -20 ruby
[08:42:35 PM]  Mua Bột cường hóa -20 ruby
[08:42:36 PM]  Mua Bột cường hóa -20 ruby
[08:42:36 PM]  Mua Bột cường hóa -20 ruby
[08:42:36 PM]  Mua Bột cường hóa -20 ruby
[08:42:36 PM]  Mua Bột cường hóa -20 ruby
[08:42:36 PM]  Mua Bột cường hóa -20 ruby
[08:42:37 PM]  Mua Bột cường hóa -20 ruby
[08:42:37 PM]  Mua Bột cường hóa -20 ruby
[08:42:37 PM]  Mua Bột cường hóa -20 ruby
[08:42:37 PM]  Mua Bột cường hóa -20 ruby
[08:42:38 PM]  Mua Bột cường hóa -20 ruby
[08:42:38 PM]  Mua Bột cường hóa -20 ruby
[08:42:38 PM]  Mua Bột cường hóa -20 ruby
[08:42:38 PM]  Mua Bột cường hóa -20 ruby
[08:42:39 PM]  Mua Bột cường hóa -20 ruby
[08:42:39 PM]  Mua Bột cường hóa -20 ruby
[08:42:39 PM]  Mua Bột cường hóa -20 ruby
[08:42:39 PM]  Mua Bột cường hóa -20 ruby
[08:42:40 PM]  Mua Bột cường hóa -20 ruby
[08:42:40 PM]  Mua Bột cường hóa -20 ruby
[08:42:40 PM]  Mua Bột cường hóa -20 ruby
[08:42:40 PM]  Mua Bột cường hóa -20 ruby
[08:42:41 PM]  Mua Bột cường hóa -20 ruby
[08:42:41 PM]  Mua Bột cường hóa -20 ruby
[08:42:41 PM]  Mua Bột cường hóa -20 ruby
[08:42:41 PM]  Mua Bột cường hóa -20 ruby
[08:42:41 PM]  Mua Bột cường hóa -20 ruby
[08:42:42 PM]  Mua Bột cường hóa -20 ruby
[08:42:42 PM]  Mua Bột cường hóa -20 ruby
[08:42:42 PM]  Mua Bột cường hóa -20 ruby
[08:42:42 PM]  Mua Bột cường hóa -20 ruby
[08:42:43 PM]  Mua Bột cường hóa -20 ruby
[08:42:46 PM]  Mua Ngôi sao may mắn -100 ruby
[08:42:47 PM]  Mua Ngôi sao may mắn -100 ruby
[08:42:47 PM]  Mua Ngôi sao may mắn -100 ruby
[08:42:47 PM]  Mua Ngôi sao may mắn -100 ruby
[08:42:47 PM]  Mua Ngôi sao may mắn -100 ruby
[08:42:48 PM]  Mua Ngôi sao may mắn -100 ruby
[08:42:48 PM]  Mua Ngôi sao may mắn -100 ruby
[08:42:48 PM]  Mua Ngôi sao may mắn -100 ruby
[08:42:48 PM]  Mua Ngôi sao may mắn -100 ruby
