[12:00:04 AM]  Nhặt +6336 beri
[12:00:15 AM]  Nhặt +13563 beri
[12:00:18 AM]  Nhặt +16632 beri
[12:00:19 AM]  Nhặt +17523 beri
[12:00:21 AM]  Nhặt +17919 beri
[12:00:25 AM]  Nhặt +5940 beri
[12:00:27 AM]  Nhặt +18909 beri
[12:00:31 AM]  Nhặt +13068 beri
[12:00:32 AM]  Nhặt +16533 beri
[12:00:48 AM]  Nhặt +13860 beri
[12:01:20 AM]  Nhặt +17721 beri
[12:01:22 AM]  Nhặt +12375 beri
[12:01:33 AM]  Nhặt +17127 beri
[12:01:36 AM]  Nhặt +14652 beri
[12:01:44 AM]  Nhặt +2871 beri
[12:01:47 AM]  Nhặt +9702 beri
[12:01:53 AM]  Nhặt +6930 beri
[12:02:02 AM]  Nhặt +15543 beri
[12:02:06 AM]  Nhặt +2970 beri
[12:02:12 AM]  Nhặt +5841 beri
[12:02:16 AM]  Nhặt +9504 beri
[12:02:22 AM]  Nhặt +5445 beri
[12:02:26 AM]  Nhặt +12573 beri
[12:02:29 AM]  Logout : [Beri] 1.996.149.510 [Ruby] 724.725.090
[12:02:47 AM]  Login : [Beri] 1.996.149.510 [Ruby] 724.725.090
[12:02:53 AM]  Nhặt +19503 beri
[12:02:57 AM]  Nhặt +2871 beri
[12:02:59 AM]  Nhặt +4455 beri
[12:03:08 AM]  Nhặt +4356 beri
[12:03:13 AM]  Nhặt +3960 beri
[12:03:15 AM]  Nhặt +17820 beri
[12:03:20 AM]  Nhặt +14157 beri
[12:03:25 AM]  Nhặt +1188 beri
[12:03:33 AM]  Nhặt +7821 beri
[12:03:52 AM]  Logout : [Beri] 1.996.225.641 [Ruby] 724.725.090
[12:04:01 AM]  Login : [Beri] 1.996.225.641 [Ruby] 724.725.090
[12:04:04 AM]  Nhặt +11286 beri
[12:04:08 AM]  Nhặt +7821 beri
[12:04:19 AM]  Nhặt +9999 beri
[12:05:09 AM]  Nhặt +2475 beri
[12:05:16 AM]  Nhặt +13464 beri
[12:05:20 AM]  Nhặt +10395 beri
[12:05:25 AM]  Nhặt +17523 beri
[12:05:34 AM]  Nhặt +6534 beri
[12:05:39 AM]  Nhặt +19701 beri
[12:05:41 AM]  Nhặt +495 beri
[12:05:48 AM]  Nhặt +15246 beri
[12:05:51 AM]  Nhặt +4554 beri
[12:05:57 AM]  Nhặt +12375 beri
[12:06:04 AM]  Nhặt +14850 beri
[12:06:17 AM]  Nhặt +9009 beri
[12:06:27 AM]  Nhặt +12177 beri
[12:07:35 AM]  Giao dịch bery với chodien nhận +0 beri
[12:07:35 AM]  Giao dịch bery với chodien nhận Quả Tim
[12:07:35 AM]  Giao dịch bery với chodien nhận Dial 4
[12:09:03 AM]  Khảm ngọc lên -> Quả Tim -400 ruby
[12:09:07 AM]  Khảm ngọc lên -> Quả Tim -400 ruby
[12:09:12 AM]  Khảm ngọc lên -> Quả Tim -400 ruby
[12:09:17 AM]  Khảm ngọc lên -> Quả Tim -400 ruby
[12:09:21 AM]  Khảm ngọc lên -> Quả Tim -400 ruby
[12:09:26 AM]  Khảm ngọc lên -> Quả Tim -400 ruby
[12:09:30 AM]  Khảm ngọc lên -> Quả Tim -400 ruby
[12:10:33 AM]  Cường hóa item Dial 4 -3000 beri
[12:10:33 AM]  Cường hóa item Dial 4 -3000 beri
[12:10:34 AM]  Cường hóa item Dial 4 -4000 beri
[12:10:36 AM]  Cường hóa item Dial 4 -4000 beri
[12:10:36 AM]  Cường hóa item Dial 4 -4000 beri
[12:10:37 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:40 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:40 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:41 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:41 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:44 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:44 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:44 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:47 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:47 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:48 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:51 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:51 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:55 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:55 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:55 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:58 AM]  Cường hóa item Dial 4 -6000 beri
[12:10:58 AM]  Cường hóa item Dial 4 -6000 beri
[12:11:01 AM]  Cường hóa item Dial 4 -6000 beri
[12:11:02 AM]  Cường hóa item Dial 4 -6000 beri
[12:11:05 AM]  Cường hóa item Dial 4 -6000 beri
[12:11:05 AM]  Cường hóa item Dial 4 -6000 beri
[12:11:09 AM]  Cường hóa item Dial 4 -6000 beri
[12:11:09 AM]  Cường hóa item Dial 4 -8000 beri
[12:11:09 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:13 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:13 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:13 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:17 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:17 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:17 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:20 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:21 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:21 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:24 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:24 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:25 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:28 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:28 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:31 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:32 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:35 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:35 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:36 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:39 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:39 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:42 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:42 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:43 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:46 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:46 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:49 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:50 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:53 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:53 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:56 AM]  Cường hóa item Dial 4 -10000 beri
[12:11:57 AM]  Cường hóa item Dial 4 -10000 beri
[12:12:00 AM]  Cường hóa item Dial 4 -10000 beri
[12:12:00 AM]  Cường hóa item Dial 4 -10000 beri
[12:12:01 AM]  Cường hóa item Dial 4 -10000 beri
[12:12:03 AM]  Cường hóa item Dial 4 -10000 beri
[12:12:04 AM]  Cường hóa item Dial 4 -10000 beri
[12:12:07 AM]  Cường hóa item Dial 4 -10000 beri
[12:12:07 AM]  Cường hóa item Dial 4 -10000 beri
[12:12:19 AM]  Mua Bột cường hóa -20 ruby
[12:12:19 AM]  Mua Bột cường hóa -20 ruby
[12:12:19 AM]  Mua Bột cường hóa -20 ruby
[12:12:20 AM]  Mua Bột cường hóa -20 ruby
[12:12:20 AM]  Mua Bột cường hóa -20 ruby
[12:12:20 AM]  Mua Bột cường hóa -20 ruby
[12:12:20 AM]  Mua Bột cường hóa -20 ruby
[12:12:20 AM]  Mua Bột cường hóa -20 ruby
[12:12:21 AM]  Mua Bột cường hóa -20 ruby
[12:12:21 AM]  Mua Bột cường hóa -20 ruby
[12:12:21 AM]  Mua Bột cường hóa -20 ruby
[12:12:21 AM]  Mua Bột cường hóa -20 ruby
[12:12:21 AM]  Mua Bột cường hóa -20 ruby
[12:12:22 AM]  Mua Bột cường hóa -20 ruby
[12:12:22 AM]  Mua Bột cường hóa -20 ruby
[12:12:22 AM]  Mua Bột cường hóa -20 ruby
[12:12:22 AM]  Mua Bột cường hóa -20 ruby
[12:12:22 AM]  Mua Bột cường hóa -20 ruby
[12:12:23 AM]  Mua Bột cường hóa -20 ruby
[12:12:23 AM]  Mua Bột cường hóa -20 ruby
[12:12:23 AM]  Mua Bột cường hóa -20 ruby
[12:12:23 AM]  Mua Bột cường hóa -20 ruby
[12:12:23 AM]  Mua Bột cường hóa -20 ruby
[12:12:24 AM]  Mua Bột cường hóa -20 ruby
[12:12:50 AM]  Cường hóa item Dial 4 -10000 beri
[12:12:50 AM]  Cường hóa item Dial 4 -10000 beri
[12:12:53 AM]  Cường hóa item Dial 4 -10000 beri
[12:12:53 AM]  Cường hóa item Dial 4 -10000 beri
[12:12:54 AM]  Cường hóa item Dial 4 -10000 beri
[12:12:57 AM]  Cường hóa item Dial 4 -10000 beri
[12:12:57 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:01 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:01 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:01 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:04 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:04 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:05 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:05 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:08 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:09 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:12 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:12 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:12 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:22 AM]  Mua Bột cường hóa -20 ruby
[12:13:22 AM]  Mua Bột cường hóa -20 ruby
[12:13:22 AM]  Mua Bột cường hóa -20 ruby
[12:13:22 AM]  Mua Bột cường hóa -20 ruby
[12:13:23 AM]  Mua Bột cường hóa -20 ruby
[12:13:23 AM]  Mua Bột cường hóa -20 ruby
[12:13:23 AM]  Mua Bột cường hóa -20 ruby
[12:13:23 AM]  Mua Bột cường hóa -20 ruby
[12:13:24 AM]  Mua Bột cường hóa -20 ruby
[12:13:24 AM]  Mua Bột cường hóa -20 ruby
[12:13:24 AM]  Mua Bột cường hóa -20 ruby
[12:13:24 AM]  Mua Bột cường hóa -20 ruby
[12:13:24 AM]  Mua Bột cường hóa -20 ruby
[12:13:25 AM]  Mua Bột cường hóa -20 ruby
[12:13:25 AM]  Mua Bột cường hóa -20 ruby
[12:13:25 AM]  Mua Bột cường hóa -20 ruby
[12:13:25 AM]  Mua Bột cường hóa -20 ruby
[12:13:25 AM]  Mua Bột cường hóa -20 ruby
[12:13:26 AM]  Mua Bột cường hóa -20 ruby
[12:13:26 AM]  Mua Bột cường hóa -20 ruby
[12:13:26 AM]  Mua Bột cường hóa -20 ruby
[12:13:26 AM]  Mua Bột cường hóa -20 ruby
[12:13:27 AM]  Mua Bột cường hóa -20 ruby
[12:13:27 AM]  Mua Bột cường hóa -20 ruby
[12:13:27 AM]  Mua Bột cường hóa -20 ruby
[12:13:27 AM]  Mua Bột cường hóa -20 ruby
[12:13:27 AM]  Mua Bột cường hóa -20 ruby
[12:13:28 AM]  Mua Bột cường hóa -20 ruby
[12:13:28 AM]  Mua Bột cường hóa -20 ruby
[12:13:28 AM]  Mua Bột cường hóa -20 ruby
[12:13:28 AM]  Mua Bột cường hóa -20 ruby
[12:13:29 AM]  Mua Bột cường hóa -20 ruby
[12:13:29 AM]  Mua Bột cường hóa -20 ruby
[12:13:29 AM]  Mua Bột cường hóa -20 ruby
[12:13:29 AM]  Mua Bột cường hóa -20 ruby
[12:13:29 AM]  Mua Bột cường hóa -20 ruby
[12:13:29 AM]  Mua Bột cường hóa -20 ruby
[12:13:30 AM]  Mua Bột cường hóa -20 ruby
[12:13:30 AM]  Mua Bột cường hóa -20 ruby
[12:13:30 AM]  Mua Bột cường hóa -20 ruby
[12:13:30 AM]  Mua Bột cường hóa -20 ruby
[12:13:30 AM]  Mua Bột cường hóa -20 ruby
[12:13:31 AM]  Mua Bột cường hóa -20 ruby
[12:13:31 AM]  Mua Bột cường hóa -20 ruby
[12:13:31 AM]  Mua Bột cường hóa -20 ruby
[12:13:31 AM]  Mua Bột cường hóa -20 ruby
[12:13:31 AM]  Mua Bột cường hóa -20 ruby
[12:13:32 AM]  Mua Bột cường hóa -20 ruby
[12:13:32 AM]  Mua Bột cường hóa -20 ruby
[12:13:49 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:49 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:50 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:53 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:53 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:56 AM]  Cường hóa item Dial 4 -10000 beri
[12:13:57 AM]  Cường hóa item Dial 4 -10000 beri
[12:14:00 AM]  Cường hóa item Dial 4 -10000 beri
[12:14:00 AM]  Cường hóa item Dial 4 -10000 beri
[12:14:01 AM]  Cường hóa item Dial 4 -10000 beri
[12:14:04 AM]  Cường hóa item Dial 4 -10000 beri
[12:14:16 AM]  Mua Bột vàng -40 ruby
[12:14:16 AM]  Mua Bột vàng -40 ruby
[12:14:16 AM]  Mua Bột vàng -40 ruby
[12:14:17 AM]  Mua Bột vàng -40 ruby
[12:14:17 AM]  Mua Bột vàng -40 ruby
[12:14:17 AM]  Mua Bột vàng -40 ruby
[12:14:17 AM]  Mua Bột vàng -40 ruby
[12:14:18 AM]  Mua Bột vàng -40 ruby
[12:14:18 AM]  Mua Bột vàng -40 ruby
[12:14:18 AM]  Mua Bột vàng -40 ruby
[12:14:18 AM]  Mua Bột vàng -40 ruby
[12:14:18 AM]  Mua Bột vàng -40 ruby
[12:14:18 AM]  Mua Bột vàng -40 ruby
[12:14:19 AM]  Mua Bột vàng -40 ruby
[12:14:19 AM]  Mua Bột vàng -40 ruby
[12:14:19 AM]  Mua Bột vàng -40 ruby
[12:14:19 AM]  Mua Bột vàng -40 ruby
[12:14:20 AM]  Mua Bột vàng -40 ruby
[12:14:20 AM]  Mua Bột vàng -40 ruby
[12:14:20 AM]  Mua Bột vàng -40 ruby
[12:14:20 AM]  Mua Bột vàng -40 ruby
[12:14:20 AM]  Mua Bột vàng -40 ruby
