[06:51:04 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[06:52:02 AM]  Mua Xp Chiêu thức -6000 ruby
[06:52:02 AM]  Mua Xp Chiêu thức -6000 ruby
[06:52:03 AM]  Mua Xp Chiêu thức -6000 ruby
[06:52:03 AM]  Mua Xp Chiêu thức -6000 ruby
[06:52:03 AM]  Mua Xp Chiêu thức -6000 ruby
[06:52:03 AM]  Mua Xp Chiêu thức -6000 ruby
[06:52:03 AM]  Mua Xp Chiêu thức -6000 ruby
[06:52:03 AM]  Mua Xp Chiêu thức -6000 ruby
[06:52:03 AM]  Mua Xp Chiêu thức -6000 ruby
[06:52:05 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:52:05 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:52:05 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:52:05 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:52:06 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:52:06 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:52:06 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:52:06 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:52:06 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:52:15 AM]  Mua Tóc khỉ con -500 ruby
[06:52:31 AM]  Logout : [Beri] 2.000.000.000 [Ruby] 444.960
[06:53:01 AM]  Login : [Beri] 2.000.000.000 [Ruby] 444.960
