[12:21:37 AM]  Logout : [Beri] 2.000.083.172 [Ruby] 1.004.997.000
[12:27:01 AM]  Login : [Beri] 2.000.083.172 [Ruby] 1.004.997.000
[12:27:22 AM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Đá ác quỷ x20000, 
[12:28:03 AM]  Mua 2000 vé vòng quay -30000 ruby
[12:31:16 AM]  Logout : [Beri] 2.000.083.172 [Ruby] 1.004.967.000
[12:31:38 AM]  Login : [Beri] 2.000.083.172 [Ruby] 1.004.967.000
[12:31:43 AM]  Logout : [Beri] 2.000.083.172 [Ruby] 1.004.967.000
[12:31:55 AM]  Login : [Beri] 2.000.083.172 [Ruby] 1.004.967.000
[12:31:57 AM]  Logout : [Beri] 2.000.083.172 [Ruby] 1.004.967.000
[12:32:12 AM]  Login : [Beri] 2.000.083.172 [Ruby] 1.004.967.000
[12:34:11 AM]  Mua Bột cường hóa -20 ruby
[12:34:11 AM]  Mua Bột cường hóa -20 ruby
[12:34:11 AM]  Mua Bột cường hóa -20 ruby
[12:34:11 AM]  Mua Bột cường hóa -20 ruby
[12:34:11 AM]  Mua Bột cường hóa -20 ruby
[12:34:11 AM]  Mua Bột cường hóa -20 ruby
[12:34:11 AM]  Mua Bột cường hóa -20 ruby
[12:34:11 AM]  Mua Bột cường hóa -20 ruby
[12:34:11 AM]  Mua Bột cường hóa -20 ruby
[12:34:11 AM]  Mua Bột cường hóa -20 ruby
[12:34:12 AM]  Mua Bột cường hóa -20 ruby
[12:34:12 AM]  Mua Bột cường hóa -20 ruby
[12:34:12 AM]  Mua Bột cường hóa -20 ruby
[12:34:12 AM]  Mua Bột cường hóa -20 ruby
[12:34:12 AM]  Mua Bột cường hóa -20 ruby
[12:34:12 AM]  Mua Bột cường hóa -20 ruby
[12:34:12 AM]  Mua Bột cường hóa -20 ruby
[12:34:12 AM]  Mua Bột cường hóa -20 ruby
[12:34:12 AM]  Mua Bột cường hóa -20 ruby
[12:34:12 AM]  Mua Bột cường hóa -20 ruby
[12:34:12 AM]  Mua Bột cường hóa -20 ruby
[12:34:13 AM]  Mua Bột cường hóa -20 ruby
[12:34:13 AM]  Mua Bột cường hóa -20 ruby
[12:34:13 AM]  Mua Bột cường hóa -20 ruby
[12:34:13 AM]  Mua Bột cường hóa -20 ruby
[12:34:13 AM]  Mua Bột cường hóa -20 ruby
[12:34:13 AM]  Mua Bột cường hóa -20 ruby
[12:34:13 AM]  Mua Bột cường hóa -20 ruby
[12:34:13 AM]  Mua Bột cường hóa -20 ruby
[12:34:13 AM]  Mua Bột cường hóa -20 ruby
[12:34:14 AM]  Mua Bột cường hóa -20 ruby
[12:34:14 AM]  Mua Bột cường hóa -20 ruby
[12:34:14 AM]  Mua Bột cường hóa -20 ruby
[12:34:14 AM]  Mua Bột cường hóa -20 ruby
[12:34:14 AM]  Mua Bột cường hóa -20 ruby
[12:34:14 AM]  Mua Bột cường hóa -20 ruby
[12:34:14 AM]  Mua Bột cường hóa -20 ruby
[12:34:14 AM]  Mua Bột cường hóa -20 ruby
[12:34:14 AM]  Mua Bột cường hóa -20 ruby
[12:34:15 AM]  Mua Bột cường hóa -20 ruby
[12:34:15 AM]  Mua Bột cường hóa -20 ruby
[12:34:15 AM]  Mua Bột cường hóa -20 ruby
[12:34:15 AM]  Mua Bột cường hóa -20 ruby
[12:34:15 AM]  Mua Bột cường hóa -20 ruby
[12:34:15 AM]  Mua Bột cường hóa -20 ruby
[12:34:15 AM]  Mua Bột cường hóa -20 ruby
[12:34:15 AM]  Mua Bột cường hóa -20 ruby
[12:34:15 AM]  Mua Bột cường hóa -20 ruby
[12:34:16 AM]  Mua Bột cường hóa -20 ruby
[12:34:16 AM]  Mua Bột cường hóa -20 ruby
[12:34:16 AM]  Mua Bột cường hóa -20 ruby
[12:34:16 AM]  Mua Bột cường hóa -20 ruby
[12:34:16 AM]  Mua Bột cường hóa -20 ruby
[12:34:16 AM]  Mua Bột cường hóa -20 ruby
[12:34:16 AM]  Mua Bột cường hóa -20 ruby
[12:34:16 AM]  Mua Bột cường hóa -20 ruby
[12:34:16 AM]  Mua Bột cường hóa -20 ruby
[12:34:16 AM]  Mua Bột cường hóa -20 ruby
