[01:32:22 AM]  Nhặt +782 beri
[01:32:46 AM]  Nhặt +4964 beri
[01:37:48 AM]  Mua Bột cường hóa -20 ruby
[01:37:48 AM]  Mua Bột cường hóa -20 ruby
[01:37:49 AM]  Mua Bột cường hóa -20 ruby
[01:37:49 AM]  Mua Bột cường hóa -20 ruby
[01:37:49 AM]  Mua Bột cường hóa -20 ruby
[01:37:49 AM]  Mua Bột cường hóa -20 ruby
[01:37:49 AM]  Mua Bột cường hóa -20 ruby
[01:37:50 AM]  Mua Bột cường hóa -20 ruby
[01:37:50 AM]  Mua Bột cường hóa -20 ruby
[01:37:50 AM]  Mua Bột cường hóa -20 ruby
[01:37:50 AM]  Mua Bột cường hóa -20 ruby
[01:37:50 AM]  Mua Bột cường hóa -20 ruby
[01:37:51 AM]  Mua Bột cường hóa -20 ruby
[01:37:51 AM]  Mua Bột cường hóa -20 ruby
[01:37:51 AM]  Mua Bột cường hóa -20 ruby
[01:37:51 AM]  Mua Bột cường hóa -20 ruby
[01:37:51 AM]  Mua Bột cường hóa -20 ruby
[01:37:52 AM]  Mua Bột cường hóa -20 ruby
[01:37:52 AM]  Mua Bột cường hóa -20 ruby
[01:37:52 AM]  Mua Bột cường hóa -20 ruby
[01:37:52 AM]  Mua Bột cường hóa -20 ruby
[01:37:52 AM]  Mua Bột cường hóa -20 ruby
[01:37:53 AM]  Mua Bột cường hóa -20 ruby
[01:37:53 AM]  Mua Bột cường hóa -20 ruby
[01:37:53 AM]  Mua Bột cường hóa -20 ruby
[01:37:53 AM]  Mua Bột cường hóa -20 ruby
[01:37:54 AM]  Mua Bột cường hóa -20 ruby
[01:37:54 AM]  Mua Bột cường hóa -20 ruby
[01:37:54 AM]  Mua Bột cường hóa -20 ruby
[01:37:54 AM]  Mua Bột cường hóa -20 ruby
[01:37:54 AM]  Mua Bột cường hóa -20 ruby
[01:37:55 AM]  Mua Bột cường hóa -20 ruby
[01:37:55 AM]  Mua Bột cường hóa -20 ruby
[01:37:55 AM]  Mua Bột cường hóa -20 ruby
[01:37:55 AM]  Mua Bột cường hóa -20 ruby
[01:37:55 AM]  Mua Bột cường hóa -20 ruby
[01:37:56 AM]  Mua Bột cường hóa -20 ruby
[01:37:56 AM]  Mua Bột cường hóa -20 ruby
[01:37:56 AM]  Mua Bột cường hóa -20 ruby
[01:37:56 AM]  Mua Bột cường hóa -20 ruby
[01:37:57 AM]  Mua Bột cường hóa -20 ruby
[01:37:57 AM]  Mua Bột cường hóa -20 ruby
[01:37:57 AM]  Mua Bột cường hóa -20 ruby
[01:37:57 AM]  Mua Bột cường hóa -20 ruby
[01:37:57 AM]  Mua Bột cường hóa -20 ruby
[01:37:58 AM]  Mua Bột cường hóa -20 ruby
[01:37:58 AM]  Mua Bột cường hóa -20 ruby
[01:37:58 AM]  Mua Bột cường hóa -20 ruby
[01:37:58 AM]  Mua Bột cường hóa -20 ruby
[01:37:58 AM]  Mua Bột cường hóa -20 ruby
[01:37:59 AM]  Mua Bột cường hóa -20 ruby
[01:37:59 AM]  Mua Bột cường hóa -20 ruby
[01:37:59 AM]  Mua Bột cường hóa -20 ruby
[01:37:59 AM]  Mua Bột cường hóa -20 ruby
[01:37:59 AM]  Mua Bột cường hóa -20 ruby
[01:38:00 AM]  Mua Bột cường hóa -20 ruby
[01:38:00 AM]  Mua Bột cường hóa -20 ruby
[01:38:00 AM]  Mua Bột cường hóa -20 ruby
[01:38:00 AM]  Mua Bột cường hóa -20 ruby
[01:38:01 AM]  Mua Bột cường hóa -20 ruby
[01:38:01 AM]  Mua Bột cường hóa -20 ruby
[01:38:01 AM]  Mua Bột cường hóa -20 ruby
[01:38:01 AM]  Mua Bột cường hóa -20 ruby
[01:38:01 AM]  Mua Bột cường hóa -20 ruby
[01:38:02 AM]  Mua Bột cường hóa -20 ruby
[01:38:02 AM]  Mua Bột cường hóa -20 ruby
[01:38:02 AM]  Mua Bột cường hóa -20 ruby
[01:38:02 AM]  Mua Bột cường hóa -20 ruby
[01:38:03 AM]  Mua Bột cường hóa -20 ruby
[01:38:03 AM]  Mua Bột cường hóa -20 ruby
[01:38:03 AM]  Mua Bột cường hóa -20 ruby
[01:38:03 AM]  Mua Bột cường hóa -20 ruby
[01:38:03 AM]  Mua Bột cường hóa -20 ruby
[01:38:04 AM]  Mua Bột cường hóa -20 ruby
[01:38:04 AM]  Mua Bột cường hóa -20 ruby
[01:38:04 AM]  Mua Bột cường hóa -20 ruby
[01:38:04 AM]  Mua Bột cường hóa -20 ruby
[01:38:04 AM]  Mua Bột cường hóa -20 ruby
[01:38:05 AM]  Mua Bột cường hóa -20 ruby
[01:38:05 AM]  Mua Bột cường hóa -20 ruby
[01:38:06 AM]  Mua Bột cường hóa -20 ruby
[01:38:06 AM]  Mua Bột cường hóa -20 ruby
[01:38:06 AM]  Mua Bột cường hóa -20 ruby
[01:38:06 AM]  Mua Bột cường hóa -20 ruby
[01:38:07 AM]  Mua Bột cường hóa -20 ruby
[01:38:07 AM]  Mua Bột cường hóa -20 ruby
[01:38:07 AM]  Mua Bột cường hóa -20 ruby
[01:38:07 AM]  Mua Bột cường hóa -20 ruby
[01:38:07 AM]  Mua Bột cường hóa -20 ruby
[01:38:08 AM]  Mua Bột cường hóa -20 ruby
[01:38:08 AM]  Mua Bột cường hóa -20 ruby
[01:38:08 AM]  Mua Bột cường hóa -20 ruby
[01:38:08 AM]  Mua Bột cường hóa -20 ruby
[01:38:09 AM]  Mua Bột cường hóa -20 ruby
[01:38:09 AM]  Mua Bột cường hóa -20 ruby
[01:38:09 AM]  Mua Bột cường hóa -20 ruby
[01:38:09 AM]  Mua Bột cường hóa -20 ruby
[01:38:09 AM]  Mua Bột cường hóa -20 ruby
[01:38:10 AM]  Mua Bột cường hóa -20 ruby
[01:38:10 AM]  Mua Bột cường hóa -20 ruby
[01:38:10 AM]  Mua Bột cường hóa -20 ruby
[01:38:10 AM]  Mua Bột cường hóa -20 ruby
[01:38:11 AM]  Mua Bột cường hóa -20 ruby
[01:38:11 AM]  Mua Bột cường hóa -20 ruby
[01:38:11 AM]  Mua Bột cường hóa -20 ruby
[01:38:11 AM]  Mua Bột cường hóa -20 ruby
[01:38:12 AM]  Mua Bột cường hóa -20 ruby
[01:38:55 AM]  Mua Bột cường hóa -20 ruby
[01:38:55 AM]  Mua Bột cường hóa -20 ruby
[01:38:56 AM]  Mua Bột cường hóa -20 ruby
[01:38:56 AM]  Mua Bột cường hóa -20 ruby
[01:39:00 AM]  Mua Bột vàng -40 ruby
[01:39:01 AM]  Mua Bột vàng -2 ruby
[01:39:01 AM]  Mua Bột vàng -2 ruby
[01:39:01 AM]  Mua Bột vàng -2 ruby
[01:39:01 AM]  Mua Bột vàng -2 ruby
[01:39:01 AM]  Mua Bột vàng -2 ruby
[01:39:02 AM]  Mua Bột vàng -2 ruby
[01:39:02 AM]  Mua Bột vàng -2 ruby
[01:39:02 AM]  Mua Bột vàng -2 ruby
[01:39:02 AM]  Mua Bột vàng -2 ruby
[01:39:02 AM]  Mua Bột vàng -2 ruby
[01:39:03 AM]  Mua Bột vàng -2 ruby
[01:39:03 AM]  Mua Bột vàng -2 ruby
[01:39:03 AM]  Mua Bột vàng -2 ruby
[01:39:03 AM]  Mua Bột vàng -2 ruby
[01:39:03 AM]  Mua Bột vàng -2 ruby
[01:39:04 AM]  Mua Bột vàng -2 ruby
[01:39:04 AM]  Mua Bột vàng -2 ruby
[01:39:04 AM]  Mua Bột vàng -2 ruby
[01:39:04 AM]  Mua Bột vàng -2 ruby
[01:39:04 AM]  Mua Bột vàng -2 ruby
[01:39:05 AM]  Mua Bột vàng -2 ruby
[01:39:06 AM]  Mua Bột vàng -40 ruby
[01:39:06 AM]  Mua Bột vàng -2 ruby
[01:39:06 AM]  Mua Bột vàng -2 ruby
[01:39:07 AM]  Mua Bột vàng -40 ruby
[01:39:24 AM]  Mua Bột vàng -40 ruby
[01:39:24 AM]  Mua Bột vàng -40 ruby
[01:39:25 AM]  Mua Bột vàng -40 ruby
[01:39:25 AM]  Mua Bột vàng -40 ruby
[01:39:35 AM]  Mua Bột vàng -40 ruby
[01:39:35 AM]  Mua Bột vàng -40 ruby
[01:39:36 AM]  Mua Bột vàng -40 ruby
[01:39:36 AM]  Mua Bột vàng -40 ruby
[01:39:36 AM]  Mua Bột vàng -40 ruby
[01:39:36 AM]  Mua Bột vàng -40 ruby
[01:39:36 AM]  Mua Bột vàng -40 ruby
[01:39:36 AM]  Mua Bột vàng -40 ruby
[01:39:36 AM]  Mua Bột vàng -40 ruby
[01:39:37 AM]  Mua Bột vàng -40 ruby
[01:39:37 AM]  Mua Bột vàng -40 ruby
[01:39:37 AM]  Mua Bột vàng -40 ruby
[01:39:37 AM]  Mua Bột vàng -40 ruby
[01:39:37 AM]  Mua Bột vàng -40 ruby
[01:39:37 AM]  Mua Bột vàng -40 ruby
[01:39:37 AM]  Mua Bột vàng -40 ruby
[01:39:37 AM]  Mua Bột vàng -40 ruby
[01:39:37 AM]  Mua Bột vàng -40 ruby
[01:39:38 AM]  Mua Bột vàng -40 ruby
[01:39:38 AM]  Mua Bột vàng -40 ruby
[01:39:38 AM]  Mua Bột vàng -40 ruby
[01:39:38 AM]  Mua Bột vàng -40 ruby
[01:39:38 AM]  Mua Bột vàng -40 ruby
[01:39:38 AM]  Mua Bột vàng -40 ruby
[01:39:38 AM]  Mua Bột vàng -40 ruby
[01:39:38 AM]  Mua Bột vàng -40 ruby
[01:39:38 AM]  Mua Bột vàng -40 ruby
[01:39:39 AM]  Mua Bột vàng -40 ruby
[01:39:39 AM]  Mua Bột vàng -40 ruby
[01:39:39 AM]  Mua Bột vàng -40 ruby
[01:39:39 AM]  Mua Bột vàng -40 ruby
[01:39:39 AM]  Mua Bột vàng -40 ruby
[01:39:39 AM]  Mua Bột vàng -40 ruby
[01:39:39 AM]  Mua Bột vàng -40 ruby
[01:39:40 AM]  Mua Bột vàng -40 ruby
[01:39:40 AM]  Mua Bột vàng -40 ruby
[01:39:40 AM]  Mua Bột vàng -40 ruby
[01:39:40 AM]  Mua Bột vàng -40 ruby
[01:39:40 AM]  Mua Bột vàng -40 ruby
[01:39:40 AM]  Mua Bột vàng -40 ruby
[01:39:40 AM]  Mua Bột vàng -40 ruby
[01:39:40 AM]  Mua Bột vàng -40 ruby
[01:39:41 AM]  Mua Bột vàng -40 ruby
[01:39:41 AM]  Mua Bột vàng -40 ruby
[01:39:41 AM]  Mua Bột vàng -40 ruby
[01:39:41 AM]  Mua Bột vàng -40 ruby
[01:39:41 AM]  Mua Bột vàng -40 ruby
[01:39:41 AM]  Mua Bột vàng -40 ruby
[01:39:41 AM]  Mua Bột vàng -40 ruby
[01:39:41 AM]  Mua Bột vàng -40 ruby
[01:39:41 AM]  Mua Bột vàng -40 ruby
[01:39:42 AM]  Mua Bột vàng -40 ruby
[01:39:42 AM]  Mua Bột vàng -40 ruby
[01:39:42 AM]  Mua Bột vàng -40 ruby
[01:39:42 AM]  Mua Bột vàng -40 ruby
[01:39:42 AM]  Mua Bột vàng -40 ruby
[01:39:42 AM]  Mua Bột vàng -40 ruby
[01:39:42 AM]  Mua Bột vàng -40 ruby
[01:39:42 AM]  Mua Bột vàng -40 ruby
[01:39:42 AM]  Mua Bột vàng -40 ruby
[01:39:43 AM]  Mua Bột vàng -40 ruby
[01:39:43 AM]  Mua Bột vàng -40 ruby
[01:39:43 AM]  Mua Bột vàng -40 ruby
[01:39:43 AM]  Mua Bột vàng -40 ruby
[01:39:43 AM]  Mua Bột vàng -40 ruby
[01:39:43 AM]  Mua Bột vàng -40 ruby
[01:39:43 AM]  Mua Bột vàng -40 ruby
[01:39:43 AM]  Mua Bột vàng -40 ruby
[01:39:44 AM]  Mua Bột vàng -40 ruby
[01:39:44 AM]  Mua Bột vàng -40 ruby
[01:39:44 AM]  Mua Bột vàng -40 ruby
[01:39:44 AM]  Mua Bột vàng -40 ruby
[01:39:44 AM]  Mua Bột vàng -40 ruby
[01:39:44 AM]  Mua Bột vàng -40 ruby
[01:39:44 AM]  Mua Bột vàng -40 ruby
[01:39:44 AM]  Mua Bột vàng -40 ruby
[01:39:45 AM]  Mua Bột vàng -40 ruby
[01:39:45 AM]  Mua Bột vàng -40 ruby
[01:39:45 AM]  Mua Bột vàng -40 ruby
[01:39:45 AM]  Mua Bột vàng -40 ruby
[01:39:45 AM]  Mua Bột vàng -40 ruby
[01:39:45 AM]  Mua Bột vàng -40 ruby
[01:39:46 AM]  Mua Bột vàng -40 ruby
[01:39:46 AM]  Mua Bột vàng -40 ruby
[01:39:46 AM]  Mua Bột vàng -40 ruby
[01:39:46 AM]  Mua Bột vàng -40 ruby
[01:39:46 AM]  Mua Bột vàng -40 ruby
[01:39:46 AM]  Mua Bột vàng -40 ruby
[01:39:46 AM]  Mua Bột vàng -40 ruby
[01:39:46 AM]  Mua Bột vàng -40 ruby
[01:39:47 AM]  Mua Bột vàng -40 ruby
[01:39:47 AM]  Mua Bột vàng -40 ruby
[01:39:47 AM]  Mua Bột vàng -40 ruby
[01:39:47 AM]  Mua Bột vàng -40 ruby
[01:39:47 AM]  Mua Bột vàng -40 ruby
[01:39:47 AM]  Mua Bột vàng -40 ruby
[01:39:47 AM]  Mua Bột vàng -40 ruby
[01:39:47 AM]  Mua Bột vàng -40 ruby
[01:39:48 AM]  Mua Bột vàng -40 ruby
[01:39:48 AM]  Mua Bột vàng -40 ruby
[01:39:48 AM]  Mua Bột vàng -40 ruby
[01:39:48 AM]  Mua Bột vàng -40 ruby
[01:39:48 AM]  Mua Bột vàng -40 ruby
[01:39:48 AM]  Mua Bột vàng -40 ruby
[01:39:48 AM]  Mua Bột vàng -40 ruby
[01:39:48 AM]  Mua Bột vàng -40 ruby
[01:39:48 AM]  Mua Bột vàng -40 ruby
[01:39:49 AM]  Mua Bột vàng -40 ruby
[01:39:49 AM]  Mua Bột vàng -40 ruby
[01:39:49 AM]  Mua Bột vàng -40 ruby
[01:39:49 AM]  Mua Bột vàng -40 ruby
[01:39:49 AM]  Mua Bột vàng -40 ruby
[01:39:49 AM]  Mua Bột vàng -40 ruby
[01:39:49 AM]  Mua Bột vàng -40 ruby
[01:39:49 AM]  Mua Bột vàng -40 ruby
[01:39:49 AM]  Mua Bột vàng -40 ruby
[01:39:49 AM]  Mua Bột vàng -40 ruby
[01:39:50 AM]  Mua Bột vàng -40 ruby
[01:39:50 AM]  Mua Bột vàng -40 ruby
[01:39:50 AM]  Mua Bột vàng -40 ruby
[01:39:50 AM]  Mua Bột vàng -40 ruby
[01:39:50 AM]  Mua Bột vàng -40 ruby
[01:39:50 AM]  Mua Bột vàng -40 ruby
[01:39:50 AM]  Mua Bột vàng -40 ruby
[01:39:50 AM]  Mua Bột vàng -40 ruby
[01:39:50 AM]  Mua Bột vàng -40 ruby
[01:39:51 AM]  Mua Bột vàng -40 ruby
