[01:54:32 AM]  Login : [Beri] 2.000.000.000 [Ruby] 5.000.000
[01:54:39 AM]  Nhặt +47 beri
[01:55:05 AM]  Logout : [Beri] 2.000.000.047 [Ruby] 5.000.000
[01:55:19 AM]  Login : [Beri] 2.000.000.047 [Ruby] 5.000.000
[01:55:22 AM]  Logout : [Beri] 2.000.000.047 [Ruby] 5.000.000
[01:55:35 AM]  Login : [Beri] 2.000.000.047 [Ruby] 5.000.000
[01:55:53 AM]  Nhập giftcode Bạn nhận được:
Beri : 2000000000
Ruby : 1000000000
Item : 
[01:56:08 AM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Đá ác quỷ x1500, 
[01:56:17 AM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Dial 4 x1, 
[01:56:27 AM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Thiên thạch may mắn x10, 
[01:56:50 AM]  Giao dịch bery với theking nhận +0 beri
[01:56:50 AM]  Giao dịch bery với theking nhận Nón 5 Lv70
[01:57:07 AM]  Mua Bột cường hóa -1 ruby
[01:57:09 AM]  Mua Bột cường hóa -20 ruby
[01:57:09 AM]  Mua Bột cường hóa -20 ruby
[01:57:09 AM]  Mua Bột cường hóa -20 ruby
[01:57:10 AM]  Mua Bột cường hóa -20 ruby
[01:57:10 AM]  Mua Bột cường hóa -20 ruby
[01:57:10 AM]  Mua Bột cường hóa -20 ruby
[01:57:11 AM]  Mua Bột cường hóa -20 ruby
[01:57:11 AM]  Mua Bột cường hóa -20 ruby
[01:57:11 AM]  Mua Bột cường hóa -20 ruby
[01:57:11 AM]  Mua Bột cường hóa -20 ruby
[01:57:12 AM]  Mua Bột cường hóa -20 ruby
[01:57:12 AM]  Mua Bột cường hóa -20 ruby
[01:57:12 AM]  Mua Bột cường hóa -20 ruby
[01:57:13 AM]  Mua Bột cường hóa -20 ruby
[01:57:13 AM]  Mua Bột cường hóa -20 ruby
[01:57:15 AM]  Mua Ngôi sao may mắn -100 ruby
[01:57:15 AM]  Mua Ngôi sao may mắn -100 ruby
