[12:01:48 AM]  Nhặt +5859 beri
[12:02:33 AM]  Nhặt +6882 beri
[12:02:36 AM]  Nhặt +10354 beri
[12:02:55 AM]  Nhặt +4851 beri
[12:03:49 AM]  Nhặt +882 beri
[12:04:10 AM]  Nhặt +882 beri
[12:04:19 AM]  Nhặt +6572 beri
[12:04:24 AM]  Nhặt +10664 beri
[12:04:48 AM]  Logout : [Beri] 1.993.677.993 [Ruby] 1.003.151.500
[12:05:05 AM]  Login : [Beri] 1.993.677.993 [Ruby] 1.003.151.500
[12:05:12 AM]  Nhặt +7440 beri
[12:05:53 AM]  Nhặt +10602 beri
[12:06:12 AM]  Nhặt +4725 beri
[12:06:18 AM]  Nhặt +7998 beri
[12:06:35 AM]  Nhặt +10899 beri
[12:06:56 AM]  Logout : [Beri] 1.993.719.657 [Ruby] 1.003.151.500
[12:07:03 AM]  Login : [Beri] 1.993.719.657 [Ruby] 1.003.151.500
[12:09:32 AM]  Nhặt +2480 beri
[12:09:39 AM]  Nhặt +6262 beri
[12:09:47 AM]  Nhặt +5146 beri
[12:09:49 AM]  Nhặt +1008 beri
[12:10:46 AM]  Nhặt +9486 beri
[12:11:30 AM]  Nhặt +496 beri
[12:12:55 AM]  Nhặt +5208 beri
[12:12:58 AM]  Nhặt +7192 beri
[12:13:04 AM]  Nhặt +620 beri
[12:13:06 AM]  Nhặt +2914 beri
[12:14:04 AM]  Nhặt +5332 beri
[12:14:27 AM]  Nhặt +4092 beri
[12:14:30 AM]  Nhặt +7626 beri
[12:15:15 AM]  Nhặt +496 beri
[12:15:37 AM]  Nhặt +6200 beri
[12:16:06 AM]  Nhặt +6758 beri
[12:16:38 AM]  Nhặt +1922 beri
[12:16:40 AM]  Nhặt +4774 beri
[12:16:47 AM]  Nhặt +2542 beri
[12:16:58 AM]  Nhặt +9486 beri
[12:18:04 AM]  Nhặt +5022 beri
[12:20:13 AM]  Nhặt +8990 beri
[12:20:25 AM]  Nhặt +9300 beri
[12:21:04 AM]  Nhặt +4030 beri
[12:24:13 AM]  Nhặt +3224 beri
[12:24:40 AM]  Logout : [Beri] 1.993.840.263 [Ruby] 1.003.151.500
[12:30:37 AM]  Login : [Beri] 1.993.840.263 [Ruby] 1.003.151.500
[12:32:04 AM]  Nhặt +1922 beri
[12:32:29 AM]  Nhặt +7874 beri
[12:33:11 AM]  Logout : [Beri] 1.993.850.059 [Ruby] 1.003.151.500
[02:25:20 AM]  Login : [Beri] 1.993.850.059 [Ruby] 1.003.151.500
[02:35:11 AM]  Giao dịch bery với dragon nhận +0 beri
[02:35:11 AM]  Giao dịch bery với dragon nhận Xà rông nâu 2
[02:43:45 AM]  Nhặt +248 beri
[02:43:47 AM]  Logout : [Beri] 1.970.800.307 [Ruby] 1.003.151.500
[02:43:53 AM]  Login : [Beri] 1.970.800.307 [Ruby] 1.003.151.500
[02:44:41 AM]  Logout : [Beri] 1.970.800.307 [Ruby] 1.003.151.500
[02:44:47 AM]  Login : [Beri] 1.970.800.307 [Ruby] 1.003.151.500
[02:44:53 AM]  Nhặt +11656 beri
[02:45:32 AM]  Nhặt +7812 beri
[02:46:05 AM]  Nhặt +2646 beri
[02:46:20 AM]  Nhặt +8379 beri
[02:47:39 AM]  Nhặt +3717 beri
[02:47:46 AM]  Nhặt +10354 beri
[02:47:50 AM]  Nhặt +2976 beri
[02:48:06 AM]  Nhặt +10850 beri
[02:48:18 AM]  Nhặt +9135 beri
[02:48:20 AM]  Nhặt +1736 beri
[02:48:38 AM]  Nhặt +10106 beri
