[12:00:04 AM]  Nhặt +14787 beri
[12:00:43 AM]  Nhặt +16740 beri
[12:00:46 AM]  Nhặt +5022 beri
[12:01:02 AM]  Nhặt +6348 beri
[12:01:13 AM]  Nhặt +6231 beri
[12:01:15 AM]  Nhặt +10137 beri
[12:01:55 AM]  Nhặt +12065 beri
[12:02:03 AM]  Nhặt +7268 beri
[12:02:13 AM]  Nhặt +6532 beri
[12:02:14 AM]  Nhặt +11316 beri
[12:02:17 AM]  Nhặt +16554 beri
[12:02:38 AM]  Nhặt +17484 beri
[12:02:41 AM]  Nhặt +16554 beri
[12:02:43 AM]  Nhặt +15732 beri
[12:02:59 AM]  Nhặt +13156 beri
[12:03:05 AM]  Nhặt +4692 beri
[12:03:07 AM]  Nhặt +9951 beri
[12:03:27 AM]  Nhặt +5022 beri
[12:04:09 AM]  Nhặt +5336 beri
[12:04:12 AM]  Nhặt +17670 beri
[12:04:13 AM]  Nhặt +10695 beri
[12:04:26 AM]  Nhặt +4692 beri
[12:04:35 AM]  Nhặt +15531 beri
[12:04:47 AM]  Nhặt +2139 beri
[12:04:49 AM]  Nhặt +15200 beri
[12:04:58 AM]  Nhặt +17391 beri
[12:05:00 AM]  Nhặt +13064 beri
[12:05:25 AM]  Nhặt +8556 beri
[12:05:51 AM]  Nhặt +5336 beri
[12:06:05 AM]  Nhặt +16833 beri
[12:06:07 AM]  Nhặt +16647 beri
[12:06:22 AM]  Nhặt +12604 beri
[12:06:23 AM]  Nhặt +8184 beri
[12:06:29 AM]  Nhặt +7084 beri
[12:06:37 AM]  Nhặt +16089 beri
[12:06:46 AM]  Nhặt +4876 beri
[12:06:48 AM]  Nhặt +17949 beri
[12:07:20 AM]  Nhặt +2300 beri
[12:07:21 AM]  Nhặt +6417 beri
[12:07:33 AM]  Nhặt +5520 beri
[12:07:56 AM]  Logout : [Beri] 1.936.424.546 [Ruby] 989.910.260
[12:12:02 AM]  Login : [Beri] 1.936.424.546 [Ruby] 989.910.260
[12:12:24 AM]  Mua Đá khảm vô cực S -20000000 ruby
[12:12:24 AM]  Mua Đá khảm vô cực S -20000000 ruby
[12:12:35 AM]  Mua Đá khảm vô cực S -20000000 ruby
[12:12:59 AM]  Logout : [Beri] 1.936.424.546 [Ruby] 929.910.260
[02:48:34 AM]  Login : [Beri] 1.936.424.546 [Ruby] 929.910.260
[02:48:38 AM]  Logout : [Beri] 1.936.424.546 [Ruby] 929.910.260
[06:40:16 AM]  Login : [Beri] 1.936.424.546 [Ruby] 929.910.260
[06:41:32 AM]  Logout : [Beri] 1.936.424.546 [Ruby] 929.910.260
