[08:09:23 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[08:09:51 AM]  Mua minh vương -500 ruby
[08:10:06 AM]  Mua Tóc thủy thần -500 ruby
[08:10:11 AM]  Mua Pell -500 ruby
[08:11:00 AM]  Mua Cola -800 beri
[08:11:00 AM]  Mua Cola -800 beri
[08:11:00 AM]  Mua Cola -800 beri
[08:11:01 AM]  Mua Cola -800 beri
[08:11:01 AM]  Mua Cola -800 beri
[08:11:01 AM]  Mua Cola -800 beri
[08:11:01 AM]  Mua Cola -800 beri
[08:11:01 AM]  Mua Cola -800 beri
[08:11:01 AM]  Mua Cola -800 beri
[08:11:02 AM]  Mua Cola -800 beri
[08:11:02 AM]  Mua Cola -800 beri
[08:11:02 AM]  Mua Cola -800 beri
[08:11:02 AM]  Mua Cola -800 beri
[08:11:02 AM]  Mua Cola -800 beri
[08:11:06 AM]  Mua Súp baratie -1600 beri
[08:11:06 AM]  Mua Súp baratie -1600 beri
[08:11:06 AM]  Mua Súp baratie -1600 beri
[08:11:06 AM]  Mua Súp baratie -1600 beri
[08:11:06 AM]  Mua Súp baratie -1600 beri
[08:11:06 AM]  Mua Súp baratie -1600 beri
[08:11:06 AM]  Mua Súp baratie -1600 beri
[08:11:06 AM]  Mua Súp baratie -1600 beri
[08:11:07 AM]  Mua Súp baratie -1600 beri
[08:11:07 AM]  Mua Súp baratie -1600 beri
[08:11:07 AM]  Mua Súp baratie -1600 beri
[08:11:07 AM]  Mua Súp baratie -1600 beri
[08:11:07 AM]  Mua Súp baratie -1600 beri
[08:11:20 AM]  Mua Búa siêu cấp -10000 ruby
[04:43:29 PM]  Login : [Beri] 1.999.997.600 [Ruby] 498.500
[04:44:15 PM]  Mua 200 vé vòng quay -3000 ruby
[04:46:09 PM]  Mua gold roger -500 ruby
[04:46:17 PM]  Mua Tóc Siêu Sao -500 ruby
[04:46:58 PM]  Mua Cơm hộp hải tặc -0 beri
[04:46:58 PM]  Mua Cơm hộp hải tặc -0 beri
[04:46:59 PM]  Mua Cơm hộp hải tặc -0 beri
[04:46:59 PM]  Mua Cơm hộp hải tặc -0 beri
[04:46:59 PM]  Mua Cơm hộp hải tặc -0 beri
[04:48:15 PM]  Nhặt +544 beri
[04:48:23 PM]  Nhặt +1176 beri
[04:52:28 PM]  Nhặt +4191 beri
[04:53:02 PM]  Logout : [Beri] 2.000.003.511 [Ruby] 494.500
[04:53:05 PM]  Login : [Beri] 2.000.003.511 [Ruby] 494.500
[04:53:54 PM]  Mua Súng hỏa mai -700 beri
[04:53:56 PM]  Mua Quần thể thao 2 -500 beri
[04:53:57 PM]  Mua Áo thể thao -1700 beri
[04:54:11 PM]  Mua Bột cường hóa -20 ruby
[04:54:11 PM]  Mua Bột cường hóa -20 ruby
[04:54:11 PM]  Mua Bột cường hóa -20 ruby
[04:54:11 PM]  Mua Bột cường hóa -20 ruby
[04:54:11 PM]  Mua Bột cường hóa -20 ruby
[04:54:11 PM]  Mua Bột cường hóa -20 ruby
[04:54:12 PM]  Mua Bột cường hóa -20 ruby
[04:54:12 PM]  Mua Bột cường hóa -20 ruby
[04:54:12 PM]  Mua Bột cường hóa -20 ruby
[04:54:12 PM]  Mua Bột cường hóa -20 ruby
[04:54:12 PM]  Mua Bột cường hóa -20 ruby
[04:54:13 PM]  Mua Bột cường hóa -20 ruby
[04:54:13 PM]  Mua Bột cường hóa -20 ruby
[04:54:13 PM]  Mua Bột cường hóa -20 ruby
[04:54:13 PM]  Mua Bột cường hóa -20 ruby
[04:54:13 PM]  Mua Bột cường hóa -20 ruby
[04:54:13 PM]  Mua Bột cường hóa -20 ruby
[04:54:13 PM]  Mua Bột cường hóa -20 ruby
[04:54:14 PM]  Mua Bột cường hóa -20 ruby
[04:54:14 PM]  Mua Bột cường hóa -20 ruby
[04:54:17 PM]  Mua Bột vàng -40 ruby
[04:54:17 PM]  Mua Bột vàng -40 ruby
[04:54:17 PM]  Mua Bột vàng -40 ruby
[04:54:18 PM]  Mua Bột vàng -40 ruby
[04:54:18 PM]  Mua Bột vàng -40 ruby
[04:54:18 PM]  Mua Bột vàng -40 ruby
[04:54:18 PM]  Mua Bột vàng -40 ruby
[04:54:18 PM]  Mua Bột vàng -40 ruby
[04:54:18 PM]  Mua Bột vàng -40 ruby
[04:54:18 PM]  Mua Bột vàng -40 ruby
[04:54:18 PM]  Mua Bột vàng -40 ruby
[04:54:19 PM]  Mua Bột vàng -40 ruby
[04:54:19 PM]  Mua Bột vàng -40 ruby
[04:54:19 PM]  Mua Bột vàng -40 ruby
[04:54:19 PM]  Mua Bột vàng -40 ruby
[04:54:20 PM]  Mua Bột vàng -40 ruby
[04:54:20 PM]  Mua Bột vàng -40 ruby
[04:54:20 PM]  Mua Bột vàng -40 ruby
[04:54:20 PM]  Mua Bột vàng -40 ruby
[04:54:20 PM]  Mua Bột vàng -40 ruby
[04:54:20 PM]  Mua Bột vàng -40 ruby
[04:54:23 PM]  Mua Mai rùa -140 ruby
[04:54:23 PM]  Mua Mai rùa -140 ruby
[04:54:23 PM]  Mua Mai rùa -140 ruby
[04:54:23 PM]  Mua Mai rùa -140 ruby
[04:54:23 PM]  Mua Mai rùa -140 ruby
[04:54:23 PM]  Mua Mai rùa -140 ruby
[04:54:23 PM]  Mua Mai rùa -140 ruby
[04:54:24 PM]  Mua Mai rùa -140 ruby
[04:54:34 PM]  Mua Bột than -10000 beri
[04:54:34 PM]  Mua Bột than -10000 beri
[04:54:34 PM]  Mua Bột than -10000 beri
[04:54:34 PM]  Mua Bột than -10000 beri
[04:54:34 PM]  Mua Bột than -10000 beri
[04:54:35 PM]  Mua Bột than -10000 beri
[04:54:35 PM]  Mua Bột than -10000 beri
[04:54:35 PM]  Mua Bột than -10000 beri
[04:54:35 PM]  Mua Bột than -10000 beri
[04:54:42 PM]  Cường hóa item Súng hỏa mai -3000 beri
[04:54:45 PM]  Cường hóa item Súng hỏa mai -3000 beri
[04:54:46 PM]  Cường hóa item Súng hỏa mai -3000 beri
[04:54:47 PM]  Cường hóa item Súng hỏa mai -4000 beri
[04:54:47 PM]  Cường hóa item Súng hỏa mai -4000 beri
[04:54:50 PM]  Cường hóa item Súng hỏa mai -4000 beri
[04:54:51 PM]  Cường hóa item Súng hỏa mai -6000 beri
[04:54:52 PM]  Cường hóa item Súng hỏa mai -6000 beri
[04:54:54 PM]  Cường hóa item Súng hỏa mai -6000 beri
[04:54:54 PM]  Cường hóa item Súng hỏa mai -6000 beri
