[12:27:52 AM]  Login : [Beri] 2.000.000.000 [Ruby] 5.000.000
[12:28:10 AM]  Giao dịch bery với kazulegend nhận +0 beri
[12:28:10 AM]  Giao dịch bery với kazulegend nhận Quả Tim
[12:28:10 AM]  Giao dịch bery với kazulegend nhận Dial 4
[12:28:32 AM]  Mua Bột cường hóa -20 ruby
[12:28:33 AM]  Mua Bột cường hóa -20 ruby
[12:28:33 AM]  Mua Bột cường hóa -20 ruby
[12:28:33 AM]  Mua Bột cường hóa -20 ruby
[12:28:33 AM]  Mua Bột cường hóa -20 ruby
[12:28:33 AM]  Mua Bột cường hóa -20 ruby
[12:28:34 AM]  Mua Bột cường hóa -20 ruby
[12:28:34 AM]  Mua Bột cường hóa -20 ruby
[12:28:34 AM]  Mua Bột cường hóa -20 ruby
[12:28:34 AM]  Mua Bột cường hóa -20 ruby
[12:28:35 AM]  Mua Bột cường hóa -20 ruby
[12:28:35 AM]  Mua Bột cường hóa -20 ruby
[12:28:35 AM]  Mua Bột cường hóa -20 ruby
[12:28:35 AM]  Mua Bột cường hóa -20 ruby
[12:28:35 AM]  Mua Bột cường hóa -20 ruby
[12:28:35 AM]  Mua Bột cường hóa -20 ruby
[12:28:36 AM]  Mua Bột cường hóa -20 ruby
[12:28:36 AM]  Mua Bột cường hóa -20 ruby
[12:28:36 AM]  Mua Bột cường hóa -20 ruby
[12:28:36 AM]  Mua Bột cường hóa -20 ruby
[12:28:37 AM]  Mua Bột cường hóa -20 ruby
[12:28:37 AM]  Mua Bột cường hóa -20 ruby
[12:28:37 AM]  Mua Bột cường hóa -20 ruby
[12:28:37 AM]  Mua Bột cường hóa -20 ruby
[12:28:38 AM]  Mua Bột cường hóa -20 ruby
[12:28:38 AM]  Mua Bột cường hóa -20 ruby
[12:28:38 AM]  Mua Bột cường hóa -20 ruby
[12:28:38 AM]  Mua Bột cường hóa -20 ruby
[12:28:38 AM]  Mua Bột cường hóa -20 ruby
[12:28:39 AM]  Mua Bột cường hóa -20 ruby
[12:28:39 AM]  Mua Bột cường hóa -20 ruby
[12:28:39 AM]  Mua Bột cường hóa -20 ruby
[12:28:39 AM]  Mua Bột cường hóa -20 ruby
[12:28:39 AM]  Mua Bột cường hóa -20 ruby
[12:28:39 AM]  Mua Bột cường hóa -20 ruby
[12:28:39 AM]  Mua Bột cường hóa -20 ruby
[12:28:40 AM]  Mua Bột cường hóa -20 ruby
[12:28:40 AM]  Mua Bột cường hóa -20 ruby
[12:28:40 AM]  Mua Bột cường hóa -20 ruby
[12:28:40 AM]  Mua Bột cường hóa -20 ruby
[12:28:40 AM]  Mua Bột cường hóa -20 ruby
[12:28:41 AM]  Mua Bột cường hóa -20 ruby
[12:28:41 AM]  Mua Bột cường hóa -20 ruby
[12:28:41 AM]  Mua Bột cường hóa -20 ruby
[12:28:41 AM]  Mua Bột cường hóa -20 ruby
[12:28:41 AM]  Mua Bột cường hóa -20 ruby
[12:28:41 AM]  Mua Bột cường hóa -20 ruby
[12:28:42 AM]  Mua Bột cường hóa -20 ruby
[12:28:42 AM]  Mua Bột cường hóa -20 ruby
[12:28:42 AM]  Mua Bột cường hóa -20 ruby
[12:28:42 AM]  Mua Bột cường hóa -20 ruby
[12:28:45 AM]  Mua Bột vàng -40 ruby
[12:28:45 AM]  Mua Bột vàng -40 ruby
[12:28:45 AM]  Mua Bột vàng -40 ruby
[12:28:45 AM]  Mua Bột vàng -40 ruby
[12:28:46 AM]  Mua Bột vàng -40 ruby
[12:28:46 AM]  Mua Bột vàng -40 ruby
[12:28:46 AM]  Mua Bột vàng -40 ruby
[12:28:46 AM]  Mua Bột vàng -40 ruby
[12:28:46 AM]  Mua Bột vàng -40 ruby
[12:28:47 AM]  Mua Bột vàng -40 ruby
[12:28:47 AM]  Mua Bột vàng -40 ruby
[12:28:47 AM]  Mua Bột vàng -40 ruby
[12:28:47 AM]  Mua Bột vàng -40 ruby
[12:28:48 AM]  Mua Bột vàng -40 ruby
[12:28:48 AM]  Mua Bột vàng -40 ruby
[12:28:49 AM]  Mua Bột vàng -40 ruby
[12:28:49 AM]  Mua Bột vàng -40 ruby
[12:28:49 AM]  Mua Bột vàng -40 ruby
[12:28:49 AM]  Mua Bột vàng -40 ruby
[12:28:49 AM]  Mua Bột vàng -40 ruby
[12:28:50 AM]  Mua Bột vàng -40 ruby
[12:28:50 AM]  Mua Bột vàng -40 ruby
[12:28:50 AM]  Mua Bột vàng -40 ruby
[12:28:50 AM]  Mua Bột vàng -40 ruby
[12:28:50 AM]  Mua Bột vàng -40 ruby
[12:28:51 AM]  Mua Bột vàng -40 ruby
[12:28:51 AM]  Mua Bột vàng -40 ruby
[12:28:51 AM]  Mua Bột vàng -40 ruby
[12:29:54 AM]  Mua Bột cường hóa -20 ruby
[12:29:54 AM]  Mua Bột cường hóa -20 ruby
[12:29:55 AM]  Mua Bột cường hóa -20 ruby
[12:29:55 AM]  Mua Bột cường hóa -20 ruby
[12:29:55 AM]  Mua Bột cường hóa -20 ruby
[12:29:55 AM]  Mua Bột cường hóa -20 ruby
[12:29:55 AM]  Mua Bột cường hóa -20 ruby
[12:30:30 AM]  Giao dịch bery với kazulegend nhận +0 beri
[12:30:35 AM]  Logout : [Beri] 1.961.500.000 [Ruby] 4.997.720
[04:30:48 PM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[04:31:52 PM]  Logout : [Beri] 2.000.000.000 [Ruby] 500.000
[04:32:00 PM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[04:32:15 PM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Thiên thạch may mắn x10, 
[04:32:19 PM]  Logout : [Beri] 2.000.000.000 [Ruby] 500.000
