[10:13:51 PM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[10:14:17 PM]  Mua Kinh nghiệm X2 -15 ruby
[10:14:19 PM]  Mua Xp Chiêu thức -1500 ruby
[10:15:18 PM]  Logout : [Beri] 2.000.000.000 [Ruby] 498.485
[10:15:25 PM]  Login : [Beri] 2.000.000.000 [Ruby] 498.485
[10:15:47 PM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Thiên thạch may mắn x10, 
[10:16:02 PM]  Nhập giftcode Bạn nhận được:
Beri : 2000000000
Ruby : 1000000000
Item : 
[10:17:48 PM]  Logout : [Beri] 2.000.000.000 [Ruby] 1.000.498.485
[10:56:00 PM]  Login : [Beri] 2.000.000.000 [Ruby] 1.000.498.485
[10:58:13 PM]  Giao dịch bery với noazoro nhận +0 beri
[10:58:13 PM]  Giao dịch bery với noazoro nhận Mũ sọc tím 2
[10:58:13 PM]  Giao dịch bery với noazoro nhận Kiếm thất truyền 2
[10:58:13 PM]  Giao dịch bery với noazoro nhận Áo vắt vai 2
[10:58:13 PM]  Giao dịch bery với noazoro nhận Khố tím 2
[10:59:23 PM]  Mua Bột cường hóa -20 ruby
[10:59:23 PM]  Mua Bột cường hóa -20 ruby
[10:59:23 PM]  Mua Bột cường hóa -20 ruby
[10:59:24 PM]  Mua Bột cường hóa -20 ruby
[10:59:24 PM]  Mua Bột cường hóa -20 ruby
[10:59:24 PM]  Mua Bột cường hóa -20 ruby
[10:59:24 PM]  Mua Bột cường hóa -20 ruby
[10:59:24 PM]  Mua Bột cường hóa -20 ruby
[10:59:24 PM]  Mua Bột cường hóa -20 ruby
[10:59:24 PM]  Mua Bột cường hóa -20 ruby
[10:59:25 PM]  Mua Bột cường hóa -20 ruby
[10:59:25 PM]  Mua Bột cường hóa -20 ruby
[10:59:25 PM]  Mua Bột cường hóa -20 ruby
[10:59:25 PM]  Mua Bột cường hóa -20 ruby
[10:59:26 PM]  Mua Bột cường hóa -20 ruby
[10:59:26 PM]  Mua Bột cường hóa -20 ruby
[10:59:26 PM]  Mua Bột cường hóa -20 ruby
[10:59:27 PM]  Mua Bột cường hóa -20 ruby
[10:59:27 PM]  Mua Bột cường hóa -20 ruby
[10:59:27 PM]  Mua Bột cường hóa -20 ruby
[10:59:27 PM]  Mua Bột cường hóa -20 ruby
[10:59:27 PM]  Mua Bột cường hóa -20 ruby
[10:59:27 PM]  Mua Bột cường hóa -20 ruby
[10:59:28 PM]  Mua Bột cường hóa -20 ruby
[10:59:28 PM]  Mua Bột cường hóa -20 ruby
[10:59:28 PM]  Mua Bột cường hóa -20 ruby
[10:59:28 PM]  Mua Bột cường hóa -20 ruby
[10:59:29 PM]  Mua Bột cường hóa -20 ruby
[10:59:29 PM]  Mua Bột cường hóa -20 ruby
[10:59:29 PM]  Mua Bột cường hóa -20 ruby
[10:59:29 PM]  Mua Bột cường hóa -20 ruby
[10:59:30 PM]  Mua Bột cường hóa -20 ruby
[10:59:30 PM]  Mua Bột cường hóa -20 ruby
[10:59:30 PM]  Mua Bột cường hóa -20 ruby
[10:59:30 PM]  Mua Bột cường hóa -20 ruby
[10:59:31 PM]  Mua Bột cường hóa -20 ruby
[10:59:31 PM]  Mua Bột cường hóa -20 ruby
[10:59:31 PM]  Mua Bột cường hóa -20 ruby
[10:59:31 PM]  Mua Bột cường hóa -20 ruby
[10:59:32 PM]  Mua Bột cường hóa -20 ruby
[11:00:00 PM]  Mua Bột cường hóa -1 ruby
[11:00:03 PM]  Mua Bột cường hóa -20 ruby
[11:00:03 PM]  Mua Bột cường hóa -20 ruby
[11:00:03 PM]  Mua Bột cường hóa -20 ruby
[11:00:04 PM]  Mua Bột cường hóa -20 ruby
[11:00:04 PM]  Mua Bột cường hóa -20 ruby
[11:00:04 PM]  Mua Bột cường hóa -20 ruby
[11:00:04 PM]  Mua Bột cường hóa -20 ruby
[11:00:04 PM]  Mua Bột cường hóa -20 ruby
[11:00:05 PM]  Mua Bột cường hóa -20 ruby
[11:00:05 PM]  Mua Bột cường hóa -20 ruby
[11:00:05 PM]  Mua Bột cường hóa -20 ruby
[11:00:05 PM]  Mua Bột cường hóa -20 ruby
[11:00:05 PM]  Mua Bột cường hóa -20 ruby
[11:00:32 PM]  Mua Bột cường hóa -20 ruby
[11:00:32 PM]  Mua Bột cường hóa -20 ruby
[11:00:32 PM]  Mua Bột cường hóa -20 ruby
[11:00:32 PM]  Mua Bột cường hóa -20 ruby
[11:00:32 PM]  Mua Bột cường hóa -20 ruby
[11:00:32 PM]  Mua Bột cường hóa -20 ruby
[11:00:32 PM]  Mua Bột cường hóa -20 ruby
[11:00:33 PM]  Mua Bột cường hóa -20 ruby
[11:00:33 PM]  Mua Bột cường hóa -20 ruby
[11:00:33 PM]  Mua Bột cường hóa -20 ruby
[11:00:33 PM]  Mua Bột cường hóa -20 ruby
[11:00:33 PM]  Mua Bột cường hóa -20 ruby
[11:00:33 PM]  Mua Bột cường hóa -20 ruby
[11:00:33 PM]  Mua Bột cường hóa -20 ruby
[11:00:33 PM]  Mua Bột cường hóa -20 ruby
[11:00:33 PM]  Mua Bột cường hóa -20 ruby
[11:00:34 PM]  Mua Bột cường hóa -20 ruby
[11:00:34 PM]  Mua Bột cường hóa -20 ruby
[11:00:34 PM]  Mua Bột cường hóa -20 ruby
[11:00:34 PM]  Mua Bột cường hóa -20 ruby
[11:00:34 PM]  Mua Bột cường hóa -20 ruby
[11:00:34 PM]  Mua Bột cường hóa -20 ruby
[11:00:34 PM]  Mua Bột cường hóa -20 ruby
[11:00:34 PM]  Mua Bột cường hóa -20 ruby
[11:00:35 PM]  Mua Bột cường hóa -20 ruby
[11:00:35 PM]  Mua Bột cường hóa -20 ruby
[11:00:35 PM]  Mua Bột cường hóa -20 ruby
[11:00:35 PM]  Mua Bột cường hóa -20 ruby
[11:00:35 PM]  Mua Bột cường hóa -20 ruby
[11:00:35 PM]  Mua Bột cường hóa -20 ruby
[11:00:35 PM]  Mua Bột cường hóa -20 ruby
[11:00:35 PM]  Mua Bột cường hóa -20 ruby
[11:00:36 PM]  Mua Bột cường hóa -20 ruby
[11:00:36 PM]  Mua Bột cường hóa -20 ruby
[11:00:36 PM]  Mua Bột cường hóa -20 ruby
[11:00:36 PM]  Mua Bột cường hóa -20 ruby
[11:00:36 PM]  Mua Bột cường hóa -20 ruby
[11:00:36 PM]  Mua Bột cường hóa -20 ruby
[11:00:36 PM]  Mua Bột cường hóa -20 ruby
[11:00:40 PM]  Mua Bột cường hóa -20 ruby
[11:00:40 PM]  Mua Bột cường hóa -20 ruby
[11:00:41 PM]  Mua Bột cường hóa -20 ruby
[11:00:41 PM]  Mua Bột cường hóa -20 ruby
[11:00:41 PM]  Mua Bột cường hóa -20 ruby
[11:00:41 PM]  Mua Bột cường hóa -20 ruby
[11:00:41 PM]  Mua Bột cường hóa -20 ruby
[11:00:41 PM]  Mua Bột cường hóa -20 ruby
[11:00:41 PM]  Mua Bột cường hóa -20 ruby
[11:00:41 PM]  Mua Bột cường hóa -20 ruby
[11:00:42 PM]  Mua Bột cường hóa -20 ruby
[11:00:42 PM]  Mua Bột cường hóa -20 ruby
[11:00:42 PM]  Mua Bột cường hóa -20 ruby
[11:00:42 PM]  Mua Bột cường hóa -20 ruby
[11:00:42 PM]  Mua Bột cường hóa -20 ruby
[11:00:42 PM]  Mua Bột cường hóa -20 ruby
[11:00:42 PM]  Mua Bột cường hóa -20 ruby
[11:00:42 PM]  Mua Bột cường hóa -20 ruby
[11:00:43 PM]  Mua Bột cường hóa -20 ruby
[11:00:43 PM]  Mua Bột cường hóa -20 ruby
[11:00:43 PM]  Mua Bột cường hóa -20 ruby
[11:00:43 PM]  Mua Bột cường hóa -20 ruby
[11:00:43 PM]  Mua Bột cường hóa -20 ruby
[11:00:43 PM]  Mua Bột cường hóa -20 ruby
[11:00:43 PM]  Mua Bột cường hóa -20 ruby
[11:00:43 PM]  Mua Bột cường hóa -20 ruby
[11:00:43 PM]  Mua Bột cường hóa -20 ruby
