[12:00:18 AM]  Nhặt +4223 beri
[12:01:40 AM]  Nhặt +1250 beri
[12:02:05 AM]  Nhặt +350 beri
[12:02:28 AM]  Nhặt +3950 beri
[12:02:45 AM]  Nhặt +8400 beri
[12:03:51 AM]  Nhặt +8600 beri
[12:04:18 AM]  Nhặt +8000 beri
[12:05:18 AM]  Nhặt +7150 beri
[12:06:16 AM]  Nhặt +500 beri
[12:06:56 AM]  Nhặt +4514 beri
[12:08:36 AM]  Nhặt +5856 beri
[12:11:17 AM]  Nhặt +6649 beri
[12:11:34 AM]  Nhặt +8845 beri
[12:13:03 AM]  Cường hóa item Nhẫn 2 Lv60 2 -3000 beri
[12:13:03 AM]  Cường hóa item Nhẫn 2 Lv60 2 -3000 beri
[12:13:05 AM]  Cường hóa item Nhẫn 2 Lv60 2 -3000 beri
[12:13:05 AM]  Cường hóa item Nhẫn 2 Lv60 2 -4000 beri
[12:13:06 AM]  Cường hóa item Nhẫn 2 Lv60 2 -4000 beri
[12:13:06 AM]  Cường hóa item Nhẫn 2 Lv60 2 -4000 beri
[12:13:07 AM]  Cường hóa item Nhẫn 2 Lv60 2 -4000 beri
[12:13:08 AM]  Cường hóa item Nhẫn 2 Lv60 2 -6000 beri
[12:13:09 AM]  Cường hóa item Nhẫn 2 Lv60 2 -6000 beri
[12:13:09 AM]  Cường hóa item Nhẫn 2 Lv60 2 -6000 beri
[12:13:11 AM]  Cường hóa item Nhẫn 2 Lv60 2 -6000 beri
[12:13:11 AM]  Cường hóa item Nhẫn 2 Lv60 2 -6000 beri
[12:13:12 AM]  Cường hóa item Nhẫn 2 Lv60 2 -6000 beri
[12:13:12 AM]  Cường hóa item Nhẫn 2 Lv60 2 -6000 beri
[12:13:14 AM]  Cường hóa item Nhẫn 2 Lv60 2 -6000 beri
[12:13:14 AM]  Cường hóa item Nhẫn 2 Lv60 2 -6000 beri
[12:13:15 AM]  Cường hóa item Nhẫn 2 Lv60 2 -6000 beri
[12:13:15 AM]  Cường hóa item Nhẫn 2 Lv60 2 -6000 beri
[12:13:17 AM]  Cường hóa item Nhẫn 2 Lv60 2 -6000 beri
[12:13:17 AM]  Cường hóa item Nhẫn 2 Lv60 2 -6000 beri
[12:13:18 AM]  Cường hóa item Nhẫn 2 Lv60 2 -8000 beri
[12:13:18 AM]  Cường hóa item Nhẫn 2 Lv60 2 -8000 beri
[12:13:19 AM]  Cường hóa item Nhẫn 2 Lv60 2 -8000 beri
[12:13:20 AM]  Cường hóa item Nhẫn 2 Lv60 2 -8000 beri
[12:13:21 AM]  Cường hóa item Nhẫn 2 Lv60 2 -10000 beri
[12:13:22 AM]  Cường hóa item Nhẫn 2 Lv60 2 -10000 beri
[12:14:02 AM]  Cường hóa item Dây chuyền 2 Lv60 -3000 beri
[12:14:02 AM]  Cường hóa item Dây chuyền 2 Lv60 -3000 beri
[12:14:03 AM]  Cường hóa item Dây chuyền 2 Lv60 -3000 beri
[12:14:03 AM]  Cường hóa item Dây chuyền 2 Lv60 -3000 beri
[12:14:05 AM]  Cường hóa item Dây chuyền 2 Lv60 -4000 beri
[12:14:06 AM]  Cường hóa item Dây chuyền 2 Lv60 -4000 beri
[12:14:07 AM]  Cường hóa item Dây chuyền 2 Lv60 -4000 beri
[12:14:07 AM]  Cường hóa item Dây chuyền 2 Lv60 -4000 beri
[12:14:09 AM]  Cường hóa item Dây chuyền 2 Lv60 -4000 beri
[12:14:09 AM]  Cường hóa item Dây chuyền 2 Lv60 -4000 beri
[12:14:10 AM]  Cường hóa item Dây chuyền 2 Lv60 -6000 beri
[12:14:10 AM]  Cường hóa item Dây chuyền 2 Lv60 -6000 beri
[12:14:11 AM]  Cường hóa item Dây chuyền 2 Lv60 -6000 beri
[12:14:12 AM]  Cường hóa item Dây chuyền 2 Lv60 -6000 beri
[12:14:13 AM]  Cường hóa item Dây chuyền 2 Lv60 -6000 beri
