[05:04:57 AM]  Login : [Beri] 2.000.000.000 [Ruby] 5.000.000
[05:06:39 AM]  Mua Tóc Siêu Sao -500 ruby
[05:06:47 AM]  Mua Tóc khỉ con -500 ruby
[05:09:18 AM]  Mua akainu -500 ruby
[05:09:31 AM]  Mua Trang phục Doctor Strange -500 ruby
[05:10:08 AM]  Logout : [Beri] 2.000.000.000 [Ruby] 4.998.000
[05:10:14 AM]  Login : [Beri] 2.000.000.000 [Ruby] 4.998.000
[05:10:33 AM]  Mua Pell -500 ruby
[05:10:49 AM]  Mua Xp Chiêu thức -6000 ruby
[05:10:49 AM]  Mua Xp Chiêu thức -6000 ruby
[05:10:49 AM]  Mua Xp Chiêu thức -6000 ruby
[05:10:49 AM]  Mua Xp Chiêu thức -6000 ruby
[05:10:49 AM]  Mua Xp Chiêu thức -6000 ruby
[05:10:50 AM]  Mua Xp Chiêu thức -6000 ruby
[05:10:50 AM]  Mua Xp Chiêu thức -6000 ruby
[05:10:50 AM]  Mua Xp Chiêu thức -6000 ruby
[05:10:50 AM]  Mua Xp Chiêu thức -6000 ruby
[05:10:51 AM]  Mua Xp Chiêu thức -6000 ruby
[05:10:52 AM]  Mua Kinh nghiệm X2 -60 ruby
[05:10:52 AM]  Mua Kinh nghiệm X2 -60 ruby
[05:10:52 AM]  Mua Kinh nghiệm X2 -60 ruby
[05:10:52 AM]  Mua Kinh nghiệm X2 -60 ruby
[05:10:52 AM]  Mua Kinh nghiệm X2 -60 ruby
[05:10:52 AM]  Mua Kinh nghiệm X2 -60 ruby
[05:10:53 AM]  Mua Kinh nghiệm X2 -60 ruby
[05:10:55 AM]  Mua Quả Conache -0 beri
[05:10:55 AM]  Mua Quả Conache -0 beri
[05:10:55 AM]  Mua Quả Conache -0 beri
[05:10:55 AM]  Mua Quả Conache -0 beri
[05:10:55 AM]  Mua Quả Conache -0 beri
[05:10:56 AM]  Mua Quả Conache -0 beri
[05:10:56 AM]  Mua Quả Conache -0 beri
[05:10:56 AM]  Mua Quả Conache -0 beri
[05:10:56 AM]  Mua Quả Conache -0 beri
[05:10:56 AM]  Mua Quả Conache -0 beri
[05:10:56 AM]  Mua Quả Conache -0 beri
[05:10:57 AM]  Mua Quả Conache -0 beri
[05:10:57 AM]  Mua Quả Conache -0 beri
[05:10:57 AM]  Mua Quả Conache -0 beri
[05:10:57 AM]  Mua Quả Conache -0 beri
[05:10:57 AM]  Mua Quả Conache -0 beri
[05:10:57 AM]  Mua Quả Conache -0 beri
[05:10:58 AM]  Mua Quả Conache -0 beri
[05:10:58 AM]  Mua Quả Conache -0 beri
[05:10:58 AM]  Mua Quả Conache -0 beri
[05:10:58 AM]  Mua Quả Conache -0 beri
[05:10:59 AM]  Mua Quả Conache -0 beri
[05:10:59 AM]  Mua Quả Conache -0 beri
[05:10:59 AM]  Mua Quả Conache -0 beri
[05:10:59 AM]  Mua Quả Conache -0 beri
[05:10:59 AM]  Mua Quả Conache -0 beri
[05:10:59 AM]  Mua Quả Conache -0 beri
[05:10:59 AM]  Mua Quả Conache -0 beri
[05:10:59 AM]  Mua Quả Conache -0 beri
[05:11:00 AM]  Mua Quả Conache -0 beri
[05:11:00 AM]  Mua Quả Conache -0 beri
[05:11:00 AM]  Mua Quả Conache -0 beri
[05:11:00 AM]  Mua Quả Conache -0 beri
[05:11:00 AM]  Mua Quả Conache -0 beri
[05:11:00 AM]  Mua Quả Conache -0 beri
