[04:16:50 AM]  Login : [Beri] 2.000.000.000 [Ruby] 5.000.000
[04:19:17 AM]  Mua Thời trang UTA -500 ruby
[04:19:44 AM]  Mua Tóc RD Judge -500 ruby
[04:20:15 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:16 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:16 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:17 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:17 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:17 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:17 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:17 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:17 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:18 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:18 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:18 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:18 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:18 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:18 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:18 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:19 AM]  Mua Cơm hộp hải tặc -0 beri
[04:20:26 AM]  Mua Quả Conache -0 beri
[04:20:26 AM]  Mua Quả Conache -0 beri
[04:20:26 AM]  Mua Quả Conache -0 beri
[04:20:26 AM]  Mua Quả Conache -0 beri
[04:20:26 AM]  Mua Quả Conache -0 beri
[04:20:27 AM]  Mua Quả Conache -0 beri
[04:20:27 AM]  Mua Quả Conache -0 beri
[04:20:27 AM]  Mua Quả Conache -0 beri
[04:20:27 AM]  Mua Quả Conache -0 beri
[04:20:27 AM]  Mua Quả Conache -0 beri
[04:20:27 AM]  Mua Quả Conache -0 beri
[04:20:28 AM]  Mua Quả Conache -0 beri
[04:20:28 AM]  Mua Quả Conache -0 beri
[04:20:30 AM]  Mua Kinh nghiệm X2 -60 ruby
[04:20:31 AM]  Mua Kinh nghiệm X2 -60 ruby
[04:20:31 AM]  Mua Kinh nghiệm X2 -60 ruby
[04:20:31 AM]  Mua Kinh nghiệm X2 -60 ruby
[04:20:31 AM]  Mua Kinh nghiệm X2 -60 ruby
[04:20:31 AM]  Mua Kinh nghiệm X2 -60 ruby
[04:20:31 AM]  Mua Kinh nghiệm X2 -60 ruby
[04:20:32 AM]  Mua Kinh nghiệm X2 -60 ruby
[04:20:32 AM]  Mua Kinh nghiệm X2 -60 ruby
[04:20:32 AM]  Mua Kinh nghiệm X2 -60 ruby
[04:20:32 AM]  Mua Kinh nghiệm X2 -60 ruby
[04:20:32 AM]  Mua Kinh nghiệm X2 -60 ruby
[04:20:33 AM]  Mua Kinh nghiệm X2 -60 ruby
[04:20:33 AM]  Mua Kinh nghiệm X2 -60 ruby
[04:20:43 AM]  Mua Xp Chiêu thức -6000 ruby
[04:20:43 AM]  Mua Xp Chiêu thức -6000 ruby
[04:20:43 AM]  Mua Xp Chiêu thức -6000 ruby
[04:20:44 AM]  Mua Xp Chiêu thức -6000 ruby
[04:20:44 AM]  Mua Xp Chiêu thức -6000 ruby
[04:20:44 AM]  Mua Xp Chiêu thức -6000 ruby
[04:20:44 AM]  Mua Xp Chiêu thức -6000 ruby
[04:20:44 AM]  Mua Xp Chiêu thức -6000 ruby
[04:20:44 AM]  Mua Xp Chiêu thức -6000 ruby
[04:20:45 AM]  Mua Xp Chiêu thức -6000 ruby
[04:20:45 AM]  Mua Xp Chiêu thức -6000 ruby
[04:20:45 AM]  Mua Xp Chiêu thức -6000 ruby
[04:20:45 AM]  Mua Xp Chiêu thức -6000 ruby
[04:20:45 AM]  Mua Xp Chiêu thức -6000 ruby
[04:22:54 AM]  Nhặt +72 beri
[04:23:02 AM]  Nhặt +464 beri
