[01:19:40 AM]  Login : [Beri] 2.000.000.000 [Ruby] 1.005.000.000
[01:23:43 AM]  Mua Trang phục Franky -500 ruby
[01:29:47 AM]  Logout : [Beri] 2.000.000.000 [Ruby] 1.004.999.500
[01:29:53 AM]  Login : [Beri] 2.000.000.000 [Ruby] 1.004.999.500
[01:31:36 AM]  Mua 31999 vé vòng quay -479985 ruby
[01:48:44 AM]  Bán item +1 beri
[01:48:44 AM]  Bán item +1 beri
[01:48:45 AM]  Bán item +1 beri
[01:48:46 AM]  Bán item +1 beri
[01:48:46 AM]  Bán item +1 beri
[01:48:47 AM]  Bán item +1 beri
[01:48:47 AM]  Bán item +1 beri
[01:48:48 AM]  Bán item +1 beri
[01:48:49 AM]  Bán item +1 beri
[01:48:51 AM]  Bán item +1 beri
[02:28:47 AM]  Mua 21999 vé vòng quay -329985 ruby
[03:07:08 AM]  Mua 30000 vé vòng quay -450000 ruby
[04:00:54 AM]  Giao dịch bery với dragon nhận +0 beri
[04:25:13 AM]  Logout : [Beri] 2.000.000.000 [Ruby] 1.003.739.530
[05:20:09 AM]  Login : [Beri] 2.000.000.000 [Ruby] 1.003.739.530
[05:22:51 AM]  Bán item +45 beri
[05:22:52 AM]  Bán item +45 beri
[05:22:52 AM]  Bán item +45 beri
[05:22:53 AM]  Bán item +45 beri
[05:22:53 AM]  Bán item +45 beri
[05:22:53 AM]  Bán item +45 beri
[05:22:54 AM]  Bán item +45 beri
[05:22:55 AM]  Bán item +45 beri
[05:22:55 AM]  Bán item +45 beri
[05:22:56 AM]  Bán item +45 beri
[05:22:57 AM]  Bán item +45 beri
[05:22:58 AM]  Bán item +45 beri
[05:22:58 AM]  Bán item +45 beri
[05:22:59 AM]  Bán item +45 beri
[05:23:00 AM]  Bán item +45 beri
[05:23:01 AM]  Bán item +45 beri
[05:23:01 AM]  Bán item +45 beri
[05:23:02 AM]  Bán item +45 beri
[05:24:03 AM]  Bán item +45 beri
[05:24:04 AM]  Bán item +45 beri
[05:24:05 AM]  Bán item +45 beri
[05:24:05 AM]  Bán item +45 beri
[05:24:06 AM]  Bán item +45 beri
[05:24:07 AM]  Bán item +45 beri
[05:24:08 AM]  Bán item +45 beri
[05:38:23 AM]  Bán item +45 beri
[05:38:24 AM]  Bán item +45 beri
[05:38:25 AM]  Bán item +45 beri
[05:38:26 AM]  Bán item +45 beri
[05:38:28 AM]  Bán item +45 beri
[05:38:29 AM]  Bán item +45 beri
[05:38:29 AM]  Bán item +45 beri
[05:38:30 AM]  Bán item +45 beri
[05:38:31 AM]  Bán item +45 beri
[05:38:31 AM]  Bán item +45 beri
[05:38:31 AM]  Bán item +45 beri
[05:38:32 AM]  Bán item +45 beri
[05:38:33 AM]  Bán item +45 beri
[05:38:33 AM]  Bán item +45 beri
[05:38:34 AM]  Bán item +45 beri
[05:38:34 AM]  Bán item +45 beri
[05:38:34 AM]  Bán item +45 beri
[05:38:35 AM]  Bán item +45 beri
[05:38:35 AM]  Bán item +45 beri
[05:38:37 AM]  Bán item +45 beri
[05:38:39 AM]  Bán item +45 beri
[05:38:40 AM]  Bán item +45 beri
[05:38:41 AM]  Bán item +45 beri
[05:38:41 AM]  Bán item +45 beri
[05:38:42 AM]  Bán item +45 beri
[05:38:43 AM]  Bán item +45 beri
[05:38:44 AM]  Bán item +45 beri
[05:38:44 AM]  Bán item +45 beri
[05:38:45 AM]  Bán item +45 beri
[05:38:46 AM]  Bán item +45 beri
[05:38:47 AM]  Bán item +45 beri
[05:38:48 AM]  Bán item +45 beri
[05:38:49 AM]  Bán item +45 beri
[05:38:50 AM]  Bán item +45 beri
[05:38:51 AM]  Bán item +45 beri
[05:38:52 AM]  Bán item +45 beri
[05:38:53 AM]  Bán item +45 beri
[05:38:54 AM]  Bán item +45 beri
[05:38:54 AM]  Bán item +45 beri
[05:38:54 AM]  Bán item +45 beri
[05:38:55 AM]  Bán item +45 beri
[05:39:24 AM]  Logout : [Beri] 2.000.000.000 [Ruby] 1.003.739.530
[04:16:14 PM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[04:22:45 PM]  Logout : [Beri] 2.000.000.000 [Ruby] 500.000
