[12:00:00 AM]  Nhặt +11097 beri
[12:00:03 AM]  Nhặt +13608 beri
[12:00:26 AM]  Nhặt +5832 beri
[12:00:38 AM]  Nhặt +5589 beri
[12:00:39 AM]  Nhặt +5022 beri
[12:01:12 AM]  Nhặt +15633 beri
[12:01:21 AM]  Nhặt +11016 beri
[12:01:30 AM]  Nhặt +3807 beri
[12:01:38 AM]  Nhặt +486 beri
[12:01:54 AM]  Nhặt +5103 beri
[12:02:05 AM]  Nhặt +1701 beri
[12:02:13 AM]  Nhặt +9963 beri
[12:02:17 AM]  Nhặt +14661 beri
[12:02:41 AM]  Nhặt +8424 beri
[12:02:54 AM]  Nhặt +7614 beri
[12:02:57 AM]  Nhặt +5832 beri
[12:02:59 AM]  Nhặt +13446 beri
[12:03:02 AM]  Nhặt +13689 beri
[12:03:17 AM]  Nhặt +1134 beri
[12:03:49 AM]  Nhặt +3645 beri
[12:03:51 AM]  Nhặt +8586 beri
[12:03:53 AM]  Nhặt +6318 beri
[12:04:13 AM]  Nhặt +16119 beri
[12:04:14 AM]  Nhặt +11502 beri
[12:04:15 AM]  Nhặt +10449 beri
[12:04:33 AM]  Nhặt +15390 beri
[12:04:35 AM]  Nhặt +4455 beri
[12:04:38 AM]  Nhặt +7371 beri
[12:04:47 AM]  Nhặt +2430 beri
[12:04:55 AM]  Nhặt +1296 beri
[12:05:18 AM]  Nhặt +12717 beri
[12:05:23 AM]  Nhặt +7938 beri
[12:05:51 AM]  Nhặt +9234 beri
[12:05:52 AM]  Nhặt +243 beri
[12:05:59 AM]  Nhặt +1215 beri
[12:06:00 AM]  Nhặt +8910 beri
[12:06:03 AM]  Nhặt +2592 beri
[12:06:11 AM]  Nhặt +11016 beri
[12:06:15 AM]  Nhặt +7209 beri
[12:06:20 AM]  Nhặt +6399 beri
[12:06:26 AM]  Nhặt +5508 beri
[12:07:08 AM]  Nhặt +14985 beri
[12:07:11 AM]  Nhặt +10287 beri
[12:08:00 AM]  Nhặt +5184 beri
[12:08:03 AM]  Nhặt +11016 beri
[12:08:15 AM]  Nhặt +15633 beri
[12:08:21 AM]  Nhặt +15957 beri
[12:08:41 AM]  Nhặt +15633 beri
[12:08:46 AM]  Nhặt +14256 beri
[12:08:53 AM]  Nhặt +13851 beri
[12:08:56 AM]  Nhặt +14175 beri
[12:09:12 AM]  Nhặt +5832 beri
[12:09:18 AM]  Nhặt +2187 beri
[12:09:21 AM]  Nhặt +4536 beri
[12:09:29 AM]  Nhặt +14337 beri
[12:09:39 AM]  Nhặt +12150 beri
[12:09:41 AM]  Nhặt +13527 beri
[12:09:46 AM]  Nhặt +14256 beri
[12:09:53 AM]  Nhặt +14742 beri
[12:09:56 AM]  Nhặt +10692 beri
[12:10:04 AM]  Nhặt +9639 beri
[12:10:11 AM]  Nhặt +15309 beri
[12:10:39 AM]  Nhặt +5589 beri
[12:10:43 AM]  Nhặt +11907 beri
[12:10:45 AM]  Nhặt +5832 beri
[12:11:02 AM]  Nhặt +4212 beri
[12:11:14 AM]  Nhặt +14823 beri
[12:11:29 AM]  Nhặt +13122 beri
[12:11:47 AM]  Nhặt +11664 beri
[12:11:53 AM]  Nhặt +11178 beri
[12:12:40 AM]  Nhặt +11745 beri
[12:13:01 AM]  Nhặt +7533 beri
[12:13:12 AM]  Logout : [Beri] 1.996.259.867 [Ruby] 1.004.857.886
[12:13:20 AM]  Login : [Beri] 1.996.259.867 [Ruby] 1.004.857.886
[12:13:29 AM]  Nhặt +12312 beri
[12:13:36 AM]  Nhặt +162 beri
[12:13:41 AM]  Nhặt +15876 beri
[12:13:56 AM]  Nhặt +13608 beri
[12:13:57 AM]  Nhặt +11745 beri
[12:14:10 AM]  Nhặt +13446 beri
[12:14:13 AM]  Nhặt +13527 beri
[12:14:14 AM]  Nhặt +15228 beri
[12:14:50 AM]  Nhặt +1053 beri
[12:14:52 AM]  Nhặt +11421 beri
[12:14:53 AM]  Nhặt +6804 beri
[12:14:57 AM]  Nhặt +9720 beri
[12:15:01 AM]  Nhặt +9720 beri
[12:15:20 AM]  Nhặt +14661 beri
[12:15:40 AM]  Nhặt +6642 beri
[12:15:47 AM]  Nhặt +5670 beri
[12:15:49 AM]  Nhặt +10935 beri
[12:15:51 AM]  Nhặt +12150 beri
[12:15:55 AM]  Nhặt +13203 beri
[12:16:05 AM]  Nhặt +5265 beri
[12:16:05 AM]  Nhặt +7290 beri
[12:16:21 AM]  Nhặt +4374 beri
[12:16:29 AM]  Nhặt +405 beri
[12:16:30 AM]  Nhặt +7938 beri
[12:16:32 AM]  Nhặt +8019 beri
[12:16:38 AM]  Nhặt +3645 beri
[12:16:51 AM]  Nhặt +486 beri
[12:17:02 AM]  Nhặt +9072 beri
[12:17:03 AM]  Nhặt +10044 beri
