[12:01:20 AM]  Nhặt +5828 beri
[12:01:23 AM]  Nhặt +3720 beri
[12:01:54 AM]  Nhặt +5332 beri
[12:02:55 AM]  Nhặt +1890 beri
[12:03:38 AM]  Nhặt +11656 beri
[12:04:17 AM]  Nhặt +4536 beri
[12:04:59 AM]  Nhặt +6111 beri
[12:06:14 AM]  Nhặt +7812 beri
[12:06:20 AM]  Nhặt +8618 beri
[12:06:34 AM]  Nhặt +3087 beri
[12:06:36 AM]  Nhặt +8631 beri
[12:06:53 AM]  Nhặt +6758 beri
[12:08:04 AM]  Nhặt +4650 beri
[12:08:09 AM]  Nhặt +2583 beri
[12:08:33 AM]  Nhặt +4464 beri
[12:11:04 AM]  Nhặt +10153 beri
[12:11:19 AM]  Nhặt +13064 beri
[12:11:31 AM]  Nhặt +5893 beri
[12:12:11 AM]  Nhặt +8733 beri
[12:12:29 AM]  Nhặt +12851 beri
[12:12:39 AM]  Nhặt +11644 beri
[12:13:17 AM]  Nhặt +4402 beri
[12:13:55 AM]  Nhặt +13490 beri
[12:14:01 AM]  Nhặt +12283 beri
[12:14:04 AM]  Logout : [Beri] 1.976.057.781 [Ruby] 1.004.841.440
[12:14:57 AM]  Login : [Beri] 1.976.057.781 [Ruby] 1.004.841.440
[12:14:57 AM]  Logout : [Beri] 1.976.057.781 [Ruby] 1.004.841.440
[04:47:39 AM]  Login : [Beri] 1.976.057.781 [Ruby] 1.004.841.440
[04:47:45 AM]  Logout : [Beri] 1.976.057.781 [Ruby] 1.004.841.440
[05:25:46 AM]  Login : [Beri] 1.976.057.781 [Ruby] 1.004.841.440
[05:25:50 AM]  Logout : [Beri] 1.976.057.781 [Ruby] 1.004.841.440
[05:26:05 AM]  Login : [Beri] 1.976.057.781 [Ruby] 1.004.841.440
[05:26:18 AM]  Logout : [Beri] 1.976.057.781 [Ruby] 1.004.841.440
[05:26:45 AM]  Login : [Beri] 1.976.057.781 [Ruby] 1.004.841.440
[05:26:47 AM]  Logout : [Beri] 1.976.057.781 [Ruby] 1.004.841.440
[06:40:02 AM]  Login : [Beri] 1.976.057.781 [Ruby] 1.004.841.440
[06:41:59 AM]  Logout : [Beri] 1.997.779.192 [Ruby] 1.004.841.440
[06:42:09 AM]  Login : [Beri] 1.997.779.192 [Ruby] 1.004.841.440
[06:42:09 AM]  Logout : [Beri] 1.997.779.192 [Ruby] 1.004.841.440
[06:42:31 AM]  Login : [Beri] 1.997.779.192 [Ruby] 1.004.841.440
[06:44:54 AM]  Mua 20000 vé vòng quay -300000 ruby
[06:56:18 AM]  Login : [Beri] 1.999.958.355 [Ruby] 1.004.541.440
[06:56:21 AM]  Logout : [Beri] 1.999.958.355 [Ruby] 1.004.541.440
[06:56:45 AM]  Login : [Beri] 1.999.958.355 [Ruby] 1.004.541.440
[07:01:45 AM]  Logout : [Beri] 1.999.958.355 [Ruby] 1.004.541.440
[07:02:05 AM]  Login : [Beri] 1.999.958.355 [Ruby] 1.004.541.440
[07:04:52 AM]  Logout : [Beri] 1.999.958.355 [Ruby] 1.004.541.440
[07:05:06 AM]  Login : [Beri] 1.999.958.355 [Ruby] 1.004.541.440
[07:06:05 AM]  Logout : [Beri] 1.999.958.355 [Ruby] 1.004.541.440
[07:06:24 AM]  Login : [Beri] 1.999.958.355 [Ruby] 1.004.541.440
[07:07:03 AM]  Logout : [Beri] 1.999.958.355 [Ruby] 1.004.541.440
[07:07:35 AM]  Login : [Beri] 1.999.958.355 [Ruby] 1.004.541.440
[07:07:36 AM]  Logout : [Beri] 1.999.958.355 [Ruby] 1.004.541.440
[07:08:04 AM]  Login : [Beri] 1.999.958.355 [Ruby] 1.004.541.440
[07:08:04 AM]  Logout : [Beri] 1.999.958.355 [Ruby] 1.004.541.440
[07:08:41 AM]  Login : [Beri] 1.999.958.355 [Ruby] 1.004.541.440
[07:08:53 AM]  Logout : [Beri] 1.999.958.355 [Ruby] 1.004.541.440
