[12:00:07 AM]  Nhặt +2268 beri
[12:00:10 AM]  Nhặt +14175 beri
[12:00:12 AM]  Nhặt +7533 beri
[12:02:12 AM]  Nhặt +6006 beri
[12:02:18 AM]  Nhặt +15925 beri
[12:02:29 AM]  Nhặt +2821 beri
[12:02:50 AM]  Nhặt +10192 beri
[12:03:00 AM]  Nhặt +14833 beri
[12:03:15 AM]  Nhặt +11193 beri
[12:03:21 AM]  Nhặt +9919 beri
[12:04:11 AM]  Nhặt +15379 beri
[12:04:12 AM]  Logout : [Beri] 1.993.571.510 [Ruby] 903.900.685
[12:23:01 AM]  Login : [Beri] 1.993.571.510 [Ruby] 903.900.685
[12:23:05 AM]  Nhặt +2639 beri
[12:23:08 AM]  Logout : [Beri] 1.993.574.149 [Ruby] 903.900.685
[12:30:52 AM]  Login : [Beri] 1.993.574.149 [Ruby] 903.900.685
[12:30:58 AM]  Nhặt +15652 beri
[12:31:09 AM]  Nhặt +5642 beri
[12:31:29 AM]  Nhặt +2184 beri
[12:31:49 AM]  Nhặt +11193 beri
[12:31:53 AM]  Nhặt +11830 beri
[12:32:06 AM]  Nhặt +10101 beri
[12:32:16 AM]  Nhặt +910 beri
[12:32:18 AM]  Nhặt +7371 beri
[12:32:23 AM]  Nhặt +14833 beri
[12:32:27 AM]  Nhặt +7189 beri
[12:32:32 AM]  Nhặt +3276 beri
[12:32:42 AM]  Nhặt +3003 beri
[12:32:48 AM]  Nhặt +5187 beri
[12:33:12 AM]  Nhặt +12740 beri
[12:33:26 AM]  Nhặt +12467 beri
[12:33:43 AM]  Nhặt +12558 beri
[12:34:34 AM]  Nhặt +11193 beri
[12:34:40 AM]  Nhặt +8008 beri
[12:34:48 AM]  Nhặt +16835 beri
[12:35:06 AM]  Nhặt +4914 beri
[12:35:14 AM]  Nhặt +2548 beri
[12:35:16 AM]  Nhặt +13468 beri
[12:35:25 AM]  Nhặt +10738 beri
[12:35:46 AM]  Nhặt +9919 beri
[12:35:48 AM]  Nhặt +8736 beri
[12:36:00 AM]  Nhặt +14560 beri
[12:36:05 AM]  Nhặt +15379 beri
[12:36:07 AM]  Nhặt +16198 beri
[12:36:11 AM]  Nhặt +10101 beri
[12:36:20 AM]  Nhặt +5187 beri
[12:36:32 AM]  Nhặt +12194 beri
[12:36:34 AM]  Nhặt +17836 beri
[12:36:39 AM]  Nhặt +11375 beri
[12:36:52 AM]  Nhặt +12649 beri
[12:36:57 AM]  Nhặt +9464 beri
[12:37:13 AM]  Nhặt +9828 beri
[12:37:37 AM]  Nhặt +3913 beri
[12:37:40 AM]  Nhặt +9919 beri
[12:37:44 AM]  Nhặt +2093 beri
[12:37:48 AM]  Nhặt +91 beri
[12:37:55 AM]  Nhặt +11921 beri
[12:37:56 AM]  Nhặt +4550 beri
[12:38:13 AM]  Nhặt +18018 beri
[12:38:14 AM]  Nhặt +17472 beri
[12:38:17 AM]  Nhặt +10465 beri
[12:38:23 AM]  Nhặt +18018 beri
[12:38:35 AM]  Nhặt +11102 beri
[12:38:45 AM]  Nhặt +8008 beri
[12:38:47 AM]  Nhặt +11284 beri
[12:38:58 AM]  Nhặt +4368 beri
[12:39:00 AM]  Nhặt +1820 beri
[12:39:25 AM]  Nhặt +11284 beri
[12:39:34 AM]  Nhặt +14014 beri
[12:39:58 AM]  Nhặt +13741 beri
[12:40:02 AM]  Nhặt +4095 beri
[12:40:07 AM]  Nhặt +2184 beri
[12:40:14 AM]  Nhặt +12649 beri
[12:40:20 AM]  Nhặt +6916 beri
[12:40:27 AM]  Nhặt +11375 beri
[12:40:30 AM]  Nhặt +12558 beri
[12:40:32 AM]  Nhặt +10010 beri
[12:40:35 AM]  Nhặt +12285 beri
[12:40:57 AM]  Nhặt +2275 beri
[12:41:06 AM]  Nhặt +13650 beri
[12:41:10 AM]  Nhặt +14651 beri
[12:41:31 AM]  Nhặt +14651 beri
[12:41:34 AM]  Nhặt +17199 beri
[12:41:53 AM]  Nhặt +8008 beri
[12:42:27 AM]  Nhặt +12740 beri
[12:42:31 AM]  Nhặt +1183 beri
[12:42:36 AM]  Nhặt +3185 beri
[12:42:46 AM]  Nhặt +819 beri
[12:42:48 AM]  Nhặt +13559 beri
[12:43:00 AM]  Nhặt +14287 beri
[12:43:05 AM]  Nhặt +6552 beri
[12:43:17 AM]  Nhặt +7735 beri
[12:43:18 AM]  Nhặt +9919 beri
[12:43:25 AM]  Nhặt +17017 beri
[12:43:26 AM]  Nhặt +13104 beri
[12:44:15 AM]  Nhặt +17108 beri
[12:44:34 AM]  Nhặt +11375 beri
[12:44:36 AM]  Nhặt +16198 beri
[12:44:42 AM]  Nhặt +4550 beri
[12:44:47 AM]  Nhặt +546 beri
[12:44:56 AM]  Nhặt +11921 beri
[12:44:59 AM]  Nhặt +6097 beri
[12:45:07 AM]  Nhặt +13377 beri
[12:45:20 AM]  Nhặt +3913 beri
[12:45:30 AM]  Nhặt +11011 beri
[12:45:38 AM]  Nhặt +17836 beri
[12:46:09 AM]  Nhặt +13559 beri
[12:46:11 AM]  Nhặt +17563 beri
[12:46:29 AM]  Nhặt +12012 beri
[12:46:31 AM]  Nhặt +14560 beri
[12:46:34 AM]  Nhặt +10647 beri
[12:46:42 AM]  Nhặt +16198 beri
[12:46:44 AM]  Nhặt +11557 beri
[12:46:54 AM]  Nhặt +3367 beri
[12:47:01 AM]  Nhặt +2730 beri
[12:47:28 AM]  Nhặt +17745 beri
[12:47:32 AM]  Nhặt +10556 beri
[12:47:43 AM]  Nhặt +728 beri
[12:48:26 AM]  Nhặt +2093 beri
[12:48:28 AM]  Nhặt +9373 beri
[12:48:36 AM]  Nhặt +3640 beri
[12:49:01 AM]  Nhặt +4277 beri
[12:49:08 AM]  Nhặt +7917 beri
[12:49:15 AM]  Nhặt +17381 beri
[12:49:28 AM]  Nhặt +546 beri
[12:49:53 AM]  Nhặt +12194 beri
[12:50:13 AM]  Nhặt +1183 beri
[12:50:28 AM]  Nhặt +15652 beri
[12:50:55 AM]  Nhặt +12831 beri
[12:50:57 AM]  Nhặt +17654 beri
[12:51:12 AM]  Nhặt +16835 beri
[12:51:16 AM]  Nhặt +14196 beri
[12:51:47 AM]  Nhặt +3094 beri
[12:51:48 AM]  Nhặt +14651 beri
[12:51:48 AM]  Logout : [Beri] 1.994.744.773 [Ruby] 903.900.685
[01:25:17 AM]  Login : [Beri] 1.994.744.773 [Ruby] 903.900.685
[01:25:20 AM]  Nhặt +273 beri
[01:25:37 AM]  Nhặt +9646 beri
[01:25:45 AM]  Nhặt +17654 beri
[01:26:17 AM]  Nhặt +10101 beri
[01:26:21 AM]  Nhặt +2730 beri
[01:26:26 AM]  Nhặt +17017 beri
[01:26:32 AM]  Nhặt +17199 beri
[01:26:37 AM]  Nhặt +2639 beri
[01:26:37 AM]  Nhặt +14651 beri
[01:26:47 AM]  Nhặt +11284 beri
[01:26:55 AM]  Nhặt +11102 beri
[01:27:11 AM]  Nhặt +10738 beri
[01:27:14 AM]  Nhặt +7917 beri
[01:27:31 AM]  Nhặt +10101 beri
[01:27:50 AM]  Nhặt +15925 beri
[01:27:59 AM]  Nhặt +12376 beri
[01:28:01 AM]  Nhặt +10556 beri
[01:28:23 AM]  Nhặt +3549 beri
[01:28:39 AM]  Nhặt +4550 beri
[01:28:44 AM]  Nhặt +18109 beri
[01:29:11 AM]  Nhặt +1547 beri
[01:29:14 AM]  Nhặt +17199 beri
[01:29:23 AM]  Nhặt +17017 beri
[01:29:24 AM]  Nhặt +4550 beri
[01:29:30 AM]  Nhặt +5460 beri
[01:29:31 AM]  Nhặt +4186 beri
[01:29:38 AM]  Nhặt +10829 beri
[01:29:42 AM]  Nhặt +9373 beri
[01:29:52 AM]  Nhặt +16926 beri
[01:29:56 AM]  Nhặt +15561 beri
[01:30:06 AM]  Nhặt +2912 beri
[01:30:08 AM]  Nhặt +5096 beri
[01:30:10 AM]  Nhặt +11284 beri
[01:30:20 AM]  Nhặt +9464 beri
[01:30:25 AM]  Nhặt +16653 beri
[01:30:27 AM]  Nhặt +1638 beri
[01:30:34 AM]  Nhặt +5278 beri
[01:30:39 AM]  Nhặt +4368 beri
[01:30:44 AM]  Nhặt +15470 beri
[01:30:59 AM]  Nhặt +16107 beri
[01:31:12 AM]  Nhặt +12831 beri
[01:31:21 AM]  Nhặt +10283 beri
[01:31:24 AM]  Nhặt +10283 beri
[01:31:26 AM]  Nhặt +2002 beri
[01:31:35 AM]  Nhặt +7098 beri
[01:31:36 AM]  Nhặt +5187 beri
[01:31:41 AM]  Nhặt +5369 beri
[01:32:42 AM]  Nhặt +5733 beri
[01:32:43 AM]  Nhặt +819 beri
[01:32:47 AM]  Nhặt +8827 beri
[01:32:54 AM]  Nhặt +6916 beri
[01:32:57 AM]  Nhặt +14560 beri
[01:33:09 AM]  Nhặt +3640 beri
[01:33:10 AM]  Nhặt +6461 beri
[01:33:14 AM]  Nhặt +16744 beri
[01:33:29 AM]  Nhặt +13832 beri
[01:34:02 AM]  Nhặt +1365 beri
[01:34:09 AM]  Nhặt +1456 beri
[01:34:17 AM]  Nhặt +1638 beri
[01:34:47 AM]  Nhặt +12376 beri
[01:34:52 AM]  Nhặt +13741 beri
[01:35:05 AM]  Logout : [Beri] 1.995.304.969 [Ruby] 903.900.685
[02:12:17 AM]  Login : [Beri] 1.995.304.969 [Ruby] 903.900.685
[02:12:31 AM]  Nhặt +15652 beri
[02:13:13 AM]  Nhặt +16016 beri
[02:13:20 AM]  Nhặt +17199 beri
[02:13:27 AM]  Nhặt +10556 beri
[02:13:37 AM]  Nhặt +6370 beri
[02:13:44 AM]  Nhặt +1547 beri
[02:13:59 AM]  Nhặt +3367 beri
[02:14:05 AM]  Nhặt +5460 beri
[02:14:07 AM]  Nhặt +12285 beri
[02:14:09 AM]  Nhặt +5551 beri
[02:14:22 AM]  Nhặt +8918 beri
[02:14:25 AM]  Nhặt +13013 beri
[02:14:36 AM]  Nhặt +7098 beri
[02:14:39 AM]  Nhặt +8918 beri
[02:14:45 AM]  Nhặt +12740 beri
[02:14:57 AM]  Nhặt +16198 beri
[02:15:03 AM]  Nhặt +8736 beri
[02:15:10 AM]  Nhặt +1274 beri
[02:15:16 AM]  Nhặt +1365 beri
[02:15:20 AM]  Nhặt +15379 beri
[02:15:21 AM]  Nhặt +5733 beri
[02:15:35 AM]  Nhặt +10920 beri
[02:15:38 AM]  Nhặt +17563 beri
[02:15:46 AM]  Nhặt +8190 beri
[02:15:51 AM]  Nhặt +6006 beri
[02:15:57 AM]  Nhặt +9555 beri
[02:16:14 AM]  Nhặt +13559 beri
[02:16:21 AM]  Nhặt +13741 beri
[02:16:40 AM]  Nhặt +17472 beri
[02:16:41 AM]  Nhặt +91 beri
[02:16:48 AM]  Nhặt +16198 beri
[02:17:04 AM]  Nhặt +5824 beri
[02:17:15 AM]  Nhặt +5005 beri
[02:17:25 AM]  Nhặt +3276 beri
[02:17:34 AM]  Nhặt +455 beri
[02:17:43 AM]  Nhặt +17927 beri
[02:17:57 AM]  Nhặt +3822 beri
[02:18:05 AM]  Nhặt +5642 beri
[02:18:12 AM]  Nhặt +15015 beri
[02:18:17 AM]  Nhặt +16835 beri
[02:18:22 AM]  Nhặt +18018 beri
[02:18:36 AM]  Nhặt +13104 beri
[02:18:37 AM]  Nhặt +3549 beri
[02:18:40 AM]  Nhặt +13104 beri
[02:18:44 AM]  Nhặt +16835 beri
[02:18:45 AM]  Nhặt +15561 beri
[02:18:50 AM]  Nhặt +6916 beri
[02:19:07 AM]  Logout : [Beri] 1.995.772.527 [Ruby] 903.900.685
[02:19:33 AM]  Login : [Beri] 1.995.772.527 [Ruby] 903.900.685
[02:19:35 AM]  Nhặt +11193 beri
[02:19:58 AM]  Nhặt +14378 beri
[02:20:06 AM]  Nhặt +2912 beri
[02:20:15 AM]  Nhặt +16107 beri
[02:20:35 AM]  Nhặt +7735 beri
[02:20:53 AM]  Nhặt +7189 beri
[02:20:56 AM]  Nhặt +16835 beri
[02:20:58 AM]  Nhặt +17290 beri
[02:21:00 AM]  Nhặt +12740 beri
[02:21:02 AM]  Nhặt +3367 beri
[02:21:02 AM]  Nhặt +4095 beri
[02:21:06 AM]  Nhặt +2730 beri
[02:21:11 AM]  Nhặt +14560 beri
[02:21:14 AM]  Nhặt +16289 beri
[02:21:39 AM]  Nhặt +8554 beri
[02:21:45 AM]  Nhặt +13013 beri
[02:21:52 AM]  Nhặt +2730 beri
[02:21:54 AM]  Nhặt +6006 beri
[02:22:01 AM]  Nhặt +15925 beri
[02:22:35 AM]  Nhặt +2002 beri
[02:22:49 AM]  Nhặt +9282 beri
[02:22:52 AM]  Nhặt +6643 beri
[02:22:59 AM]  Nhặt +6006 beri
[02:23:15 AM]  Nhặt +9828 beri
[02:23:30 AM]  Nhặt +17472 beri
[02:23:35 AM]  Nhặt +8736 beri
[02:23:39 AM]  Nhặt +18109 beri
[02:23:45 AM]  Nhặt +17654 beri
[02:23:56 AM]  Nhặt +14105 beri
[02:24:03 AM]  Nhặt +10192 beri
[02:24:06 AM]  Nhặt +18018 beri
[02:24:17 AM]  Nhặt +273 beri
[02:24:32 AM]  Nhặt +8190 beri
[02:24:35 AM]  Nhặt +5642 beri
[02:24:51 AM]  Nhặt +8190 beri
[02:24:52 AM]  Nhặt +10738 beri
[02:24:55 AM]  Nhặt +1365 beri
[02:25:07 AM]  Nhặt +9100 beri
[02:25:15 AM]  Nhặt +16562 beri
[02:25:27 AM]  Nhặt +17927 beri
[02:25:32 AM]  Nhặt +11102 beri
[02:25:38 AM]  Nhặt +11557 beri
[02:25:40 AM]  Nhặt +12558 beri
[02:25:42 AM]  Nhặt +13286 beri
[02:25:54 AM]  Nhặt +12467 beri
[02:26:15 AM]  Nhặt +11921 beri
