[12:17:11 AM]  Login : [Beri] 1.994.563.763 [Ruby] 1.004.518.000
[12:17:33 AM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Đá ác quỷ x20000, 
[12:18:21 AM]  Mua Bột cường hóa -20 ruby
[12:18:21 AM]  Mua Bột cường hóa -20 ruby
[12:18:22 AM]  Mua Bột cường hóa -20 ruby
[12:18:22 AM]  Mua Bột cường hóa -20 ruby
[12:18:22 AM]  Mua Bột cường hóa -20 ruby
[12:18:22 AM]  Mua Bột cường hóa -20 ruby
[12:18:22 AM]  Mua Bột cường hóa -20 ruby
[12:18:22 AM]  Mua Bột cường hóa -20 ruby
[12:18:22 AM]  Mua Bột cường hóa -20 ruby
[12:18:22 AM]  Mua Bột cường hóa -20 ruby
[12:18:22 AM]  Mua Bột cường hóa -20 ruby
[12:18:23 AM]  Mua Bột cường hóa -20 ruby
[12:18:23 AM]  Mua Bột cường hóa -20 ruby
[12:18:23 AM]  Mua Bột cường hóa -20 ruby
[12:18:23 AM]  Mua Bột cường hóa -20 ruby
[12:18:23 AM]  Mua Bột cường hóa -20 ruby
[12:18:23 AM]  Mua Bột cường hóa -20 ruby
[12:18:23 AM]  Mua Bột cường hóa -20 ruby
[12:18:23 AM]  Mua Bột cường hóa -20 ruby
[12:18:23 AM]  Mua Bột cường hóa -20 ruby
[12:18:24 AM]  Mua Bột cường hóa -20 ruby
[12:18:24 AM]  Mua Bột cường hóa -20 ruby
[12:18:24 AM]  Mua Bột cường hóa -20 ruby
[12:18:24 AM]  Mua Bột cường hóa -20 ruby
[12:18:24 AM]  Mua Bột cường hóa -20 ruby
[12:18:24 AM]  Mua Bột cường hóa -20 ruby
[12:18:24 AM]  Mua Bột cường hóa -20 ruby
[12:18:24 AM]  Mua Bột cường hóa -20 ruby
[12:18:25 AM]  Mua Bột cường hóa -20 ruby
[12:18:25 AM]  Mua Bột cường hóa -20 ruby
[12:18:25 AM]  Mua Bột cường hóa -20 ruby
[12:18:25 AM]  Mua Bột cường hóa -20 ruby
[12:18:25 AM]  Mua Bột cường hóa -20 ruby
[12:18:25 AM]  Mua Bột cường hóa -20 ruby
[12:18:25 AM]  Mua Bột cường hóa -20 ruby
[12:18:25 AM]  Mua Bột cường hóa -20 ruby
[12:18:25 AM]  Mua Bột cường hóa -20 ruby
[12:18:26 AM]  Mua Bột cường hóa -20 ruby
[12:18:26 AM]  Mua Bột cường hóa -20 ruby
[12:18:26 AM]  Mua Bột cường hóa -20 ruby
[12:18:26 AM]  Mua Bột cường hóa -20 ruby
[12:18:26 AM]  Mua Bột cường hóa -20 ruby
[12:18:26 AM]  Mua Bột cường hóa -20 ruby
[12:18:26 AM]  Mua Bột cường hóa -20 ruby
[12:18:26 AM]  Mua Bột cường hóa -20 ruby
[12:18:26 AM]  Mua Bột cường hóa -20 ruby
[12:18:27 AM]  Mua Bột cường hóa -20 ruby
[12:18:27 AM]  Mua Bột cường hóa -20 ruby
[12:18:27 AM]  Mua Bột cường hóa -20 ruby
[12:18:27 AM]  Mua Bột cường hóa -20 ruby
[12:18:27 AM]  Mua Bột cường hóa -20 ruby
[12:18:27 AM]  Mua Bột cường hóa -20 ruby
[12:18:27 AM]  Mua Bột cường hóa -20 ruby
[12:18:27 AM]  Mua Bột cường hóa -20 ruby
[12:18:28 AM]  Mua Bột cường hóa -20 ruby
[12:18:28 AM]  Mua Bột cường hóa -20 ruby
[12:18:28 AM]  Mua Bột cường hóa -20 ruby
[12:18:28 AM]  Mua Bột cường hóa -20 ruby
