[05:09:57 AM]  Login : [Beri] 2.000.000.000 [Ruby] 5.000.000
[05:11:10 AM]  Mua aokiji -500 ruby
[05:11:16 AM]  Mua gold roger -500 ruby
[05:11:34 AM]  Mua Tóc mốc lai -500 ruby
[05:11:38 AM]  Mua Tóc băng -500 ruby
[05:11:55 AM]  Mua Killer -500 ruby
[05:18:16 AM]  Mua Kinh nghiệm X2 -15 ruby
[05:18:16 AM]  Mua Kinh nghiệm X2 -15 ruby
[05:18:19 AM]  Mua Xp Chiêu thức -1500 ruby
[05:18:19 AM]  Mua Xp Chiêu thức -1500 ruby
[05:23:55 AM]  Mua 1000 vé vòng quay -15000 ruby
[05:28:19 AM]  Logout : [Beri] 2.000.000.000 [Ruby] 4.979.470
[05:28:35 AM]  Login : [Beri] 2.000.000.000 [Ruby] 4.979.470
[05:30:55 AM]  Mua Bột cường hóa -20 ruby
[05:30:55 AM]  Mua Bột cường hóa -20 ruby
[05:30:55 AM]  Mua Bột cường hóa -20 ruby
[05:30:55 AM]  Mua Bột cường hóa -20 ruby
[05:30:55 AM]  Mua Bột cường hóa -20 ruby
[05:30:55 AM]  Mua Bột cường hóa -20 ruby
[05:30:55 AM]  Mua Bột cường hóa -20 ruby
[05:30:56 AM]  Mua Bột cường hóa -20 ruby
[05:30:56 AM]  Mua Bột cường hóa -20 ruby
[05:30:56 AM]  Mua Bột cường hóa -20 ruby
[05:30:56 AM]  Mua Bột cường hóa -20 ruby
[05:30:56 AM]  Mua Bột cường hóa -20 ruby
[05:30:56 AM]  Mua Bột cường hóa -20 ruby
[05:30:57 AM]  Mua Bột cường hóa -20 ruby
[05:30:57 AM]  Mua Bột cường hóa -20 ruby
[05:30:57 AM]  Mua Bột cường hóa -20 ruby
[05:30:57 AM]  Mua Bột cường hóa -20 ruby
[05:30:57 AM]  Mua Bột cường hóa -20 ruby
[05:30:57 AM]  Mua Bột cường hóa -20 ruby
[05:30:57 AM]  Mua Bột cường hóa -20 ruby
[05:30:58 AM]  Mua Bột cường hóa -20 ruby
[05:30:58 AM]  Mua Bột cường hóa -20 ruby
[05:30:58 AM]  Mua Bột cường hóa -20 ruby
[05:30:58 AM]  Mua Bột cường hóa -20 ruby
[05:30:58 AM]  Mua Bột cường hóa -20 ruby
[05:30:58 AM]  Mua Bột cường hóa -20 ruby
[05:30:59 AM]  Mua Bột cường hóa -20 ruby
[05:30:59 AM]  Mua Bột cường hóa -20 ruby
[05:30:59 AM]  Mua Bột cường hóa -20 ruby
[05:30:59 AM]  Mua Bột cường hóa -20 ruby
[05:30:59 AM]  Mua Bột cường hóa -20 ruby
[05:30:59 AM]  Mua Bột cường hóa -20 ruby
[05:30:59 AM]  Mua Bột cường hóa -20 ruby
[05:31:00 AM]  Mua Bột cường hóa -20 ruby
[05:31:00 AM]  Mua Bột cường hóa -20 ruby
[05:31:00 AM]  Mua Bột cường hóa -20 ruby
[05:31:00 AM]  Mua Bột cường hóa -20 ruby
[05:31:00 AM]  Mua Bột cường hóa -20 ruby
[05:31:00 AM]  Mua Bột cường hóa -20 ruby
[05:31:01 AM]  Mua Bột cường hóa -20 ruby
[05:31:01 AM]  Mua Bột cường hóa -20 ruby
[05:31:01 AM]  Mua Bột cường hóa -20 ruby
[05:31:03 AM]  Mua Bột vàng -40 ruby
[05:31:03 AM]  Mua Bột vàng -40 ruby
[05:31:03 AM]  Mua Bột vàng -40 ruby
[05:31:04 AM]  Mua Bột vàng -40 ruby
[05:31:04 AM]  Mua Bột vàng -40 ruby
[05:31:04 AM]  Mua Bột vàng -40 ruby
[05:31:04 AM]  Mua Bột vàng -40 ruby
[05:31:05 AM]  Mua Bột vàng -40 ruby
[05:31:05 AM]  Mua Bột vàng -40 ruby
[05:31:05 AM]  Mua Bột vàng -40 ruby
[05:31:05 AM]  Mua Bột vàng -40 ruby
[05:31:05 AM]  Mua Bột vàng -40 ruby
[05:31:05 AM]  Mua Bột vàng -40 ruby
[05:31:05 AM]  Mua Bột vàng -40 ruby
[05:31:06 AM]  Mua Bột vàng -40 ruby
[05:31:06 AM]  Mua Bột vàng -40 ruby
[05:31:06 AM]  Mua Bột vàng -40 ruby
[05:31:06 AM]  Mua Bột vàng -40 ruby
[05:31:07 AM]  Mua Bột vàng -40 ruby
[05:31:07 AM]  Mua Bột vàng -40 ruby
[05:31:07 AM]  Mua Bột vàng -40 ruby
[05:31:07 AM]  Mua Bột vàng -40 ruby
[05:31:08 AM]  Mua Bột vàng -40 ruby
[05:31:08 AM]  Mua Bột vàng -40 ruby
[05:31:08 AM]  Mua Bột vàng -40 ruby
[05:31:08 AM]  Mua Bột vàng -40 ruby
[05:31:08 AM]  Mua Bột vàng -40 ruby
[05:31:08 AM]  Mua Bột vàng -40 ruby
[05:31:09 AM]  Mua Bột vàng -40 ruby
[05:31:09 AM]  Mua Bột vàng -40 ruby
[05:31:12 AM]  Mua Mai rùa -140 ruby
[05:31:12 AM]  Mua Mai rùa -140 ruby
[05:31:12 AM]  Mua Mai rùa -140 ruby
[05:31:12 AM]  Mua Mai rùa -140 ruby
[05:31:12 AM]  Mua Mai rùa -140 ruby
[05:31:12 AM]  Mua Mai rùa -140 ruby
[05:31:13 AM]  Mua Mai rùa -140 ruby
[05:31:13 AM]  Mua Mai rùa -140 ruby
[05:31:13 AM]  Mua Mai rùa -140 ruby
[05:31:13 AM]  Mua Mai rùa -140 ruby
[05:31:13 AM]  Mua Mai rùa -140 ruby
[05:31:16 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:16 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:16 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:16 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:16 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:17 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:17 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:17 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:17 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:17 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:17 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:17 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:18 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:18 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:18 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:18 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:19 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:19 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:19 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:19 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:19 AM]  Mua Ngôi sao may mắn -100 ruby
[05:31:33 AM]  Cường hóa item Xẻng thép tinh luyện 2 -3000 beri
[05:31:34 AM]  Cường hóa item Xẻng thép tinh luyện 2 -3000 beri
[05:31:35 AM]  Cường hóa item Xẻng thép tinh luyện 2 -3000 beri
[05:31:36 AM]  Cường hóa item Xẻng thép tinh luyện 2 -4000 beri
