[03:25:18 AM]  Nhặt +7980 beri
[03:25:23 AM]  Nhặt +6650 beri
[03:25:40 AM]  Nhặt +2660 beri
[03:25:46 AM]  Nhặt +7700 beri
[03:25:52 AM]  Nhặt +5390 beri
[03:25:59 AM]  Nhặt +12600 beri
[03:26:14 AM]  Nhặt +4480 beri
[03:26:16 AM]  Nhặt +11060 beri
[03:26:22 AM]  Nhặt +2170 beri
[03:26:24 AM]  Nhặt +4340 beri
[03:26:25 AM]  Nhặt +11480 beri
[03:26:27 AM]  Nhặt +7280 beri
[03:27:04 AM]  Nhặt +12717 beri
[03:27:07 AM]  Nhặt +10044 beri
[03:27:14 AM]  Nhặt +8343 beri
[03:27:16 AM]  Nhặt +14580 beri
[03:27:20 AM]  Nhặt +8829 beri
[03:27:21 AM]  Nhặt +5184 beri
[03:27:24 AM]  Nhặt +11340 beri
[03:27:38 AM]  Logout : [Beri] 2.000.263.727 [Ruby] 943.656.580
[05:02:25 AM]  Login : [Beri] 2.000.263.727 [Ruby] 943.656.580
[05:02:37 AM]  Nhặt +9072 beri
[05:02:39 AM]  Nhặt +3726 beri
[05:02:42 AM]  Nhặt +13770 beri
[05:02:43 AM]  Nhặt +81 beri
[05:02:45 AM]  Nhặt +9396 beri
[05:02:59 AM]  Nhặt +3402 beri
[05:03:07 AM]  Nhặt +1782 beri
[05:03:17 AM]  Nhặt +405 beri
[05:03:28 AM]  Nhặt +12960 beri
[05:03:36 AM]  Nhặt +14742 beri
[05:03:41 AM]  Nhặt +6885 beri
[05:03:45 AM]  Nhặt +13689 beri
[05:03:47 AM]  Nhặt +11016 beri
[05:03:55 AM]  Nhặt +6075 beri
[05:04:06 AM]  Nhặt +9720 beri
[05:04:09 AM]  Nhặt +15552 beri
[05:04:17 AM]  Nhặt +11502 beri
[05:04:19 AM]  Nhặt +7452 beri
[05:04:26 AM]  Nhặt +5184 beri
[05:04:27 AM]  Nhặt +14661 beri
[05:04:44 AM]  Nhặt +7371 beri
[05:04:46 AM]  Nhặt +12960 beri
[05:04:57 AM]  Nhặt +10125 beri
[05:05:04 AM]  Nhặt +7128 beri
[05:05:08 AM]  Nhặt +9963 beri
[05:05:13 AM]  Nhặt +324 beri
[05:05:16 AM]  Nhặt +13203 beri
[05:05:19 AM]  Nhặt +13608 beri
[05:05:45 AM]  Nhặt +8343 beri
[05:05:49 AM]  Nhặt +405 beri
[05:05:56 AM]  Nhặt +1053 beri
[05:05:59 AM]  Nhặt +15714 beri
[05:06:15 AM]  Nhặt +3564 beri
[05:06:20 AM]  Nhặt +11340 beri
[05:06:22 AM]  Nhặt +1377 beri
[05:06:25 AM]  Nhặt +7938 beri
[05:06:33 AM]  Nhặt +6318 beri
[05:06:48 AM]  Nhặt +8991 beri
[05:06:49 AM]  Nhặt +4050 beri
[05:06:57 AM]  Nhặt +1296 beri
[05:07:08 AM]  Nhặt +14823 beri
[05:07:22 AM]  Nhặt +12555 beri
[05:07:26 AM]  Nhặt +14418 beri
[05:07:31 AM]  Nhặt +12150 beri
[05:07:39 AM]  Nhặt +14661 beri
[05:07:39 AM]  Nhặt +15714 beri
[05:07:42 AM]  Nhặt +648 beri
[05:07:56 AM]  Nhặt +4050 beri
[05:08:09 AM]  Nhặt +6561 beri
[05:08:11 AM]  Nhặt +14904 beri
[05:08:21 AM]  Nhặt +5022 beri
[05:08:32 AM]  Nhặt +5589 beri
[05:08:36 AM]  Nhặt +9720 beri
[05:08:41 AM]  Nhặt +1782 beri
[05:08:45 AM]  Nhặt +7776 beri
[05:08:50 AM]  Nhặt +8505 beri
[05:08:53 AM]  Nhặt +7533 beri
[05:08:59 AM]  Nhặt +5751 beri
[05:09:02 AM]  Nhặt +729 beri
[05:09:14 AM]  Nhặt +16038 beri
[05:09:23 AM]  Nhặt +12312 beri
[05:09:30 AM]  Nhặt +10611 beri
[05:09:32 AM]  Nhặt +10206 beri
[05:09:33 AM]  Nhặt +14823 beri
[05:09:35 AM]  Nhặt +15876 beri
[05:09:45 AM]  Nhặt +12717 beri
[05:09:48 AM]  Nhặt +5184 beri
[05:09:52 AM]  Nhặt +12879 beri
[05:09:55 AM]  Nhặt +2835 beri
[05:09:56 AM]  Nhặt +6480 beri
[05:09:59 AM]  Nhặt +14661 beri
[05:10:09 AM]  Nhặt +9801 beri
[05:10:14 AM]  Nhặt +6156 beri
[05:10:28 AM]  Nhặt +9720 beri
[05:10:49 AM]  Nhặt +12960 beri
[05:10:59 AM]  Nhặt +12312 beri
[05:11:11 AM]  Nhặt +8667 beri
[05:11:15 AM]  Nhặt +4536 beri
[05:11:16 AM]  Nhặt +8748 beri
[05:11:20 AM]  Nhặt +13041 beri
[05:11:22 AM]  Nhặt +10773 beri
[05:11:41 AM]  Nhặt +2592 beri
[05:11:42 AM]  Nhặt +10044 beri
[05:11:48 AM]  Nhặt +14175 beri
[05:11:55 AM]  Nhặt +7857 beri
[05:11:58 AM]  Nhặt +2106 beri
[05:12:01 AM]  Nhặt +11421 beri
[05:12:08 AM]  Nhặt +162 beri
[05:12:11 AM]  Nhặt +11583 beri
[05:12:16 AM]  Nhặt +4455 beri
[05:12:30 AM]  Nhặt +1782 beri
[05:12:38 AM]  Nhặt +8910 beri
[05:13:08 AM]  Nhặt +11016 beri
[05:13:20 AM]  Nhặt +7371 beri
[05:13:24 AM]  Nhặt +9963 beri
[05:13:29 AM]  Nhặt +13932 beri
[05:13:57 AM]  Nhặt +5184 beri
[05:14:06 AM]  Nhặt +12960 beri
[05:14:26 AM]  Logout : [Beri] 2.001.109.610 [Ruby] 943.656.580
[05:26:37 AM]  Login : [Beri] 2.001.109.610 [Ruby] 943.656.580
[05:27:39 AM]  Nhặt +10010 beri
[05:27:45 AM]  Nhặt +14014 beri
[05:27:47 AM]  Nhặt +4914 beri
[05:27:48 AM]  Nhặt +8827 beri
[05:27:53 AM]  Nhặt +4004 beri
[05:28:03 AM]  Nhặt +1547 beri
[05:28:06 AM]  Nhặt +7826 beri
[05:28:16 AM]  Nhặt +637 beri
[05:28:18 AM]  Nhặt +11648 beri
[05:28:32 AM]  Nhặt +3094 beri
[05:28:53 AM]  Nhặt +364 beri
[05:28:57 AM]  Nhặt +8372 beri
[05:28:59 AM]  Nhặt +6825 beri
[05:29:02 AM]  Nhặt +13923 beri
[05:29:11 AM]  Nhặt +9737 beri
[05:29:16 AM]  Nhặt +18018 beri
[05:29:42 AM]  Nhặt +4914 beri
[05:29:50 AM]  Nhặt +7826 beri
[05:30:02 AM]  Nhặt +16289 beri
[05:30:08 AM]  Nhặt +14378 beri
[05:30:14 AM]  Nhặt +16380 beri
[05:30:23 AM]  Nhặt +14651 beri
[05:30:25 AM]  Nhặt +5915 beri
[05:30:32 AM]  Nhặt +11466 beri
[05:30:35 AM]  Nhặt +11011 beri
[05:30:46 AM]  Nhặt +17199 beri
[05:30:47 AM]  Nhặt +15470 beri
[05:30:57 AM]  Nhặt +7189 beri
[05:31:04 AM]  Nhặt +11102 beri
[05:31:10 AM]  Nhặt +819 beri
[05:31:15 AM]  Nhặt +9100 beri
[05:31:25 AM]  Nhặt +12376 beri
[05:31:33 AM]  Nhặt +15652 beri
[05:31:38 AM]  Nhặt +3276 beri
[05:31:45 AM]  Nhặt +6461 beri
[05:31:49 AM]  Nhặt +1456 beri
[05:31:53 AM]  Nhặt +1547 beri
[05:31:54 AM]  Nhặt +13559 beri
[05:32:08 AM]  Nhặt +2184 beri
[05:32:11 AM]  Nhặt +8372 beri
[05:32:13 AM]  Nhặt +16198 beri
[05:32:21 AM]  Nhặt +12740 beri
[05:32:32 AM]  Nhặt +12649 beri
[05:32:40 AM]  Nhặt +17472 beri
[05:32:43 AM]  Nhặt +12831 beri
[05:32:44 AM]  Nhặt +16016 beri
[05:32:56 AM]  Nhặt +13013 beri
[05:33:06 AM]  Nhặt +6370 beri
[05:33:13 AM]  Nhặt +10010 beri
[05:33:19 AM]  Nhặt +11284 beri
[05:33:25 AM]  Nhặt +18109 beri
[05:33:28 AM]  Nhặt +10465 beri
[05:33:38 AM]  Nhặt +15652 beri
[05:33:47 AM]  Nhặt +8463 beri
[05:33:52 AM]  Nhặt +16562 beri
[05:33:53 AM]  Nhặt +546 beri
[05:34:00 AM]  Nhặt +13286 beri
[05:34:04 AM]  Nhặt +5915 beri
[05:34:27 AM]  Nhặt +14196 beri
