[06:00:45 AM]  Login : [Beri] 2.000.000.105 [Ruby] 5.000.000
[06:01:49 AM]  Giao dịch bery với canival nhận +0 beri
[06:01:49 AM]  Giao dịch bery với canival nhận Áo đỏ nhiệt đới 2
[06:01:49 AM]  Giao dịch bery với canival nhận Quả Tim
[06:02:01 AM]  Mua Bột cường hóa -20 ruby
[06:02:01 AM]  Mua Bột cường hóa -20 ruby
[06:02:01 AM]  Mua Bột cường hóa -20 ruby
[06:02:02 AM]  Mua Bột cường hóa -20 ruby
[06:02:02 AM]  Mua Bột cường hóa -20 ruby
[06:02:02 AM]  Mua Bột cường hóa -20 ruby
[06:02:03 AM]  Mua Bột cường hóa -20 ruby
[06:02:03 AM]  Mua Bột cường hóa -20 ruby
[06:02:03 AM]  Mua Bột cường hóa -20 ruby
[06:02:04 AM]  Mua Bột cường hóa -20 ruby
[06:02:04 AM]  Mua Bột cường hóa -20 ruby
[06:02:05 AM]  Mua Bột cường hóa -20 ruby
[06:02:05 AM]  Mua Bột cường hóa -20 ruby
[06:02:05 AM]  Mua Bột cường hóa -20 ruby
[06:02:06 AM]  Mua Bột cường hóa -20 ruby
[06:02:06 AM]  Mua Bột cường hóa -20 ruby
[06:02:07 AM]  Mua Bột cường hóa -20 ruby
[06:02:07 AM]  Mua Bột cường hóa -20 ruby
[06:02:07 AM]  Mua Bột cường hóa -20 ruby
[06:02:07 AM]  Mua Bột cường hóa -20 ruby
[06:02:07 AM]  Mua Bột cường hóa -20 ruby
[06:02:08 AM]  Mua Bột cường hóa -20 ruby
[06:02:08 AM]  Mua Bột cường hóa -20 ruby
[06:02:08 AM]  Mua Bột cường hóa -20 ruby
[06:02:09 AM]  Mua Bột cường hóa -20 ruby
[06:02:09 AM]  Mua Bột cường hóa -20 ruby
[06:02:09 AM]  Mua Bột cường hóa -20 ruby
[06:02:10 AM]  Mua Bột cường hóa -20 ruby
[06:02:10 AM]  Mua Bột cường hóa -20 ruby
[06:02:10 AM]  Mua Bột cường hóa -20 ruby
[06:02:10 AM]  Mua Bột cường hóa -20 ruby
[06:02:11 AM]  Mua Bột cường hóa -20 ruby
[06:02:11 AM]  Mua Bột cường hóa -20 ruby
[06:02:12 AM]  Mua Bột cường hóa -20 ruby
[06:02:12 AM]  Mua Bột cường hóa -20 ruby
[06:02:12 AM]  Mua Bột cường hóa -20 ruby
[06:02:13 AM]  Mua Bột cường hóa -20 ruby
