[01:09:15 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[01:12:27 AM]  Mua minh vương -5000 ruby
[01:12:33 AM]  Mua Tóc Siêu Sao -500 ruby
[01:12:45 AM]  Mua Tóc khỉ con -500 ruby
[01:13:27 AM]  Mua Tóc Kool -500 ruby
[01:13:32 AM]  Mua Tóc Công Chúa -500 ruby
[01:13:38 AM]  Mua Tóc ShowBiz -500 ruby
[01:13:59 AM]  Mua 99 vé vòng quay -1485 ruby
[01:19:47 AM]  Mua 99 vé vòng quay -1485 ruby
[01:29:36 AM]  Mua Đá ác quỷ -40 ruby
[01:29:36 AM]  Mua Đá ác quỷ -40 ruby
[01:29:36 AM]  Mua Đá ác quỷ -40 ruby
[01:29:36 AM]  Mua Đá ác quỷ -40 ruby
[01:29:36 AM]  Mua Đá ác quỷ -40 ruby
[01:29:37 AM]  Mua Đá ác quỷ -40 ruby
[01:29:37 AM]  Mua Đá ác quỷ -40 ruby
[01:29:37 AM]  Mua Đá ác quỷ -40 ruby
[01:29:37 AM]  Mua Đá ác quỷ -40 ruby
[01:29:37 AM]  Mua Đá ác quỷ -40 ruby
[01:29:37 AM]  Mua Đá ác quỷ -40 ruby
[01:29:38 AM]  Mua Đá ác quỷ -40 ruby
[01:29:38 AM]  Mua Đá ác quỷ -40 ruby
[01:29:38 AM]  Mua Đá ác quỷ -40 ruby
[01:29:38 AM]  Mua Đá ác quỷ -40 ruby
[01:29:38 AM]  Mua Đá ác quỷ -40 ruby
[01:29:39 AM]  Mua Đá ác quỷ -40 ruby
[01:29:39 AM]  Mua Đá ác quỷ -40 ruby
[01:29:39 AM]  Mua Đá ác quỷ -40 ruby
[01:29:39 AM]  Mua Đá ác quỷ -40 ruby
[01:29:39 AM]  Mua Đá ác quỷ -40 ruby
[01:29:39 AM]  Mua Đá ác quỷ -40 ruby
[01:29:40 AM]  Mua Đá ác quỷ -40 ruby
[01:29:40 AM]  Mua Đá ác quỷ -40 ruby
[01:29:40 AM]  Mua Đá ác quỷ -40 ruby
[01:29:40 AM]  Mua Đá ác quỷ -40 ruby
[01:29:40 AM]  Mua Đá ác quỷ -40 ruby
[01:29:41 AM]  Mua Đá ác quỷ -40 ruby
[01:29:41 AM]  Mua Đá ác quỷ -40 ruby
[01:29:41 AM]  Mua Đá ác quỷ -40 ruby
[01:29:41 AM]  Mua Đá ác quỷ -40 ruby
[01:29:41 AM]  Mua Đá ác quỷ -40 ruby
[01:29:41 AM]  Mua Đá ác quỷ -40 ruby
[01:29:42 AM]  Mua Đá ác quỷ -40 ruby
