[06:53:10 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[06:54:52 AM]  Mua Xp Chiêu thức -6000 ruby
[06:54:52 AM]  Mua Xp Chiêu thức -6000 ruby
[06:54:52 AM]  Mua Xp Chiêu thức -6000 ruby
[06:54:53 AM]  Mua Xp Chiêu thức -6000 ruby
[06:54:53 AM]  Mua Xp Chiêu thức -6000 ruby
[06:54:53 AM]  Mua Xp Chiêu thức -6000 ruby
[06:54:53 AM]  Mua Xp Chiêu thức -6000 ruby
[06:54:56 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:54:56 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:54:57 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:54:57 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:54:57 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:54:57 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:54:57 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:54:58 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:54:58 AM]  Mua Kinh nghiệm X2 -60 ruby
[06:55:00 AM]  Mua Xp Chiêu thức -6000 ruby
[06:55:00 AM]  Mua Xp Chiêu thức -6000 ruby
[06:55:00 AM]  Mua Xp Chiêu thức -6000 ruby
[06:58:16 AM]  Mua Tóc Siêu Sao -500 ruby
[06:58:49 AM]  Mua Trang phục Doctor Strange -500 ruby
[06:59:20 AM]  Mua Dr. Strange Zoombie -500 ruby
[06:59:41 AM]  Mua 999 vé vòng quay -14985 ruby
[07:01:12 AM]  Mua Thời trang UTA -500 ruby
[07:04:58 AM]  Nhặt +7936 beri
[07:05:37 AM]  Nhặt +5952 beri
[07:06:07 AM]  Nhặt +2852 beri
[07:06:35 AM]  Nhặt +11408 beri
[07:06:42 AM]  Nhặt +6048 beri
[07:06:56 AM]  Nhặt +2232 beri
[07:07:38 AM]  Nhặt +744 beri
[07:24:22 AM]  Logout : [Beri] 2.000.037.171 [Ruby] 1.999.922.474
[07:24:35 AM]  Login : [Beri] 2.000.037.171 [Ruby] 1.999.922.474
[07:26:17 AM]  Logout : [Beri] 2.000.037.171 [Ruby] 1.999.922.474
[07:26:23 AM]  Login : [Beri] 2.000.037.171 [Ruby] 1.999.922.474
[07:26:45 AM]  Mua Nam thần -500 ruby
[07:29:29 AM]  Mua Đá ác quỷ -40 ruby
[07:29:29 AM]  Mua Đá ác quỷ -40 ruby
[07:29:29 AM]  Mua Đá ác quỷ -40 ruby
[07:29:29 AM]  Mua Đá ác quỷ -40 ruby
[07:29:29 AM]  Mua Đá ác quỷ -40 ruby
[07:29:30 AM]  Mua Đá ác quỷ -40 ruby
[07:29:30 AM]  Mua Đá ác quỷ -40 ruby
[07:29:30 AM]  Mua Đá ác quỷ -40 ruby
[07:29:30 AM]  Mua Đá ác quỷ -40 ruby
[07:29:30 AM]  Mua Đá ác quỷ -40 ruby
[07:29:30 AM]  Mua Đá ác quỷ -40 ruby
[07:29:31 AM]  Mua Đá ác quỷ -40 ruby
[07:29:31 AM]  Mua Đá ác quỷ -40 ruby
[07:29:31 AM]  Mua Đá ác quỷ -40 ruby
[07:29:31 AM]  Mua Đá ác quỷ -40 ruby
[07:29:31 AM]  Mua Đá ác quỷ -40 ruby
[07:29:32 AM]  Mua Đá ác quỷ -40 ruby
[07:29:32 AM]  Mua Đá ác quỷ -40 ruby
