[12:03:18 AM]  Logout : [Beri] 1.984.703.149 [Ruby] 1.999.832.382
[12:05:21 AM]  Login : [Beri] 1.984.703.149 [Ruby] 1.999.832.382
[12:09:08 AM]  Mua Bột than -10000 beri
[12:09:08 AM]  Mua Bột than -10000 beri
[12:09:08 AM]  Mua Bột than -10000 beri
[12:09:08 AM]  Mua Bột than -10000 beri
[12:09:08 AM]  Mua Bột than -10000 beri
[12:09:08 AM]  Mua Bột than -10000 beri
[12:09:09 AM]  Mua Bột than -10000 beri
[12:09:09 AM]  Mua Bột than -10000 beri
[12:09:09 AM]  Mua Bột than -10000 beri
[12:09:09 AM]  Mua Bột than -10000 beri
[12:09:09 AM]  Mua Bột than -10000 beri
[12:09:09 AM]  Mua Bột than -10000 beri
[12:09:09 AM]  Mua Bột than -10000 beri
[12:09:09 AM]  Mua Bột than -10000 beri
[12:09:09 AM]  Mua Bột than -10000 beri
[12:09:10 AM]  Mua Bột than -10000 beri
[12:09:10 AM]  Mua Bột than -10000 beri
[12:09:10 AM]  Mua Bột than -10000 beri
[12:09:10 AM]  Mua Bột than -10000 beri
[12:09:10 AM]  Mua Bột than -10000 beri
[12:09:10 AM]  Mua Bột than -10000 beri
[12:09:10 AM]  Mua Bột than -10000 beri
[12:09:10 AM]  Mua Bột than -10000 beri
[12:09:11 AM]  Mua Bột than -10000 beri
[12:09:11 AM]  Mua Bột than -10000 beri
[12:09:11 AM]  Mua Bột than -10000 beri
[12:09:11 AM]  Mua Bột than -10000 beri
[12:09:11 AM]  Mua Bột than -10000 beri
[12:09:11 AM]  Mua Bột than -10000 beri
[12:09:12 AM]  Mua Bột than -10000 beri
[12:09:12 AM]  Mua Bột than -10000 beri
[12:09:12 AM]  Mua Bột than -10000 beri
[12:09:20 AM]  Cường hóa item Dial 1 -3000 beri
[12:09:21 AM]  Cường hóa item Dial 1 -3000 beri
[12:09:22 AM]  Cường hóa item Dial 1 -4000 beri
[12:09:23 AM]  Cường hóa item Dial 1 -4000 beri
[12:09:24 AM]  Cường hóa item Dial 1 -4000 beri
[12:09:25 AM]  Cường hóa item Dial 1 -6000 beri
[12:09:26 AM]  Cường hóa item Dial 1 -6000 beri
[12:09:27 AM]  Cường hóa item Dial 1 -6000 beri
[12:09:28 AM]  Cường hóa item Dial 1 -8000 beri
[12:09:29 AM]  Cường hóa item Dial 1 -10000 beri
[12:09:35 AM]  Logout : [Beri] 1.984.329.149 [Ruby] 1.999.832.382
[12:12:15 AM]  Login : [Beri] 1.984.329.149 [Ruby] 1.999.832.382
[12:12:42 AM]  Mua Bột cường hóa -20 ruby
[12:12:43 AM]  Mua Bột cường hóa -20 ruby
[12:12:43 AM]  Mua Bột cường hóa -20 ruby
[12:12:43 AM]  Mua Bột cường hóa -20 ruby
[12:12:43 AM]  Mua Bột cường hóa -20 ruby
[12:12:43 AM]  Mua Bột cường hóa -20 ruby
[12:12:43 AM]  Mua Bột cường hóa -20 ruby
[12:12:43 AM]  Mua Bột cường hóa -20 ruby
[12:12:43 AM]  Mua Bột cường hóa -20 ruby
[12:12:44 AM]  Mua Bột cường hóa -20 ruby
[12:12:44 AM]  Mua Bột cường hóa -20 ruby
[12:12:44 AM]  Mua Bột cường hóa -20 ruby
[12:12:44 AM]  Mua Bột cường hóa -20 ruby
[12:12:44 AM]  Mua Bột cường hóa -20 ruby
[12:12:44 AM]  Mua Bột cường hóa -20 ruby
[12:12:44 AM]  Mua Bột cường hóa -20 ruby
[12:12:44 AM]  Mua Bột cường hóa -20 ruby
[12:12:45 AM]  Mua Bột cường hóa -20 ruby
[12:12:45 AM]  Mua Bột cường hóa -20 ruby
[12:12:45 AM]  Mua Bột cường hóa -20 ruby
[12:12:45 AM]  Mua Bột cường hóa -20 ruby
[12:12:45 AM]  Mua Bột cường hóa -20 ruby
[12:12:45 AM]  Mua Bột cường hóa -20 ruby
[12:12:45 AM]  Mua Bột cường hóa -20 ruby
[12:12:46 AM]  Mua Bột cường hóa -20 ruby
[12:12:46 AM]  Mua Bột cường hóa -20 ruby
[12:12:46 AM]  Mua Bột cường hóa -20 ruby
[12:12:46 AM]  Mua Bột cường hóa -20 ruby
[12:12:46 AM]  Mua Bột cường hóa -20 ruby
[12:12:46 AM]  Mua Bột cường hóa -20 ruby
[12:12:46 AM]  Mua Bột cường hóa -20 ruby
[12:12:47 AM]  Mua Bột cường hóa -20 ruby
[12:12:47 AM]  Mua Bột cường hóa -20 ruby
[12:12:47 AM]  Mua Bột cường hóa -20 ruby
[12:12:47 AM]  Mua Bột cường hóa -20 ruby
[12:12:47 AM]  Mua Bột cường hóa -20 ruby
