[12:43:12 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[12:43:26 PM]  Nhặt +10 beri
[12:43:52 PM]  Logout : [Beri] 2.000.000.009 [Ruby] 1.999.999.999
[12:44:03 PM]  Login : [Beri] 2.000.000.009 [Ruby] 1.999.999.999
[12:44:10 PM]  Logout : [Beri] 2.000.000.009 [Ruby] 1.999.999.999
[12:44:17 PM]  Login : [Beri] 2.000.000.009 [Ruby] 1.999.999.999
[12:45:35 PM]  Mua aokiji -500 ruby
[12:45:40 PM]  Mua Tóc Siêu Sao -500 ruby
[12:45:47 PM]  Mua Pell -500 ruby
[12:45:50 PM]  Mua Kinh nghiệm X2 -3 ruby
[12:45:51 PM]  Mua Kinh nghiệm X2 -3 ruby
[12:45:51 PM]  Mua Kinh nghiệm X2 -3 ruby
[12:45:52 PM]  Mua Xp Chiêu thức -300 ruby
[12:45:52 PM]  Mua Xp Chiêu thức -300 ruby
[12:45:52 PM]  Mua Xp Chiêu thức -300 ruby
[12:45:52 PM]  Mua Xp Chiêu thức -300 ruby
[12:46:39 PM]  Mua 999 vé vòng quay -14985 ruby
[12:49:25 PM]  Mua Đá ác quỷ -10 ruby
[12:49:25 PM]  Mua Đá ác quỷ -10 ruby
[12:49:26 PM]  Mua Đá ác quỷ -40 ruby
[12:49:26 PM]  Mua Đá ác quỷ -40 ruby
[12:49:26 PM]  Mua Đá ác quỷ -40 ruby
[12:49:26 PM]  Mua Đá ác quỷ -40 ruby
[12:49:27 PM]  Mua Đá ác quỷ -40 ruby
[12:49:27 PM]  Mua Đá ác quỷ -40 ruby
[12:49:27 PM]  Mua Đá ác quỷ -40 ruby
[12:49:27 PM]  Mua Đá ác quỷ -40 ruby
[12:49:27 PM]  Mua Đá ác quỷ -40 ruby
[12:49:27 PM]  Mua Đá ác quỷ -40 ruby
[12:49:28 PM]  Mua Đá ác quỷ -40 ruby
[12:49:28 PM]  Mua Đá ác quỷ -40 ruby
[12:49:28 PM]  Mua Đá ác quỷ -40 ruby
[12:49:28 PM]  Mua Đá ác quỷ -40 ruby
[12:49:28 PM]  Mua Đá ác quỷ -40 ruby
[12:49:29 PM]  Mua Đá ác quỷ -40 ruby
[12:49:29 PM]  Mua Đá ác quỷ -40 ruby
[12:49:29 PM]  Mua Đá ác quỷ -40 ruby
[12:49:29 PM]  Mua Đá ác quỷ -40 ruby
[12:49:29 PM]  Mua Đá ác quỷ -40 ruby
[12:49:29 PM]  Mua Đá ác quỷ -40 ruby
[12:49:30 PM]  Mua Đá ác quỷ -40 ruby
[12:49:30 PM]  Mua Đá ác quỷ -40 ruby
[12:49:30 PM]  Mua Đá ác quỷ -40 ruby
[12:49:30 PM]  Mua Đá ác quỷ -40 ruby
[12:49:31 PM]  Mua Đá ác quỷ -40 ruby
[12:49:31 PM]  Mua Đá ác quỷ -40 ruby
[12:49:31 PM]  Mua Đá ác quỷ -40 ruby
[12:49:31 PM]  Mua Đá ác quỷ -40 ruby
[12:49:31 PM]  Mua Đá ác quỷ -40 ruby
[12:49:31 PM]  Mua Đá ác quỷ -40 ruby
[12:49:32 PM]  Mua Đá ác quỷ -40 ruby
[12:49:32 PM]  Mua Đá ác quỷ -40 ruby
[12:49:36 PM]  Logout : [Beri] 2.000.000.009 [Ruby] 1.999.980.965
[12:53:54 PM]  Login : [Beri] 2.000.000.009 [Ruby] 1.999.980.965
[12:54:05 PM]  Mua Đá ác quỷ -40 ruby
[12:54:06 PM]  Mua Đá ác quỷ -40 ruby
[12:54:06 PM]  Mua Đá ác quỷ -40 ruby
[12:54:06 PM]  Mua Đá ác quỷ -40 ruby
[12:54:06 PM]  Mua Đá ác quỷ -40 ruby
[12:54:06 PM]  Mua Đá ác quỷ -40 ruby
[12:54:06 PM]  Mua Đá ác quỷ -40 ruby
[12:54:07 PM]  Mua Đá ác quỷ -40 ruby
[12:54:07 PM]  Mua Đá ác quỷ -40 ruby
[12:54:07 PM]  Mua Đá ác quỷ -40 ruby
[12:54:07 PM]  Mua Đá ác quỷ -40 ruby
[12:54:07 PM]  Mua Đá ác quỷ -40 ruby
[12:54:08 PM]  Mua Đá ác quỷ -40 ruby
[12:54:08 PM]  Mua Đá ác quỷ -40 ruby
[12:54:08 PM]  Mua Đá ác quỷ -40 ruby
[12:54:08 PM]  Mua Đá ác quỷ -40 ruby
[12:54:08 PM]  Mua Đá ác quỷ -40 ruby
[12:54:09 PM]  Mua Đá ác quỷ -40 ruby
[12:54:09 PM]  Mua Đá ác quỷ -40 ruby
[12:54:09 PM]  Mua Đá ác quỷ -40 ruby
[12:54:09 PM]  Mua Đá ác quỷ -40 ruby
[12:54:10 PM]  Mua Đá ác quỷ -40 ruby
[12:54:10 PM]  Mua Đá ác quỷ -40 ruby
[12:54:10 PM]  Mua Đá ác quỷ -40 ruby
[12:54:12 PM]  Mua Đá ác quỷ -40 ruby
[12:54:12 PM]  Mua Đá ác quỷ -40 ruby
[12:54:12 PM]  Mua Đá ác quỷ -40 ruby
[12:54:13 PM]  Mua Đá ác quỷ -40 ruby
[12:54:13 PM]  Mua Đá ác quỷ -40 ruby
[12:54:13 PM]  Mua Đá ác quỷ -40 ruby
[12:54:13 PM]  Mua Đá ác quỷ -10 ruby
[12:54:14 PM]  Mua Đá ác quỷ -2 ruby
[12:54:14 PM]  Mua Đá ác quỷ -2 ruby
[12:54:14 PM]  Mua Đá ác quỷ -2 ruby
[12:54:15 PM]  Mua Đá ác quỷ -40 ruby
[12:54:16 PM]  Mua Đá ác quỷ -40 ruby
[12:54:16 PM]  Mua Đá ác quỷ -40 ruby
[12:54:16 PM]  Mua Đá ác quỷ -40 ruby
[12:54:17 PM]  Mua Đá ác quỷ -40 ruby
[12:54:17 PM]  Mua Đá ác quỷ -40 ruby
[12:54:17 PM]  Mua Đá ác quỷ -40 ruby
[12:54:17 PM]  Mua Đá ác quỷ -40 ruby
[12:54:18 PM]  Mua Đá ác quỷ -40 ruby
[12:54:18 PM]  Mua Đá ác quỷ -40 ruby
[12:54:18 PM]  Mua Đá ác quỷ -40 ruby
[12:54:18 PM]  Mua Đá ác quỷ -40 ruby
[12:54:18 PM]  Mua Đá ác quỷ -40 ruby
[12:54:18 PM]  Mua Đá ác quỷ -40 ruby
[12:54:19 PM]  Mua Đá ác quỷ -40 ruby
[12:54:19 PM]  Mua Đá ác quỷ -40 ruby
[12:54:19 PM]  Mua Đá ác quỷ -40 ruby
[12:54:19 PM]  Mua Đá ác quỷ -40 ruby
[12:54:19 PM]  Mua Đá ác quỷ -40 ruby
[12:54:20 PM]  Mua Đá ác quỷ -40 ruby
[12:54:20 PM]  Mua Đá ác quỷ -40 ruby
[12:54:20 PM]  Mua Đá ác quỷ -40 ruby
