[06:17:22 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[06:19:11 AM]  Mua Trang phục Doctor Strange -500 ruby
[06:19:18 AM]  Mua Tóc Kool -500 ruby
[06:19:31 AM]  Mua Buggy -500 ruby
[06:56:55 AM]  Mua 1000 vé vòng quay -15000 ruby
[07:04:51 AM]  Nhặt +5832 beri
[07:04:59 AM]  Nhặt +10368 beri
[07:05:03 AM]  Nhặt +6399 beri
[07:11:49 AM]  Mua Bột cường hóa -20 ruby
[07:11:51 AM]  Mua Bột cường hóa -20 ruby
[07:11:52 AM]  Mua Bột cường hóa -20 ruby
[07:11:52 AM]  Mua Bột cường hóa -20 ruby
[07:11:54 AM]  Mua Bột cường hóa -1 ruby
[07:11:54 AM]  Mua Bột cường hóa -1 ruby
[07:11:55 AM]  Mua Bột cường hóa -20 ruby
[07:11:55 AM]  Mua Bột cường hóa -20 ruby
[07:11:55 AM]  Mua Bột cường hóa -20 ruby
[07:11:55 AM]  Mua Bột cường hóa -20 ruby
[07:11:56 AM]  Mua Bột cường hóa -20 ruby
[07:11:56 AM]  Mua Bột cường hóa -20 ruby
[07:11:56 AM]  Mua Bột cường hóa -20 ruby
[07:11:56 AM]  Mua Bột cường hóa -20 ruby
[07:11:56 AM]  Mua Bột cường hóa -20 ruby
[07:11:57 AM]  Mua Bột cường hóa -20 ruby
[07:11:57 AM]  Mua Bột cường hóa -20 ruby
[07:11:57 AM]  Mua Bột cường hóa -20 ruby
[07:11:57 AM]  Mua Bột cường hóa -20 ruby
[07:11:57 AM]  Mua Bột cường hóa -20 ruby
[07:11:57 AM]  Mua Bột cường hóa -20 ruby
[07:11:58 AM]  Mua Bột cường hóa -20 ruby
[07:11:58 AM]  Mua Bột cường hóa -20 ruby
[07:11:58 AM]  Mua Bột cường hóa -20 ruby
[07:11:58 AM]  Mua Bột cường hóa -20 ruby
[07:11:58 AM]  Mua Bột cường hóa -20 ruby
[07:11:58 AM]  Mua Bột cường hóa -20 ruby
[07:11:59 AM]  Mua Bột cường hóa -20 ruby
[07:11:59 AM]  Mua Bột cường hóa -20 ruby
[07:11:59 AM]  Mua Bột cường hóa -20 ruby
[07:11:59 AM]  Mua Bột cường hóa -20 ruby
[07:11:59 AM]  Mua Bột cường hóa -20 ruby
[07:12:00 AM]  Mua Bột cường hóa -20 ruby
[07:12:00 AM]  Mua Bột cường hóa -20 ruby
[07:12:00 AM]  Mua Bột cường hóa -20 ruby
[07:12:00 AM]  Mua Bột cường hóa -20 ruby
[07:12:00 AM]  Mua Bột cường hóa -20 ruby
[07:12:00 AM]  Mua Bột cường hóa -20 ruby
[07:12:01 AM]  Mua Bột cường hóa -20 ruby
[07:12:01 AM]  Mua Bột cường hóa -20 ruby
[07:12:01 AM]  Mua Bột cường hóa -20 ruby
[07:12:01 AM]  Mua Bột cường hóa -20 ruby
[07:12:01 AM]  Mua Bột cường hóa -20 ruby
[07:12:02 AM]  Mua Bột cường hóa -20 ruby
[07:12:02 AM]  Mua Bột cường hóa -20 ruby
[07:12:02 AM]  Mua Bột cường hóa -20 ruby
[07:12:02 AM]  Mua Bột cường hóa -20 ruby
[07:12:02 AM]  Mua Bột cường hóa -20 ruby
[07:12:03 AM]  Mua Bột cường hóa -20 ruby
[07:12:03 AM]  Mua Bột cường hóa -20 ruby
[07:12:03 AM]  Mua Bột cường hóa -20 ruby
[07:12:03 AM]  Mua Bột cường hóa -20 ruby
[07:12:03 AM]  Mua Bột cường hóa -20 ruby
[07:12:04 AM]  Mua Bột cường hóa -20 ruby
[07:12:04 AM]  Mua Bột cường hóa -20 ruby
[07:12:04 AM]  Mua Bột cường hóa -20 ruby
[07:12:04 AM]  Mua Bột cường hóa -20 ruby
[07:12:04 AM]  Mua Bột cường hóa -20 ruby
[07:12:05 AM]  Mua Bột cường hóa -20 ruby
[07:12:05 AM]  Mua Bột cường hóa -20 ruby
[07:12:05 AM]  Mua Bột cường hóa -20 ruby
[07:12:05 AM]  Mua Bột cường hóa -20 ruby
[07:12:05 AM]  Mua Bột cường hóa -20 ruby
[07:12:06 AM]  Mua Bột cường hóa -20 ruby
[07:12:06 AM]  Mua Bột cường hóa -20 ruby
[07:12:06 AM]  Mua Bột cường hóa -20 ruby
[07:12:06 AM]  Mua Bột cường hóa -20 ruby
[07:12:06 AM]  Mua Bột cường hóa -20 ruby
[07:12:07 AM]  Mua Bột cường hóa -20 ruby
[07:12:07 AM]  Mua Bột cường hóa -20 ruby
[07:12:07 AM]  Mua Bột cường hóa -20 ruby
[07:12:07 AM]  Mua Bột cường hóa -20 ruby
[07:12:07 AM]  Mua Bột cường hóa -20 ruby
[07:12:08 AM]  Mua Bột cường hóa -20 ruby
[07:12:08 AM]  Mua Bột cường hóa -20 ruby
[07:12:08 AM]  Mua Bột cường hóa -20 ruby
[07:12:08 AM]  Mua Bột cường hóa -20 ruby
[07:12:08 AM]  Mua Bột cường hóa -20 ruby
[07:12:08 AM]  Mua Bột cường hóa -20 ruby
[07:12:09 AM]  Mua Bột cường hóa -20 ruby
[07:12:09 AM]  Mua Bột cường hóa -20 ruby
[07:12:09 AM]  Mua Bột cường hóa -20 ruby
[07:12:09 AM]  Mua Bột cường hóa -20 ruby
[07:12:09 AM]  Mua Bột cường hóa -20 ruby
[07:12:10 AM]  Mua Bột cường hóa -20 ruby
[07:12:10 AM]  Mua Bột cường hóa -20 ruby
[07:12:10 AM]  Mua Bột cường hóa -20 ruby
[07:12:10 AM]  Mua Bột cường hóa -20 ruby
[07:12:10 AM]  Mua Bột cường hóa -20 ruby
[07:12:11 AM]  Mua Bột cường hóa -20 ruby
[07:12:11 AM]  Mua Bột cường hóa -20 ruby
[07:12:11 AM]  Mua Bột cường hóa -20 ruby
[07:12:11 AM]  Mua Bột cường hóa -20 ruby
[07:12:13 AM]  Mua Bột vàng -2 ruby
[07:12:13 AM]  Mua Bột vàng -2 ruby
[07:12:15 AM]  Mua Bột vàng -40 ruby
[07:12:15 AM]  Mua Bột vàng -40 ruby
[07:12:15 AM]  Mua Bột vàng -40 ruby
[07:12:15 AM]  Mua Bột vàng -40 ruby
[07:12:16 AM]  Mua Bột vàng -40 ruby
[07:12:16 AM]  Mua Bột vàng -40 ruby
[07:12:16 AM]  Mua Bột vàng -40 ruby
[07:12:16 AM]  Mua Bột vàng -40 ruby
[07:12:16 AM]  Mua Bột vàng -40 ruby
[07:12:17 AM]  Mua Bột vàng -40 ruby
[07:12:17 AM]  Mua Bột vàng -40 ruby
