[01:37:33 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[01:39:51 AM]  Mua D-Gap -500 ruby
[01:40:01 AM]  Mua Tóc bạch kim -500 ruby
[01:40:47 AM]  Mua 100 vé vòng quay -1500 ruby
[01:42:35 AM]  Mua 1000 vé vòng quay -15000 ruby
[01:45:57 AM]  Chat KTG mất -5 ruby
[01:51:31 AM]  Mua Kinh nghiệm X2 -60 ruby
[01:51:32 AM]  Mua Xp Chiêu thức -6000 ruby
[01:51:34 AM]  Mua Vé tẩy tiềm năng -0 beri
[01:53:12 AM]  Mua Pell -500 ruby
[01:53:19 AM]  Mua Tóc khỉ con -500 ruby
[01:53:30 AM]  Mua Đá ác quỷ -40 ruby
[01:53:30 AM]  Mua Đá ác quỷ -40 ruby
[01:53:30 AM]  Mua Đá ác quỷ -40 ruby
[01:53:31 AM]  Mua Đá ác quỷ -40 ruby
[01:53:31 AM]  Mua Đá ác quỷ -40 ruby
[01:53:31 AM]  Mua Đá ác quỷ -40 ruby
[01:54:53 AM]  Mua Quả Conache -0 beri
[01:54:53 AM]  Mua Quả Conache -0 beri
[01:54:53 AM]  Mua Quả Conache -0 beri
[01:54:53 AM]  Mua Quả Conache -0 beri
[01:54:53 AM]  Mua Quả Conache -0 beri
[01:54:54 AM]  Mua Quả Conache -0 beri
[01:54:54 AM]  Mua Quả Conache -0 beri
[01:54:54 AM]  Mua Quả Conache -0 beri
[01:54:54 AM]  Mua Quả Conache -0 beri
[01:54:54 AM]  Mua Quả Conache -0 beri
[01:54:54 AM]  Mua Quả Conache -0 beri
[01:54:55 AM]  Mua Quả Conache -0 beri
[01:54:55 AM]  Mua Quả Conache -0 beri
[01:54:55 AM]  Mua Quả Conache -0 beri
[01:54:55 AM]  Mua Quả Conache -0 beri
[01:54:55 AM]  Mua Quả Conache -0 beri
[01:54:55 AM]  Mua Quả Conache -0 beri
[01:54:56 AM]  Mua Quả Conache -0 beri
[01:54:56 AM]  Mua Quả Conache -0 beri
[01:54:56 AM]  Mua Quả Conache -0 beri
[01:54:56 AM]  Mua Quả Conache -0 beri
[01:54:56 AM]  Mua Quả Conache -0 beri
[01:54:56 AM]  Mua Quả Conache -0 beri
[01:54:56 AM]  Mua Quả Conache -0 beri
[01:54:57 AM]  Mua Quả Conache -0 beri
[01:54:57 AM]  Mua Quả Conache -0 beri
[01:54:57 AM]  Mua Quả Conache -0 beri
[01:54:57 AM]  Mua Quả Conache -0 beri
[01:54:57 AM]  Mua Quả Conache -0 beri
[01:54:57 AM]  Mua Quả Conache -0 beri
[01:54:57 AM]  Mua Quả Conache -0 beri
[01:55:00 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:00 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:00 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:00 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:00 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:01 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:01 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:01 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:01 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:01 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:01 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:01 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:02 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:02 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:02 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:02 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:02 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:02 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:03 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:03 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:03 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:03 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:03 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:03 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:03 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:04 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:04 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:04 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:04 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:04 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:04 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:04 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:05 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:05 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:05 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:05 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:05 AM]  Mua Cơm hộp hải tặc -0 beri
[01:55:05 AM]  Mua Cơm hộp hải tặc -0 beri
[02:00:19 AM]  Logout : [Beri] 1.999.999.999 [Ruby] 1.999.975.194
