[07:53:35 AM]  Login : [Beri] 1.968.154.442 [Ruby] 1.999.846.190
[07:54:04 AM]  Logout : [Beri] 1.968.104.442 [Ruby] 1.999.846.190
[07:54:11 AM]  Login : [Beri] 1.968.104.442 [Ruby] 1.999.846.190
[07:55:50 AM]  Mua Trang phục Spiderman Iron -500 ruby
[08:12:14 AM]  Mua Bột cường hóa -20 ruby
[08:12:14 AM]  Mua Bột cường hóa -20 ruby
[08:12:14 AM]  Mua Bột cường hóa -20 ruby
[08:12:15 AM]  Mua Bột cường hóa -20 ruby
[08:12:15 AM]  Mua Bột cường hóa -20 ruby
[08:12:15 AM]  Mua Bột cường hóa -20 ruby
[08:12:15 AM]  Mua Bột cường hóa -20 ruby
[08:12:16 AM]  Mua Bột cường hóa -20 ruby
[08:12:16 AM]  Mua Bột cường hóa -20 ruby
[08:12:16 AM]  Mua Bột cường hóa -20 ruby
[08:12:16 AM]  Mua Bột cường hóa -20 ruby
[08:12:16 AM]  Mua Bột cường hóa -20 ruby
[08:12:16 AM]  Mua Bột cường hóa -20 ruby
[08:12:17 AM]  Mua Bột cường hóa -20 ruby
[08:12:17 AM]  Mua Bột cường hóa -20 ruby
[08:12:17 AM]  Mua Bột cường hóa -20 ruby
[08:12:17 AM]  Mua Bột cường hóa -20 ruby
[08:12:17 AM]  Mua Bột cường hóa -20 ruby
[08:12:18 AM]  Mua Bột cường hóa -20 ruby
[08:12:18 AM]  Mua Bột cường hóa -20 ruby
[08:12:18 AM]  Mua Bột cường hóa -20 ruby
[08:12:18 AM]  Mua Bột cường hóa -20 ruby
[08:12:18 AM]  Mua Bột cường hóa -20 ruby
[08:12:19 AM]  Mua Bột cường hóa -20 ruby
[08:12:19 AM]  Mua Bột cường hóa -20 ruby
[08:12:19 AM]  Mua Bột cường hóa -20 ruby
[08:12:19 AM]  Mua Bột cường hóa -20 ruby
[08:12:19 AM]  Mua Bột cường hóa -20 ruby
[08:12:20 AM]  Mua Bột cường hóa -20 ruby
[08:12:20 AM]  Mua Bột cường hóa -20 ruby
[08:12:20 AM]  Mua Bột cường hóa -20 ruby
[08:12:20 AM]  Mua Bột cường hóa -20 ruby
[08:12:20 AM]  Mua Bột cường hóa -20 ruby
[08:12:21 AM]  Mua Bột cường hóa -20 ruby
[08:12:21 AM]  Mua Bột cường hóa -20 ruby
[08:12:21 AM]  Mua Bột cường hóa -20 ruby
[08:12:21 AM]  Mua Bột cường hóa -20 ruby
[08:12:27 AM]  Mua Bột cường hóa -20 ruby
[08:12:27 AM]  Mua Bột cường hóa -20 ruby
[08:12:27 AM]  Mua Bột cường hóa -20 ruby
[08:12:27 AM]  Mua Bột cường hóa -20 ruby
[08:12:28 AM]  Mua Bột cường hóa -20 ruby
[08:12:28 AM]  Mua Bột cường hóa -20 ruby
[08:12:28 AM]  Mua Bột cường hóa -20 ruby
[08:12:28 AM]  Mua Bột cường hóa -20 ruby
[08:12:31 AM]  Mua Bột vàng -40 ruby
[08:12:31 AM]  Mua Bột vàng -40 ruby
[08:12:32 AM]  Mua Bột vàng -40 ruby
[08:12:32 AM]  Mua Bột vàng -40 ruby
[08:12:32 AM]  Mua Bột vàng -40 ruby
[08:12:32 AM]  Mua Bột vàng -40 ruby
[08:12:32 AM]  Mua Bột vàng -40 ruby
[08:12:33 AM]  Mua Bột vàng -40 ruby
[08:12:33 AM]  Mua Bột vàng -40 ruby
[08:12:33 AM]  Mua Bột vàng -40 ruby
[08:12:33 AM]  Mua Bột vàng -40 ruby
[08:12:33 AM]  Mua Bột vàng -40 ruby
[08:12:34 AM]  Mua Bột vàng -40 ruby
[08:12:34 AM]  Mua Bột vàng -40 ruby
[08:12:34 AM]  Mua Bột vàng -40 ruby
[08:12:44 AM]  Cường hóa item Nhẫn 10x -2 ruby
[08:12:45 AM]  Cường hóa item Nhẫn 10x -2 ruby
[08:12:48 AM]  Cường hóa item Nhẫn 10x -2 ruby
[08:12:48 AM]  Cường hóa item Nhẫn 10x -2 ruby
[08:12:49 AM]  Cường hóa item Nhẫn 10x -2 ruby
[08:12:51 AM]  Cường hóa item Nhẫn 10x -3 ruby
[08:12:53 AM]  Cường hóa item Nhẫn 10x -3 ruby
[08:12:55 AM]  Cường hóa item Nhẫn 10x -3 ruby
[08:12:57 AM]  Cường hóa item Nhẫn 10x -4 ruby
[08:12:58 AM]  Cường hóa item Nhẫn 10x -5 ruby
[08:13:02 AM]  Cường hóa item Dây chuyền 10x -2 ruby
[08:13:04 AM]  Cường hóa item Dây chuyền 10x -2 ruby
[08:13:06 AM]  Cường hóa item Dây chuyền 10x -2 ruby
[08:13:07 AM]  Cường hóa item Dây chuyền 10x -2 ruby
[08:13:10 AM]  Cường hóa item Dây chuyền 10x -2 ruby
