[01:10:59 PM]  Login : [Beri] 2.003.016.113 [Ruby] 1.999.867.377
[01:18:59 PM]  Mua Bột cường hóa -20 ruby
[01:18:59 PM]  Mua Bột cường hóa -20 ruby
[01:19:00 PM]  Mua Bột cường hóa -20 ruby
[01:19:00 PM]  Mua Bột cường hóa -20 ruby
[01:19:00 PM]  Mua Bột cường hóa -20 ruby
[01:19:00 PM]  Mua Bột cường hóa -20 ruby
[01:19:00 PM]  Mua Bột cường hóa -20 ruby
[01:19:00 PM]  Mua Bột cường hóa -20 ruby
[01:19:01 PM]  Mua Bột cường hóa -20 ruby
[01:19:02 PM]  Mua Bột vàng -40 ruby
[01:19:02 PM]  Mua Bột vàng -40 ruby
[01:19:02 PM]  Mua Bột vàng -40 ruby
[01:19:02 PM]  Mua Bột vàng -40 ruby
[01:19:03 PM]  Mua Bột vàng -40 ruby
[01:19:03 PM]  Mua Bột vàng -40 ruby
[01:19:03 PM]  Mua Bột vàng -40 ruby
[01:19:03 PM]  Mua Bột vàng -40 ruby
[01:19:03 PM]  Mua Bột vàng -40 ruby
[01:19:04 PM]  Mua Bột vàng -40 ruby
[01:19:22 PM]  Mua Bột than -10000 beri
[01:19:23 PM]  Mua Bột than -10000 beri
[01:19:23 PM]  Mua Bột than -10000 beri
[01:19:23 PM]  Mua Bột than -10000 beri
[01:19:23 PM]  Mua Bột than -10000 beri
[01:19:23 PM]  Mua Bột than -10000 beri
[01:19:23 PM]  Mua Bột than -10000 beri
[01:19:24 PM]  Mua Bột than -10000 beri
[01:19:24 PM]  Mua Bột than -10000 beri
[01:19:24 PM]  Mua Bột than -10000 beri
[01:19:24 PM]  Mua Bột than -10000 beri
[01:19:24 PM]  Mua Bột than -10000 beri
[01:19:24 PM]  Mua Bột than -10000 beri
[01:19:25 PM]  Mua Bột than -10000 beri
[01:19:25 PM]  Mua Bột than -10000 beri
[01:19:25 PM]  Mua Bột than -10000 beri
[01:19:25 PM]  Mua Bột than -10000 beri
[01:19:25 PM]  Mua Bột than -10000 beri
[01:19:25 PM]  Mua Bột than -10000 beri
[01:19:26 PM]  Mua Bột than -10000 beri
[01:19:26 PM]  Mua Bột than -10000 beri
[01:19:26 PM]  Mua Bột than -10000 beri
[01:19:26 PM]  Mua Bột than -10000 beri
[01:19:28 PM]  Mua Bột cường hóa -20 ruby
[01:19:28 PM]  Mua Bột cường hóa -20 ruby
[01:19:28 PM]  Mua Bột cường hóa -20 ruby
[01:19:28 PM]  Mua Bột cường hóa -20 ruby
[01:19:28 PM]  Mua Bột cường hóa -20 ruby
[01:19:29 PM]  Mua Bột cường hóa -20 ruby
[01:19:29 PM]  Mua Bột cường hóa -20 ruby
[01:19:29 PM]  Mua Bột cường hóa -20 ruby
[01:19:29 PM]  Mua Bột cường hóa -20 ruby
[01:19:29 PM]  Mua Bột cường hóa -20 ruby
[01:19:29 PM]  Mua Bột cường hóa -20 ruby
[01:19:30 PM]  Mua Bột cường hóa -20 ruby
[01:19:30 PM]  Mua Bột cường hóa -20 ruby
[01:19:30 PM]  Mua Bột cường hóa -20 ruby
[01:19:30 PM]  Mua Bột cường hóa -20 ruby
[01:19:30 PM]  Mua Bột cường hóa -20 ruby
[01:19:30 PM]  Mua Bột cường hóa -20 ruby
[01:19:31 PM]  Mua Bột cường hóa -20 ruby
[01:19:31 PM]  Mua Bột cường hóa -20 ruby
[01:19:31 PM]  Mua Bột cường hóa -20 ruby
[01:19:31 PM]  Mua Bột cường hóa -20 ruby
[01:19:42 PM]  Cường hóa item Dial 1 -2 ruby
[01:19:44 PM]  Cường hóa item Dial 1 -2 ruby
[01:19:46 PM]  Cường hóa item Dial 1 -2 ruby
[01:19:48 PM]  Cường hóa item Dial 1 -2 ruby
[01:19:50 PM]  Cường hóa item Dial 1 -2 ruby
[01:20:02 PM]  Cường hóa item Dial 1 -3 ruby
[01:20:04 PM]  Cường hóa item Dial 1 -3 ruby
[01:20:06 PM]  Cường hóa item Dial 1 -3 ruby
[01:20:07 PM]  Cường hóa item Dial 1 -4 ruby
[01:20:09 PM]  Cường hóa item Dial 1 -5 ruby
[01:22:04 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:05 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:06 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:07 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:08 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:09 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:10 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:11 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:12 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:12 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:13 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:14 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:15 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:16 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:17 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:18 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:18 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:19 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:21 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:22 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:23 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:23 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:24 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:25 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:26 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:27 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:29 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:29 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:30 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:31 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:22:33 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:23:51 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:23:52 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:23:53 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:23:54 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:23:55 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:23:57 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:23:58 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:23:58 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:23:59 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:00 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:01 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:02 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:03 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:03 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:04 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:05 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:06 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:07 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:08 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:09 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:10 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:11 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:12 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:13 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:14 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:15 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:15 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:16 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:17 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:18 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:19 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:19 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:20 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:21 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:22 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:24 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:25 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:26 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:26 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:27 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:28 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:29 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:30 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:30 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:31 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:32 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:33 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:33 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:34 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:35 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:24:36 PM]  Mua Mũ sọc tím 2 -500000 beri
[01:26:06 PM]  Nhặt +1734 beri
[01:26:06 PM]  Nhặt +476 beri
[01:26:07 PM]  Nhặt +3096 beri
[01:26:11 PM]  Nhặt +1411 beri
[01:29:03 PM]  Chat KTG mất -5 ruby
[01:30:39 PM]  Chat KTG mất -5 ruby
[01:31:57 PM]  Chat KTG mất -5 ruby
[01:39:40 PM]  Logout : [Beri] 2.003.022.830 [Ruby] 1.999.866.234
[01:41:36 PM]  Login : [Beri] 2.003.022.830 [Ruby] 1.999.866.234
[01:42:45 PM]  Logout : [Beri] 2.003.022.830 [Ruby] 1.999.866.234
[01:42:53 PM]  Login : [Beri] 2.003.022.830 [Ruby] 1.999.866.234
[01:43:17 PM]  Logout : [Beri] 2.003.022.830 [Ruby] 1.999.866.234
[08:44:38 PM]  Login : [Beri] 2.003.022.830 [Ruby] 1.999.866.234
[08:49:20 PM]  Nhặt +5940 beri
[08:49:21 PM]  Nhặt +3267 beri
[08:49:22 PM]  Nhặt +9504 beri
[08:49:22 PM]  Nhặt +2277 beri
[08:49:23 PM]  Nhặt +5643 beri
[08:49:27 PM]  Nhặt +2673 beri
[08:49:29 PM]  Nhặt +7227 beri
[08:49:29 PM]  Nhặt +17028 beri
[08:49:32 PM]  Nhặt +11187 beri
[08:49:33 PM]  Nhặt +9702 beri
[08:49:35 PM]  Nhặt +6633 beri
[08:49:36 PM]  Nhặt +16533 beri
[08:49:36 PM]  Nhặt +2277 beri
[08:49:37 PM]  Nhặt +17820 beri
[08:49:39 PM]  Nhặt +1386 beri
[08:49:40 PM]  Nhặt +8514 beri
[08:49:42 PM]  Nhặt +2673 beri
[08:49:53 PM]  Nhặt +15642 beri
[08:49:54 PM]  Nhặt +17325 beri
[08:49:55 PM]  Nhặt +2376 beri
[08:49:55 PM]  Nhặt +16929 beri
[08:49:59 PM]  Nhặt +6435 beri
[08:50:01 PM]  Nhặt +11682 beri
[08:50:02 PM]  Nhặt +2277 beri
[08:50:03 PM]  Nhặt +15246 beri
[08:50:04 PM]  Nhặt +12474 beri
[08:50:05 PM]  Nhặt +15543 beri
[08:50:13 PM]  Nhặt +16335 beri
[08:50:18 PM]  Nhặt +8712 beri
[08:50:20 PM]  Nhặt +11583 beri
[08:50:23 PM]  Nhặt +7920 beri
[08:50:25 PM]  Nhặt +891 beri
