[12:00:03 AM]  Mua 99 vé vòng quay -1485 ruby
[12:08:53 AM]  Mua Bột cường hóa -20 ruby
[12:08:53 AM]  Mua Bột cường hóa -20 ruby
[12:08:54 AM]  Mua Bột cường hóa -20 ruby
[12:08:54 AM]  Mua Bột cường hóa -20 ruby
[12:08:54 AM]  Mua Bột cường hóa -20 ruby
[12:08:54 AM]  Mua Bột cường hóa -20 ruby
[12:08:54 AM]  Mua Bột cường hóa -20 ruby
[12:08:54 AM]  Mua Bột cường hóa -20 ruby
[12:08:55 AM]  Mua Bột cường hóa -20 ruby
[12:08:55 AM]  Mua Bột cường hóa -20 ruby
[12:08:55 AM]  Mua Bột cường hóa -20 ruby
[12:08:55 AM]  Mua Bột cường hóa -20 ruby
[12:08:55 AM]  Mua Bột cường hóa -20 ruby
[12:08:55 AM]  Mua Bột cường hóa -20 ruby
[12:08:56 AM]  Mua Bột cường hóa -20 ruby
[12:08:56 AM]  Mua Bột cường hóa -20 ruby
[12:08:56 AM]  Mua Bột cường hóa -20 ruby
[12:08:56 AM]  Mua Bột cường hóa -20 ruby
[12:08:56 AM]  Mua Bột cường hóa -20 ruby
[12:08:56 AM]  Mua Bột cường hóa -20 ruby
[12:08:57 AM]  Mua Bột cường hóa -20 ruby
[12:08:57 AM]  Mua Bột cường hóa -20 ruby
[12:08:57 AM]  Mua Bột cường hóa -20 ruby
[12:09:00 AM]  Mua Bột vàng -40 ruby
[12:09:00 AM]  Mua Bột vàng -40 ruby
[12:09:00 AM]  Mua Bột vàng -40 ruby
[12:09:01 AM]  Mua Bột vàng -40 ruby
[12:09:01 AM]  Mua Bột vàng -40 ruby
[12:09:01 AM]  Mua Bột vàng -40 ruby
[12:09:01 AM]  Mua Bột vàng -40 ruby
[12:09:01 AM]  Mua Bột vàng -40 ruby
[12:09:02 AM]  Mua Bột vàng -40 ruby
[12:09:02 AM]  Mua Bột vàng -40 ruby
[12:09:02 AM]  Mua Bột vàng -40 ruby
[12:09:02 AM]  Mua Bột vàng -40 ruby
[12:09:02 AM]  Mua Bột vàng -40 ruby
[12:09:02 AM]  Mua Bột vàng -40 ruby
[12:09:03 AM]  Mua Bột vàng -40 ruby
[12:09:03 AM]  Mua Bột vàng -40 ruby
[12:09:03 AM]  Mua Bột vàng -40 ruby
[12:09:09 AM]  Mua Mai rùa -140 ruby
[12:09:10 AM]  Mua Mai rùa -140 ruby
[12:09:10 AM]  Mua Mai rùa -140 ruby
[12:09:10 AM]  Mua Mai rùa -140 ruby
[12:09:35 AM]  Logout : [Beri] 1.999.900.099 [Ruby] 1.999.994.405
[12:10:56 AM]  Login : [Beri] 1.999.900.099 [Ruby] 1.999.994.405
[12:11:19 AM]  Mua 999 vé vòng quay -14985 ruby
[12:13:15 AM]  Cường hóa item Nón 1 Lv60 -3000 beri
[12:13:16 AM]  Cường hóa item Nón 1 Lv60 -3000 beri
[12:13:19 AM]  Cường hóa item Nón 1 Lv60 -4000 beri
[12:13:21 AM]  Cường hóa item Nón 1 Lv60 -4000 beri
[12:13:22 AM]  Cường hóa item Nón 1 Lv60 -4000 beri
