[08:00:39 AM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[08:03:30 AM]  Mua Dr. Strange Zoombie -500 ruby
[08:04:33 AM]  Mua Quần đùi cam 2 -2400 beri
[08:04:40 AM]  Mua Dao tinh luyện 2 -2900 beri
[08:04:48 AM]  Mua Áo khoác đỏ -2600 beri
[08:09:38 AM]  Mua 100 vé vòng quay -1500 ruby
[08:12:26 AM]  Logout : [Beri] 1.999.992.099 [Ruby] 1.999.997.999
[08:12:37 AM]  Login : [Beri] 1.999.992.099 [Ruby] 1.999.997.999
[08:13:44 AM]  Nhặt +3339 beri
[08:13:49 AM]  Nhặt +9362 beri
[08:14:03 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:03 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:03 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:04 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:04 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:05 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:06 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:06 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:06 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:06 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:06 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:07 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:07 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:07 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:07 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:07 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:08 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:08 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:08 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:08 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:08 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:08 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:09 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:09 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:09 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:09 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:09 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:11 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:11 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:11 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:11 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:11 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:11 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:12 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:12 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:12 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:12 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:12 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:12 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:12 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:12 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:12 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:14 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:14 AM]  Mua Cơm hộp hải tặc -0 beri
[08:14:23 AM]  Mua Quả Conache -0 beri
[08:14:23 AM]  Mua Quả Conache -0 beri
[08:14:23 AM]  Mua Quả Conache -0 beri
[08:14:23 AM]  Mua Quả Conache -0 beri
[08:14:23 AM]  Mua Quả Conache -0 beri
[08:14:23 AM]  Mua Quả Conache -0 beri
[08:14:23 AM]  Mua Quả Conache -0 beri
[08:14:23 AM]  Mua Quả Conache -0 beri
[08:14:23 AM]  Mua Quả Conache -0 beri
[08:14:23 AM]  Mua Quả Conache -0 beri
[08:14:23 AM]  Mua Quả Conache -0 beri
[08:14:26 AM]  Mua Quả Conache -0 beri
[08:14:26 AM]  Mua Quả Conache -0 beri
[08:14:26 AM]  Mua Quả Conache -0 beri
[08:14:26 AM]  Mua Quả Conache -0 beri
[08:14:26 AM]  Mua Quả Conache -0 beri
[08:14:26 AM]  Mua Quả Conache -0 beri
[08:14:26 AM]  Mua Quả Conache -0 beri
[08:14:26 AM]  Mua Quả Conache -0 beri
[08:14:26 AM]  Mua Quả Conache -0 beri
[08:14:26 AM]  Mua Quả Conache -0 beri
[08:14:26 AM]  Mua Quả Conache -0 beri
[08:14:26 AM]  Mua Quả Conache -0 beri
[08:14:26 AM]  Mua Quả Conache -0 beri
[08:14:27 AM]  Mua Quả Conache -0 beri
[08:14:27 AM]  Mua Quả Conache -0 beri
