[12:54:10 AM]  Login : [Beri] 2.001.401.025 [Ruby] 1.999.558.488
[12:54:15 AM]  Logout : [Beri] 2.001.401.025 [Ruby] 1.999.558.488
[12:55:19 AM]  Login : [Beri] 2.001.401.025 [Ruby] 1.999.558.488
[12:55:24 AM]  Logout : [Beri] 2.001.401.025 [Ruby] 1.999.558.488
[12:56:10 AM]  Login : [Beri] 2.001.401.025 [Ruby] 1.999.558.488
[12:56:18 AM]  Logout : [Beri] 2.001.401.025 [Ruby] 1.999.558.488
[12:57:03 AM]  Login : [Beri] 2.001.401.025 [Ruby] 1.999.558.488
[12:57:11 AM]  Logout : [Beri] 2.001.401.025 [Ruby] 1.999.558.488
[12:57:22 AM]  Login : [Beri] 2.001.401.025 [Ruby] 1.999.558.488
[12:58:45 AM]  Nhặt +17296 beri
[12:58:49 AM]  Nhặt +6696 beri
[12:59:10 AM]  Nhặt +6435 beri
[12:59:21 AM]  Nhặt +9207 beri
[12:59:36 AM]  Nhặt +297 beri
[12:59:39 AM]  Nhặt +15543 beri
[12:59:47 AM]  Nhặt +7524 beri
[12:59:49 AM]  Nhặt +2079 beri
[12:59:52 AM]  Nhặt +14751 beri
[12:59:53 AM]  Nhặt +1287 beri
[12:59:55 AM]  Nhặt +13860 beri
[01:00:00 AM]  Nhặt +8811 beri
[01:00:11 AM]  Nhặt +10890 beri
[01:00:22 AM]  Nhặt +10692 beri
[01:00:25 AM]  Nhặt +9999 beri
[01:00:26 AM]  Logout : [Beri] 2.001.536.392 [Ruby] 1.999.558.488
[01:01:08 AM]  Login : [Beri] 2.001.536.392 [Ruby] 1.999.558.488
[01:01:12 AM]  Nhặt +1287 beri
[01:01:16 AM]  Nhặt +1188 beri
[01:02:47 AM]  Nhặt +15741 beri
[01:02:51 AM]  Logout : [Beri] 2.001.554.608 [Ruby] 1.999.558.488
[01:02:58 AM]  Login : [Beri] 2.001.554.608 [Ruby] 1.999.558.488
[01:03:00 AM]  Logout : [Beri] 2.001.554.608 [Ruby] 1.999.558.488
[02:39:28 AM]  Login : [Beri] 2.001.554.608 [Ruby] 1.999.558.488
[02:39:36 AM]  Nhặt +10692 beri
[02:39:36 AM]  Nhặt +7920 beri
[02:39:53 AM]  Nhặt +15048 beri
[02:39:57 AM]  Nhặt +16830 beri
[02:39:58 AM]  Nhặt +396 beri
[02:40:02 AM]  Nhặt +19008 beri
[02:40:03 AM]  Nhặt +13761 beri
[02:40:08 AM]  Nhặt +3960 beri
[02:40:14 AM]  Nhặt +14652 beri
[02:40:30 AM]  Nhặt +16038 beri
[02:40:31 AM]  Nhặt +11682 beri
[02:41:51 AM]  Nhặt +14454 beri
[02:41:59 AM]  Nhặt +6534 beri
[02:42:12 AM]  Nhặt +14355 beri
[02:42:15 AM]  Nhặt +19503 beri
[02:42:23 AM]  Nhặt +8217 beri
[02:42:25 AM]  Nhặt +11385 beri
[02:42:48 AM]  Nhặt +4158 beri
[02:45:30 AM]  Nhặt +891 beri
[02:47:22 AM]  Mua Bão tố -500 ruby
[02:47:50 AM]  Mua Tóc RS Sanji -500 ruby
[02:49:11 AM]  Logout : [Beri] 2.001.764.092 [Ruby] 1.999.557.488
[10:10:18 AM]  Login : [Beri] 2.001.764.092 [Ruby] 1.999.557.488
[10:10:42 AM]  Mua Bột  tím -20 ruby
[10:10:42 AM]  Mua Bột  tím -20 ruby
[10:10:42 AM]  Mua Bột  tím -20 ruby
[10:10:42 AM]  Mua Bột  tím -20 ruby
[10:10:43 AM]  Mua Bột  tím -20 ruby
[10:10:43 AM]  Mua Bột  tím -20 ruby
[10:10:43 AM]  Mua Bột  tím -20 ruby
[10:10:43 AM]  Mua Bột  tím -20 ruby
[10:10:43 AM]  Mua Bột  tím -20 ruby
[10:10:43 AM]  Mua Bột  tím -20 ruby
[10:10:44 AM]  Mua Bột  tím -20 ruby
[10:10:44 AM]  Mua Bột  tím -20 ruby
[10:10:44 AM]  Mua Bột  tím -20 ruby
[10:10:44 AM]  Mua Bột  tím -20 ruby
[10:10:44 AM]  Mua Bột  tím -20 ruby
[10:10:44 AM]  Mua Bột  tím -20 ruby
[10:10:45 AM]  Mua Bột  tím -20 ruby
[10:10:45 AM]  Mua Bột  tím -20 ruby
[10:10:45 AM]  Mua Bột  tím -20 ruby
[10:10:45 AM]  Mua Bột  tím -20 ruby
[10:10:45 AM]  Mua Bột  tím -20 ruby
[10:10:45 AM]  Mua Bột  tím -20 ruby
[10:10:46 AM]  Mua Bột  tím -20 ruby
[10:10:46 AM]  Mua Bột  tím -20 ruby
[10:10:46 AM]  Mua Bột  tím -20 ruby
[10:10:46 AM]  Mua Bột  tím -20 ruby
[10:10:46 AM]  Mua Bột  tím -20 ruby
[10:10:47 AM]  Mua Bột  tím -20 ruby
[10:10:47 AM]  Mua Bột  tím -20 ruby
[10:10:47 AM]  Mua Bột  tím -20 ruby
[10:10:47 AM]  Mua Bột  tím -20 ruby
[10:10:47 AM]  Mua Bột  tím -20 ruby
[10:10:47 AM]  Mua Bột  tím -20 ruby
[10:10:48 AM]  Mua Bột  tím -20 ruby
[10:10:48 AM]  Mua Bột  tím -20 ruby
[10:10:48 AM]  Mua Bột  tím -20 ruby
[10:10:48 AM]  Mua Bột  tím -20 ruby
[10:10:48 AM]  Mua Bột  tím -20 ruby
[10:10:48 AM]  Mua Bột  tím -20 ruby
[10:10:49 AM]  Mua Bột  tím -20 ruby
[10:10:49 AM]  Mua Bột  tím -20 ruby
[10:10:49 AM]  Mua Bột  tím -20 ruby
[10:10:49 AM]  Mua Bột  tím -20 ruby
[10:10:50 AM]  Mua Bột  tím -20 ruby
[10:10:50 AM]  Mua Bột  tím -20 ruby
[10:10:50 AM]  Mua Bột  tím -20 ruby
[10:10:59 AM]  Mua Bột than -10000 beri
[10:10:59 AM]  Mua Bột than -10000 beri
[10:11:00 AM]  Mua Bột than -10000 beri
[10:11:00 AM]  Mua Bột than -10000 beri
[10:11:00 AM]  Mua Bột than -10000 beri
[10:11:00 AM]  Mua Bột than -10000 beri
