[11:35:27 AM]  Login : [Beri] 1.969.803.564 [Ruby] 1.999.903.715
[11:36:21 AM]  Nhặt +912 beri
[11:38:05 AM]  Logout : [Beri] 1.969.804.476 [Ruby] 1.999.903.715
[11:38:49 AM]  Login : [Beri] 1.969.804.476 [Ruby] 1.999.903.715
[11:40:52 AM]  Cường hóa item Dial 1 -3000 beri
[11:40:55 AM]  Cường hóa item Dial 1 -3000 beri
[11:41:00 AM]  Mua Bột cường hóa -20 ruby
[11:41:00 AM]  Mua Bột cường hóa -20 ruby
[11:41:00 AM]  Mua Bột cường hóa -20 ruby
[11:41:00 AM]  Mua Bột cường hóa -20 ruby
[11:41:00 AM]  Mua Bột cường hóa -20 ruby
[11:41:00 AM]  Mua Bột cường hóa -20 ruby
[11:41:01 AM]  Mua Bột cường hóa -20 ruby
[11:41:01 AM]  Mua Bột cường hóa -20 ruby
[11:41:01 AM]  Mua Bột cường hóa -20 ruby
[11:41:01 AM]  Mua Bột cường hóa -20 ruby
[11:41:01 AM]  Mua Bột cường hóa -20 ruby
[11:41:01 AM]  Mua Bột cường hóa -20 ruby
[11:41:02 AM]  Mua Bột cường hóa -20 ruby
[11:41:02 AM]  Mua Bột cường hóa -20 ruby
[11:41:02 AM]  Mua Bột cường hóa -20 ruby
[11:41:02 AM]  Mua Bột cường hóa -20 ruby
[11:41:02 AM]  Mua Bột cường hóa -20 ruby
[11:41:02 AM]  Mua Bột cường hóa -20 ruby
[11:41:03 AM]  Mua Bột cường hóa -20 ruby
[11:41:03 AM]  Mua Bột cường hóa -20 ruby
[11:41:03 AM]  Mua Bột cường hóa -20 ruby
[11:41:03 AM]  Mua Bột cường hóa -20 ruby
[11:41:03 AM]  Mua Bột cường hóa -20 ruby
[11:41:03 AM]  Mua Bột cường hóa -20 ruby
[11:41:04 AM]  Mua Bột cường hóa -20 ruby
[11:41:04 AM]  Mua Bột cường hóa -20 ruby
[11:41:04 AM]  Mua Bột cường hóa -20 ruby
[11:41:04 AM]  Mua Bột cường hóa -20 ruby
[11:41:04 AM]  Mua Bột cường hóa -20 ruby
[11:41:04 AM]  Mua Bột cường hóa -20 ruby
[11:41:04 AM]  Mua Bột cường hóa -20 ruby
[11:41:05 AM]  Mua Bột cường hóa -20 ruby
[11:41:05 AM]  Mua Bột cường hóa -20 ruby
[11:41:05 AM]  Mua Bột cường hóa -20 ruby
[11:41:05 AM]  Mua Bột cường hóa -20 ruby
[11:41:05 AM]  Mua Bột cường hóa -20 ruby
[11:41:06 AM]  Mua Bột cường hóa -20 ruby
[11:41:06 AM]  Mua Bột cường hóa -20 ruby
[11:41:06 AM]  Mua Bột cường hóa -20 ruby
[11:41:06 AM]  Mua Bột cường hóa -20 ruby
[11:41:06 AM]  Mua Bột cường hóa -20 ruby
[11:41:06 AM]  Mua Bột cường hóa -20 ruby
[11:41:18 AM]  Cường hóa item Dial 1 -4000 beri
[11:41:20 AM]  Cường hóa item Dial 1 -4000 beri
[11:41:22 AM]  Cường hóa item Dial 1 -4000 beri
[11:41:23 AM]  Cường hóa item Dial 1 -6000 beri
[11:41:25 AM]  Cường hóa item Dial 1 -6000 beri
[11:41:27 AM]  Cường hóa item Dial 1 -6000 beri
