[06:22:52 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[06:24:58 PM]  Nhặt +155 beri
[06:25:08 PM]  Nhặt +121 beri
[06:25:17 PM]  Nhặt +35 beri
[06:25:23 PM]  Nhặt +198 beri
[06:25:30 PM]  Nhặt +153 beri
[06:25:35 PM]  Nhặt +129 beri
[06:25:39 PM]  Nhặt +186 beri
[06:25:40 PM]  Nhặt +35 beri
[06:25:41 PM]  Nhặt +7 beri
[06:25:42 PM]  Nhặt +43 beri
[06:25:43 PM]  Nhặt +13 beri
[06:25:45 PM]  Nhặt +56 beri
[06:25:48 PM]  Nhặt +50 beri
[06:25:50 PM]  Nhặt +58 beri
[06:25:52 PM]  Nhặt +84 beri
[06:25:53 PM]  Nhặt +122 beri
[06:25:55 PM]  Nhặt +95 beri
[06:25:57 PM]  Nhặt +6 beri
[06:25:59 PM]  Nhặt +185 beri
[06:26:23 PM]  Mua Tóc Siêu Sao -500 ruby
[06:26:40 PM]  Bán item +45 beri
[06:26:47 PM]  Mua Xp Chiêu thức -6000 ruby
[06:26:48 PM]  Mua Xp Chiêu thức -6000 ruby
[06:26:48 PM]  Mua Xp Chiêu thức -6000 ruby
[06:26:48 PM]  Mua Xp Chiêu thức -6000 ruby
[06:26:48 PM]  Mua Xp Chiêu thức -6000 ruby
[06:26:49 PM]  Mua Xp Chiêu thức -6000 ruby
[06:26:49 PM]  Mua Xp Chiêu thức -6000 ruby
[06:26:49 PM]  Mua Xp Chiêu thức -6000 ruby
[06:26:49 PM]  Mua Xp Chiêu thức -6000 ruby
[06:26:49 PM]  Mua Xp Chiêu thức -6000 ruby
[06:26:49 PM]  Mua Xp Chiêu thức -6000 ruby
[06:26:50 PM]  Mua Xp Chiêu thức -6000 ruby
[06:26:50 PM]  Mua Xp Chiêu thức -6000 ruby
[06:26:52 PM]  Mua Kinh nghiệm X2 -60 ruby
[06:26:52 PM]  Mua Kinh nghiệm X2 -60 ruby
[06:26:53 PM]  Mua Kinh nghiệm X2 -60 ruby
[06:26:53 PM]  Mua Kinh nghiệm X2 -60 ruby
[06:26:53 PM]  Mua Kinh nghiệm X2 -60 ruby
[06:26:53 PM]  Mua Kinh nghiệm X2 -60 ruby
[06:26:53 PM]  Mua Kinh nghiệm X2 -60 ruby
[06:26:53 PM]  Mua Kinh nghiệm X2 -60 ruby
[06:26:53 PM]  Mua Kinh nghiệm X2 -60 ruby
[06:26:53 PM]  Mua Kinh nghiệm X2 -60 ruby
[06:26:54 PM]  Mua Kinh nghiệm X2 -60 ruby
[06:26:54 PM]  Mua Kinh nghiệm X2 -60 ruby
[06:26:54 PM]  Mua Kinh nghiệm X2 -60 ruby
[06:26:54 PM]  Mua Kinh nghiệm X2 -60 ruby
[06:26:54 PM]  Mua Kinh nghiệm X2 -60 ruby
[06:26:54 PM]  Mua Kinh nghiệm X2 -60 ruby
[06:26:57 PM]  Mua Quả Conache -0 beri
[06:26:57 PM]  Mua Quả Conache -0 beri
[06:26:58 PM]  Mua Quả Conache -0 beri
[06:26:58 PM]  Mua Quả Conache -0 beri
[06:26:58 PM]  Mua Quả Conache -0 beri
[06:26:58 PM]  Mua Quả Conache -0 beri
[06:26:58 PM]  Mua Quả Conache -0 beri
[06:26:58 PM]  Mua Quả Conache -0 beri
[06:26:58 PM]  Mua Quả Conache -0 beri
[06:26:58 PM]  Mua Quả Conache -0 beri
[06:26:59 PM]  Mua Quả Conache -0 beri
[06:26:59 PM]  Mua Quả Conache -0 beri
[06:26:59 PM]  Mua Quả Conache -0 beri
[06:26:59 PM]  Mua Quả Conache -0 beri
[06:26:59 PM]  Mua Quả Conache -0 beri
[06:26:59 PM]  Mua Quả Conache -0 beri
[06:26:59 PM]  Mua Quả Conache -0 beri
[06:27:00 PM]  Mua Quả Conache -0 beri
[06:27:00 PM]  Mua Quả Conache -0 beri
[06:27:00 PM]  Mua Quả Conache -0 beri
[06:27:00 PM]  Mua Quả Conache -0 beri
[06:27:00 PM]  Mua Quả Conache -0 beri
[06:27:00 PM]  Mua Quả Conache -0 beri
[06:27:00 PM]  Mua Quả Conache -0 beri
[06:27:01 PM]  Mua Quả Conache -0 beri
[06:27:01 PM]  Mua Quả Conache -0 beri
[06:27:01 PM]  Mua Quả Conache -0 beri
[06:27:01 PM]  Mua Quả Conache -0 beri
[06:27:01 PM]  Mua Quả Conache -0 beri
[06:27:01 PM]  Mua Quả Conache -0 beri
[06:27:01 PM]  Mua Quả Conache -0 beri
[06:27:02 PM]  Mua Quả Conache -0 beri
[06:27:02 PM]  Mua Quả Conache -0 beri
[06:27:02 PM]  Mua Quả Conache -0 beri
[06:27:02 PM]  Mua Quả Conache -0 beri
[06:27:02 PM]  Mua Quả Conache -0 beri
[06:27:02 PM]  Mua Quả Conache -0 beri
