[12:00:01 AM]  Nhặt +15345 beri
[12:00:07 AM]  Nhặt +14058 beri
[12:00:14 AM]  Nhặt +11880 beri
[12:00:28 AM]  Nhặt +9801 beri
[12:00:33 AM]  Nhặt +3960 beri
[12:00:34 AM]  Nhặt +5148 beri
[12:00:38 AM]  Nhặt +10791 beri
[12:00:40 AM]  Nhặt +2079 beri
[12:00:41 AM]  Nhặt +9702 beri
[12:00:44 AM]  Nhặt +3069 beri
[12:00:46 AM]  Nhặt +11187 beri
[12:00:48 AM]  Nhặt +5841 beri
[12:00:51 AM]  Nhặt +18909 beri
[12:00:55 AM]  Nhặt +8910 beri
[12:00:59 AM]  Nhặt +15246 beri
[12:01:04 AM]  Nhặt +10296 beri
[12:01:20 AM]  Nhặt +19206 beri
[12:01:21 AM]  Nhặt +13464 beri
[12:01:27 AM]  Nhặt +15840 beri
[12:01:29 AM]  Nhặt +2079 beri
[12:01:37 AM]  Nhặt +6732 beri
[12:01:39 AM]  Nhặt +12969 beri
[12:01:43 AM]  Nhặt +4851 beri
[12:01:45 AM]  Nhặt +3960 beri
[12:01:52 AM]  Nhặt +17820 beri
[12:01:57 AM]  Nhặt +8217 beri
[12:02:09 AM]  Nhặt +5148 beri
[12:02:20 AM]  Nhặt +15444 beri
[12:02:21 AM]  Nhặt +1584 beri
[12:02:22 AM]  Nhặt +8514 beri
[12:02:25 AM]  Nhặt +2574 beri
[12:02:26 AM]  Nhặt +5148 beri
[12:02:28 AM]  Nhặt +7821 beri
[12:02:29 AM]  Nhặt +9999 beri
[12:02:35 AM]  Nhặt +6534 beri
[12:02:36 AM]  Nhặt +6138 beri
[12:02:37 AM]  Nhặt +18909 beri
[12:02:42 AM]  Nhặt +99 beri
[12:02:47 AM]  Nhặt +1683 beri
[12:02:55 AM]  Nhặt +297 beri
[12:02:58 AM]  Nhặt +12870 beri
[12:03:12 AM]  Nhặt +7524 beri
[12:03:13 AM]  Nhặt +5544 beri
[12:03:16 AM]  Nhặt +8415 beri
[12:03:19 AM]  Nhặt +5643 beri
[12:03:25 AM]  Nhặt +8415 beri
[12:03:26 AM]  Nhặt +2772 beri
[12:03:31 AM]  Nhặt +14949 beri
[12:03:32 AM]  Nhặt +8217 beri
[12:06:13 AM]  Nhặt +16830 beri
[12:06:15 AM]  Nhặt +10890 beri
[12:06:25 AM]  Nhặt +18414 beri
[12:06:26 AM]  Nhặt +2376 beri
[12:07:03 AM]  Nhặt +9207 beri
[12:07:04 AM]  Nhặt +2475 beri
[12:07:05 AM]  Nhặt +14355 beri
[12:07:19 AM]  Nhặt +15048 beri
[12:07:25 AM]  Nhặt +594 beri
[12:07:31 AM]  Nhặt +16533 beri
[12:07:34 AM]  Nhặt +7128 beri
[12:07:35 AM]  Nhặt +5148 beri
[12:07:37 AM]  Nhặt +6534 beri
[12:07:45 AM]  Nhặt +17820 beri
[12:07:48 AM]  Nhặt +12771 beri
[12:07:55 AM]  Nhặt +11484 beri
[12:08:48 AM]  Nhặt +8019 beri
[12:08:52 AM]  Nhặt +16335 beri
[12:08:54 AM]  Nhặt +5148 beri
[12:09:34 AM]  Nhặt +99 beri
[12:09:35 AM]  Logout : [Beri] 2.003.922.427 [Ruby] 1.999.870.233
[12:12:51 AM]  Login : [Beri] 2.003.922.427 [Ruby] 1.999.870.233
[12:12:56 AM]  Nhặt +6831 beri
[12:13:08 AM]  Nhặt +17325 beri
[12:13:13 AM]  Nhặt +6138 beri
[12:13:15 AM]  Nhặt +1881 beri
[12:13:16 AM]  Nhặt +17127 beri
[12:13:23 AM]  Nhặt +17919 beri
[12:13:26 AM]  Nhặt +17424 beri
[12:13:28 AM]  Nhặt +2772 beri
[12:13:29 AM]  Nhặt +5148 beri
[12:13:37 AM]  Nhặt +495 beri
[12:13:38 AM]  Nhặt +15048 beri
[12:13:42 AM]  Nhặt +9405 beri
[12:13:50 AM]  Nhặt +17919 beri
[12:13:54 AM]  Nhặt +17523 beri
[12:14:01 AM]  Nhặt +13365 beri
[12:14:07 AM]  Nhặt +13563 beri
