[07:37:15 PM]  Login : [Beri] 1.989.998.188 [Ruby] 1.999.815.414
[07:37:38 PM]  Nhặt +1450 beri
[07:37:39 PM]  Nhặt +3575 beri
[07:37:40 PM]  Nhặt +3600 beri
[07:37:42 PM]  Nhặt +4175 beri
[07:37:43 PM]  Nhặt +2725 beri
[07:39:12 PM]  Mua Đá ác quỷ -40 ruby
[07:39:12 PM]  Mua Đá ác quỷ -40 ruby
[07:39:13 PM]  Mua Đá ác quỷ -40 ruby
[07:39:13 PM]  Mua Đá ác quỷ -40 ruby
[07:39:13 PM]  Mua Đá ác quỷ -40 ruby
[07:39:13 PM]  Mua Đá ác quỷ -40 ruby
[07:39:13 PM]  Mua Đá ác quỷ -40 ruby
[07:39:13 PM]  Mua Đá ác quỷ -40 ruby
[07:39:13 PM]  Mua Đá ác quỷ -40 ruby
[07:39:14 PM]  Mua Đá ác quỷ -40 ruby
[07:39:14 PM]  Mua Đá ác quỷ -40 ruby
[07:39:14 PM]  Mua Đá ác quỷ -40 ruby
[07:39:14 PM]  Mua Đá ác quỷ -40 ruby
[07:39:14 PM]  Mua Đá ác quỷ -40 ruby
[07:39:14 PM]  Mua Đá ác quỷ -40 ruby
[07:39:15 PM]  Mua Đá ác quỷ -40 ruby
[07:39:15 PM]  Mua Đá ác quỷ -40 ruby
[07:39:15 PM]  Mua Đá ác quỷ -40 ruby
[07:39:15 PM]  Mua Đá ác quỷ -40 ruby
[07:39:15 PM]  Mua Đá ác quỷ -40 ruby
[07:39:15 PM]  Mua Đá ác quỷ -40 ruby
[07:39:16 PM]  Mua Đá ác quỷ -40 ruby
[07:39:16 PM]  Mua Đá ác quỷ -40 ruby
[07:39:16 PM]  Mua Đá ác quỷ -40 ruby
[07:39:16 PM]  Mua Đá ác quỷ -40 ruby
[07:39:16 PM]  Mua Đá ác quỷ -40 ruby
[07:39:17 PM]  Mua Đá ác quỷ -40 ruby
[07:39:17 PM]  Mua Đá ác quỷ -40 ruby
[07:39:17 PM]  Mua Đá ác quỷ -40 ruby
[07:39:17 PM]  Mua Đá ác quỷ -40 ruby
[07:39:17 PM]  Mua Đá ác quỷ -40 ruby
[07:39:17 PM]  Mua Đá ác quỷ -40 ruby
[07:39:17 PM]  Mua Đá ác quỷ -40 ruby
[07:39:18 PM]  Mua Đá ác quỷ -40 ruby
[07:39:18 PM]  Mua Đá ác quỷ -40 ruby
[07:39:18 PM]  Mua Đá ác quỷ -40 ruby
[07:39:18 PM]  Mua Đá ác quỷ -40 ruby
[07:39:18 PM]  Mua Đá ác quỷ -40 ruby
[07:39:18 PM]  Mua Đá ác quỷ -40 ruby
[07:39:18 PM]  Mua Đá ác quỷ -40 ruby
[07:39:19 PM]  Mua Đá ác quỷ -40 ruby
[07:39:19 PM]  Mua Đá ác quỷ -40 ruby
[07:39:19 PM]  Mua Đá ác quỷ -40 ruby
[07:39:19 PM]  Mua Đá ác quỷ -40 ruby
